frame,state,raw_rows,unique_players,emitting,section_id
627,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
630,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
633,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
636,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
639,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
642,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
645,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
648,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
651,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
654,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
657,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
660,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
663,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
666,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
669,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
672,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
675,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
678,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
681,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
684,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
687,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
690,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
693,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
696,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
699,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
702,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
705,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
708,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
711,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
714,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
717,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
720,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
723,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
726,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
729,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
732,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
735,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
738,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
741,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
744,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
747,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
750,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
753,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
756,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
759,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
762,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
765,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
768,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
771,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
774,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
777,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
780,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
783,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
786,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
789,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
792,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
795,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
798,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
801,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
804,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
807,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
810,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
813,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
816,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
819,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
822,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
825,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
828,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
831,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
834,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
837,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
840,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
843,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
846,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
849,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
852,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
855,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
858,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
861,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
864,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
867,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
870,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
873,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
876,EVALUATED,1,1,1,acb-6NGcNkDDK9o_s90
879,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
882,EVALUATED,2,2,1,acb-6NGcNkDDK9o_s90
