section_id,draw_kind,draw_order,card,native_frame_status,interior_tick,evaluated_ticks,suspended_ticks,overlay_points,measured_width,measured_height,measured_avg_fps,declared_height,declared_fps,source_status,card_sha256,card_bytes
sac_por_2025,720p60,13,720p60_13_sac_por_2025.jpg,METADATA_ONLY,0,0,0,0,,,,720,59.94005994005994,ABSENT,812f1d33bd68f07d41bd55e29bdcd9848d68958e957744d91212d89c1d3ce07a,5640
6rQ2sV4upfc_s90,720p60,14,720p60_14_6rQ2sV4upfc_s90.jpg,OK,1500,500,0,7,1280,720,59.9400649176314,720,59.9400649176314,PRESENT,1d799e533216ea3fe28ac77ebb5b9904580f20baf7f258b3ce634088713f8569,66510
6rQ2sV4upfc_s2928,720p60,15,720p60_15_6rQ2sV4upfc_s2928.jpg,OK,2400,500,0,3,1280,720,59.94006499964463,720,59.94006499964463,PRESENT,a1094bd29b400a354719ef849caf28d546a1bd507ebd3e23d2995972f599b847,63127
6rQ2sV4upfc_s4347,720p60,16,720p60_16_6rQ2sV4upfc_s4347.jpg,OK,1500,500,0,2,1280,720,59.94006249086643,720,59.94006249086643,PRESENT,4a56dcfc20af70a76262c07db95d9a2cfedaa8647aa8e69411c8c40116a945fa,41472
7blRl4zVfrY_s90,720p60,17,720p60_17_7blRl4zVfrY_s90.jpg,OK,1500,500,0,3,1280,720,59.94006497920702,720,59.94006497920702,PRESENT,22ed225f59906aec005e482b67ef318568d8a306a50890777e026f7ef15dccb4,59220
7blRl4zVfrY_s2356,720p60,18,720p60_18_7blRl4zVfrY_s2356.jpg,OK,1500,500,0,5,1280,720,59.940065051471365,720,59.940065051471365,PRESENT,f18a593d25cf3cf8df0263a1d38b30dd7c80fea98633fa0386dddedb08e85b58,65759
7blRl4zVfrY_s3489,720p60,19,720p60_19_7blRl4zVfrY_s3489.jpg,OK,2580,500,0,0,1280,720,59.94006248112433,720,59.94006248112433,PRESENT,ae875aa93e7d32bcbc41d944159efe3ff15a84aba0985778cefa3101ea3069aa,64560
FyMWTVsJvv8_s90,720p60,20,720p60_20_FyMWTVsJvv8_s90.jpg,OK,1500,500,0,5,1280,720,59.94006488556578,720,59.94006488556578,PRESENT,2b8f1688ca8df9d1a2c5a2f695e202132957c1bdab084b7fda8e1ffcdaca9ec0,36767
FyMWTVsJvv8_s1504,720p60,21,720p60_21_FyMWTVsJvv8_s1504.jpg,OK,1950,500,0,3,1280,720,59.940064961459086,720,59.940064961459086,PRESENT,4d6214e1a98f0a32570a0487e971e92fb8b8ab75991e027df6aba8192ba8642e,34751
FyMWTVsJvv8_s2918,720p60,22,720p60_22_FyMWTVsJvv8_s2918.jpg,OK,1500,500,0,6,1280,720,59.940062457409006,720,59.940062457409006,PRESENT,ec31d1cb7d2b3a2e2816d3e9e1ab7f6101367d5b0fde4c228f7d17510b025a48,44773
Ge4uewCFUFQ_s90,720p60,23,720p60_23_Ge4uewCFUFQ_s90.jpg,OK,1500,500,0,3,1280,720,59.94006494007537,720,59.94006494007537,PRESENT,90a8cbaac02a03a7bb04270dc5afa8797ca88699110b62ad63ba5b6ef7c5b211,58700
Ge4uewCFUFQ_s1236,720p60,24,720p60_24_Ge4uewCFUFQ_s1236.jpg,OK,1770,500,0,2,1280,720,59.94006492882814,720,59.94006492882814,PRESENT,4216712f3575ec34f977b0ee94eb02fe67b7c9e7fbd1abdf2f6da2c9f2b1264e,57413
Ge4uewCFUFQ_s2382,720p60,25,720p60_25_Ge4uewCFUFQ_s2382.jpg,OK,1500,500,0,4,1280,720,59.94006241434539,720,59.94006241434539,PRESENT,a355d2627b003127ed4c39a3d020355950a8a9c750032bcac1819f483d95c690,31297
Ge4uewCFUFQ_s4674,720p60,26,720p60_26_Ge4uewCFUFQ_s4674.jpg,OK,1680,500,0,2,1280,720,59.94006502154202,720,59.94006502154202,PRESENT,d80fb63abe09a35b21b0b9930156f1e80e408ae50029c6eced1d65291e46c4e7,54851
IpR4pT8iN0Y_s90,720p60,27,720p60_27_IpR4pT8iN0Y_s90.jpg,OK,1770,500,0,5,1280,720,59.940065028018545,720,59.940065028018545,PRESENT,d1751d187ccfb32341db7d558828955dc8fe76838ffd73bffcd38e8b42101a67,57082
IpR4pT8iN0Y_s2432,720p60,28,720p60_28_IpR4pT8iN0Y_s2432.jpg,OK,1500,500,0,2,1280,720,59.9400648831163,720,59.9400648831163,PRESENT,705cbdc367503331670c8930e251c97d004f89de6a5be81c04b8bf1bced4bd21,34190
IpR4pT8iN0Y_s3603,720p60,29,720p60_29_IpR4pT8iN0Y_s3603.jpg,OK,1860,500,0,6,1280,720,59.940064916390426,720,59.940064916390426,PRESENT,888d2fa0a140bd3aa84e9d59dbfd1bc813f5262ecca8ff65d0a405cde7d23147,55015
