source_frame,clip,crops_taken,boxes_available
S1_0081,soccer_kSgNjoaqCpI_1080p,2,13
soccer_DdnvC6-PGYY_w03_first,soccer_DdnvC6-PGYY,2,14
S1_0026,soccer_kSgNjoaqCpI_1080p,2,17
S1_0070,soccer_DdnvC6-PGYY,2,12
S1_0040,soccer_AgspyOj5BPk,2,22
soccer_AgspyOj5BPk_w05_first,soccer_AgspyOj5BPk,2,7
soccer_DdnvC6-PGYY_w02_last,soccer_DdnvC6-PGYY,2,12
soccer_kSgNjoaqCpI_1080p_w05_first,soccer_kSgNjoaqCpI_1080p,2,16
soccer_DdnvC6-PGYY_w04_last,soccer_DdnvC6-PGYY,2,14
S1_0059,soccer_DdnvC6-PGYY,2,8
S1_0061,soccer_DdnvC6-PGYY,2,4
S1_0086,soccer_kSgNjoaqCpI_1080p,2,16
S1_0058,soccer_AgspyOj5BPk,2,21
S1_0090,soccer_kSgNjoaqCpI_1080p,2,19
S1_0080,soccer_kSgNjoaqCpI_1080p,2,11
S1_0003,soccer_AgspyOj5BPk,2,19
soccer_DdnvC6-PGYY_w05_first,soccer_DdnvC6-PGYY,2,15
S1_0046,soccer_AgspyOj5BPk,2,6
S1_0069,soccer_DdnvC6-PGYY,2,8
soccer_AgspyOj5BPk_w04_first,soccer_AgspyOj5BPk,2,18
S1_0012,soccer_AgspyOj5BPk,2,17
S1_0073,soccer_DdnvC6-PGYY,2,9
soccer_kSgNjoaqCpI_1080p_w03_first,soccer_kSgNjoaqCpI_1080p,2,3
S1_0006,soccer_AgspyOj5BPk,2,17
S1_0093,soccer_kSgNjoaqCpI_1080p,2,16
S1_0071,soccer_DdnvC6-PGYY,2,18
