source_name,arm,rule,frame_cap,read_frames,admitted_frames,first_admitted_index,last_admitted_index,last_admitted_pts_units,first_excluded_index,first_excluded_pts_units,time_base,validated_fps,deadline_s,first_boundary_extent_exact,first_boundary_extent_s,last_admitted_extent_exact,last_admitted_extent_s,inherited_bar_exact,first_excluded_within_bar,last_admitted_within_bar,contained,termination_reason,unknown_reason,draw_j,last_admitted_pts,first_excluded_pts,span_s,endpoint_gap_s,last_admitted_gap_s,overshoot_s,native_frame_interval_s
basketball__acb-jHcR5UxPGuE_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,0,49.983333333333,50.000000000000,49.983333333333,50.016666666667,50.016666666667,-50.000000000000,1/60
basketball__acb-jHcR5UxPGuE_s90.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,0,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
basketball__acb-jHcR5UxPGuE_s90.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,0,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
basketball__acb-jHcR5UxPGuE_s3999.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,1,49.983333333333,50.000000000000,49.983333333333,50.016666666667,50.016666666667,-50.000000000000,1/60
basketball__acb-jHcR5UxPGuE_s3999.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,1,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
basketball__acb-jHcR5UxPGuE_s3999.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,1,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
nba__1rZZ_7buX_Y_s5474.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7787,3000,0,2999,4506236,3000,4507738,1/90000,59.94005994005994,100,2253869/45000,50.085977777778,1126559/22500,50.069288888889,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,2,50.069288888889,50.085977777778,50.069288888889,49.930711111111,49.930711111111,-49.914022222222,50000000000000/2997002997002997
nba__1rZZ_7buX_Y_s5474.mp4,B_g401_fps_frame_cap,frame_cap,5995,7787,5995,0,5994,9006461,5995,9007964,1/90000,59.94005994005994,100,2251991/22500,100.088488888889,9006461/90000,100.071788888889,50000000000000/2997002997002997,False,False,True,FRAME_CAP,,2,100.071788888889,100.088488888889,100.071788888889,-0.071788888889,-0.071788888889,0.088488888889,50000000000000/2997002997002997
nba__1rZZ_7buX_Y_s5474.mp4,C_proposed_pts_stop,pts_stop,,7787,5990,0,5989,8998948,5990,9000451,1/90000,59.94005994005994,100,9000451/90000,100.005011111111,2249737/22500,99.988311111111,50000000000000/2997002997002997,True,True,True,DEADLINE,,2,99.988311111111,100.005011111111,99.988311111111,0.011688888889,0.011688888889,0.005011111111,50000000000000/2997002997002997
nba__3gBeJyl7Szg_s1196.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,3,49.983333333333,50.000000000000,49.983333333333,50.016666666667,50.016666666667,-50.000000000000,1/60
nba__3gBeJyl7Szg_s1196.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,3,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
nba__3gBeJyl7Szg_s1196.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,3,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
nba__3gBeJyl7Szg_s4514.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,4,49.983333333333,50.000000000000,49.983333333333,50.016666666667,50.016666666667,-50.000000000000,1/60
nba__3gBeJyl7Szg_s4514.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,4,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,4,99.983333333333,100.000000000000,99.983333333333,0.016666666667,0.016666666667,0.000000000000,1/60
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7794,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,5,50.033311111111,50.050000000000,50.033311111111,49.966688888889,49.966688888889,-49.950000000000,50000000000000/2997002997002997
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,frame_cap,5995,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,5,99.999900000000,100.016577777778,99.999900000000,0.000100000000,0.000100000000,0.016577777778,50000000000000/2997002997002997
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,pts_stop,,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,5,99.999900000000,100.016577777778,99.999900000000,0.000100000000,0.000100000000,0.016577777778,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,6,50.033311111111,50.050000000000,50.033311111111,49.966688888889,49.966688888889,-49.950000000000,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,6,99.999900000000,100.016577777778,99.999900000000,0.000100000000,0.000100000000,0.016577777778,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s90.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,6,99.999900000000,100.016577777778,99.999900000000,0.000100000000,0.000100000000,0.016577777778,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s4314.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,7,50.033322222222,50.050000000000,50.033322222222,49.966677777778,49.966677777778,-49.950000000000,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s4314.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,7,99.999900000000,100.016588888889,99.999900000000,0.000100000000,0.000100000000,0.016588888889,50000000000000/2997002997002997
nba__H1-Ns9IU-JM_s4314.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,7,99.999900000000,100.016588888889,99.999900000000,0.000100000000,0.000100000000,0.016588888889,50000000000000/2997002997002997
