draw_kind,section_id,frame,slot,player_id,landed_position_source,derived_same_invocation_state,derived_branch,current_box_projection_minus_prior_position_px,branch_guard_px,stored_box_y1,stored_box_x1,stored_box_y2,stored_box_x2,pre_call_box_y2,archived_head_x,archived_foot_y,archived_foot_clipped,observed_x,observed_y,expected_x,expected_y,position_equals_current_box_projection,position_equals_prior_evaluated_tick,backprojected_image_x,backprojected_image_y,backprojected_minus_archived_foot_y,backprojection_inside_stored_box,frame_w,frame_h,map_w,map_h,classification
1080p30,3eeaJz1PJTM_s2572,3029,0,1,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,18.028,750,453.0,1203.0,782.0,1355.0,780.0,1279,767,0,1038,351,1038,351,1,0,1278.830,765.339,-1.661,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s2572,3029,4,5,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,24.083,750,362.0,312.0,581.0,424.0,577.0,368,566,0,209,238,209,238,1,0,367.412,565.095,-0.905,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s2572,3029,6,7,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,15.033,750,116.0,1527.0,381.0,1731.0,380.0,1629,366,0,1222,146,1222,146,1,0,1628.116,365.446,-0.554,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s2572,3029,7,8,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,7.211,750,46.7786,296.8,153.612,406.467,154.393,351,138,0,206,56,207,50,0,0,349.639,152.768,14.768,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,8,9,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,3.162,750,151.0,820.0,439.0,958.0,437.0,889,424,0,634,171,634,171,1,0,889.015,423.516,-0.484,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s2572,3029,10,0,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,7.280,750,46.0,1011.0,311.0,1137.0,311.0,1074,296,0,766,121,764,114,0,1,1073.127,310.549,14.549,1,1920,1020,3404,1711,STALE_BOX
1080p30,3eeaJz1PJTM_s3813,2993,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,98.087,750,263.891,532.032,542.78,725.414,542.909,628,527,0,391,859,299,890,0,0,627.161,541.919,14.919,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s3813,2993,4,5,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,62.936,750,188.778,40.5171,493.088,157.221,497.066,98,478,0,120,569,73,588,0,0,94.936,492.716,14.716,1,1920,1020,3404,1711,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s3813,2993,8,9,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,55.714,750,102.0,109.0,517.0,242.0,517.0,175,502,0,201,571,149,591,0,1,173.488,516.840,14.840,1,1920,1020,3404,1711,STALE_BOX
1080p30,3eeaJz1PJTM_s3813,2993,9,10,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,88.544,750,258.0,547.0,518.0,657.0,518.0,602,503,0,241,876,157,904,0,1,601.693,517.890,14.890,1,1920,1020,3404,1711,STALE_BOX
1080p30,3eeaJz1PJTM_s90,3256,4,5,SUBPIXEL,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,951.0,1137.0,1035.0,1206.0,1034.0,1171,1020,0,349,1006,349,1006,1,1,1089.495,1020.046,0.046,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s90,3256,6,7,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,9.055,750,768.0,390.0,916.0,471.0,918.0,430,901,0,144,1018,144,1018,1,0,424.526,902.795,1.795,1,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
1080p30,3eeaJz1PJTM_s90,3256,10,0,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,49.366,750,768.0,435.0,903.0,504.0,903.0,469,888,0,192,1016,143,1022,0,1,463.652,904.548,16.548,0,1920,1020,3404,1711,STALE_BOX
1080p30,3eeaJz1PJTM_s90,3382,4,5,SUBPIXEL,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,951.0,1137.0,1035.0,1205.0,1033.0,1171,1020,0,349,1006,349,1006,1,1,1089.495,1020.046,0.046,0,1920,1020,3404,1711,CONSISTENT_BY_CONTRACT
