draw_kind,section_id,frame,slot,reason
1080p30,3eeaJz1PJTM_s2572,3029,1,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s2572,3029,2,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s2572,3029,3,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s2572,3029,5,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s2572,3029,9,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,0,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,1,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,3,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,5,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,6,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s3813,2993,7,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,0,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,1,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,2,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,3,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,5,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,7,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3256,8,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,0,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,1,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,2,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,3,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,7,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,8,NO_STORED_POSITION
1080p30,3eeaJz1PJTM_s90,3382,9,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2507,0,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2507,4,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2507,5,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2507,6,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2507,9,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2537,3,NO_STORED_POSITION
1080p30,4JS090XPhmM_s3537,2537,4,NO_STORED_POSITION
