epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8627,2.31755,3.72986,1.5891,0.50201,0.26462,0.29297,0.15316,1.8012,2.82366,1.41358,0.000661333,0.000661333,0.000661333
2,39.8267,1.88557,2.44053,1.34744,0.46825,0.427,0.37968,0.18698,1.8496,2.48215,1.51957,0.00128418,0.00128418,0.00128418
3,57.4381,1.77436,2.11827,1.28458,0.41529,0.4475,0.37553,0.19092,1.76287,1.98294,1.39291,0.00186302,0.00186302,0.00186302
4,74.6719,1.67294,1.96667,1.24292,0.42066,0.4535,0.36102,0.15542,2.09455,2.01378,1.48523,0.001802,0.001802,0.001802
5,91.8519,1.58097,1.77683,1.19599,0.42505,0.4615,0.3797,0.17513,2.02618,1.81813,1.50822,0.001736,0.001736,0.001736
6,109.044,1.50545,1.67753,1.16379,0.51533,0.5585,0.51921,0.30348,1.38803,1.8018,1.17901,0.00167,0.00167,0.00167
7,125.705,1.44378,1.61575,1.13763,0.55481,0.5365,0.54848,0.34239,1.28777,1.53133,1.15182,0.001604,0.001604,0.001604
8,142.469,1.37306,1.5272,1.12,0.60677,0.583,0.60349,0.3954,1.22621,1.38524,1.12534,0.001538,0.001538,0.001538
9,159.266,1.38025,1.494,1.12002,0.63163,0.5665,0.63252,0.40509,1.22843,1.35231,1.12567,0.001472,0.001472,0.001472
10,175.876,1.32481,1.42122,1.0939,0.63624,0.636,0.68583,0.46941,1.14666,1.25734,1.07629,0.001406,0.001406,0.001406
11,192.554,1.32948,1.3736,1.09304,0.6878,0.57721,0.6684,0.39181,1.41337,1.36077,1.16741,0.00134,0.00134,0.00134
12,209.018,1.27696,1.34641,1.07893,0.68108,0.6005,0.66952,0.47099,1.07566,1.22257,1.05031,0.001274,0.001274,0.001274
13,225.613,1.27015,1.322,1.06701,0.72644,0.62403,0.72174,0.49628,1.09376,1.37201,1.05222,0.001208,0.001208,0.001208
14,242.108,1.18047,1.25269,1.03985,0.78771,0.6095,0.75264,0.49606,1.18653,1.13631,1.07401,0.001142,0.001142,0.001142
15,258.312,1.18042,1.22392,1.03482,0.7826,0.6365,0.75905,0.55376,1.00608,1.07841,1.02172,0.001076,0.001076,0.001076
16,274.475,1.17222,1.2134,1.03021,0.79047,0.6835,0.79299,0.57169,1.01282,0.99163,1.01827,0.00101,0.00101,0.00101
17,290.805,1.09957,1.10615,1.01105,0.74541,0.681,0.79499,0.57894,0.98923,0.985,1.00461,0.000944,0.000944,0.000944
18,307.197,1.11209,1.13,1.01118,0.81299,0.7173,0.82321,0.59492,1.00307,0.91135,1.00852,0.000878,0.000878,0.000878
19,323.637,1.06206,1.08678,0.9923,0.79719,0.723,0.82009,0.58238,0.9912,0.9105,1.01058,0.000812,0.000812,0.000812
20,339.802,1.06194,1.04754,0.98781,0.87813,0.71691,0.84176,0.64191,0.88446,0.86109,0.97414,0.000746,0.000746,0.000746
21,374.371,0.99522,0.9876,1.00795,0.85596,0.7055,0.84201,0.63984,0.90056,0.86703,0.97888,0.00068,0.00068,0.00068
22,391.118,0.95892,0.94398,0.99003,0.8768,0.73304,0.86273,0.64712,0.91949,0.7928,0.97853,0.000614,0.000614,0.000614
23,407.231,0.93196,0.91001,0.97227,0.90931,0.74196,0.87146,0.64455,0.94313,0.78365,0.98785,0.000548,0.000548,0.000548
24,423.504,0.92112,0.8716,0.98189,0.90432,0.731,0.87779,0.67861,0.84617,0.76058,0.95537,0.000482,0.000482,0.000482
25,440.011,0.90628,0.85229,0.97442,0.90741,0.76929,0.89633,0.70961,0.77482,0.7115,0.93492,0.000416,0.000416,0.000416
26,455.924,0.85451,0.8148,0.955,0.91374,0.768,0.89828,0.70555,0.7857,0.69952,0.93635,0.00035,0.00035,0.00035
27,472.013,0.8276,0.7976,0.94494,0.91394,0.772,0.90529,0.73497,0.73484,0.67351,0.92025,0.000284,0.000284,0.000284
28,488.099,0.82074,0.777,0.94112,0.91885,0.77558,0.90828,0.73983,0.72392,0.66429,0.91748,0.000218,0.000218,0.000218
29,504.348,0.784,0.74521,0.92919,0.92432,0.78781,0.91578,0.75545,0.69208,0.63592,0.90922,0.000152,0.000152,0.000152
30,520.306,0.75594,0.71775,0.91654,0.91294,0.797,0.91787,0.7571,0.68422,0.62853,0.90709,8.6e-05,8.6e-05,8.6e-05
