stratum,n_ticks,n_games,digest
p1_m0_3_c60_300,005644,000996,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m0_3_ceq_0,000907,000435,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m0_3_cgt_300,012255,001584,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m0_3_clt_60,001092,000597,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m10_plus_c60_300,002895,000544,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m10_plus_ceq_0,000788,000378,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m10_plus_cgt_300,001517,000333,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m10_plus_clt_60,000861,000450,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m4_9_c60_300,006798,001311,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m4_9_ceq_0,001127,000531,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m4_9_cgt_300,009141,001441,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p1_m4_9_clt_60,001403,000800,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m0_3_c60_300,003844,000694,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m0_3_ceq_0,004693,000339,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m0_3_cgt_300,008103,000958,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m0_3_clt_60,000886,000442,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m10_plus_c60_300,006025,000875,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m10_plus_ceq_0,008812,000628,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m10_plus_cgt_300,009090,000906,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m10_plus_clt_60,001438,000682,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m4_9_c60_300,005667,001086,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m4_9_ceq_0,007688,000551,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m4_9_cgt_300,011217,001338,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p2_m4_9_clt_60,001362,000699,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m0_3_c60_300,003123,000551,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m0_3_ceq_0,000562,000271,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m0_3_cgt_300,006354,000769,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m0_3_clt_60,000693,000359,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m10_plus_c60_300,007891,000986,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
p3_m10_plus_ceq_0,001544,000662,9c74d662e9ba0a2aea032d2ad6644c579f4d6bb0a201849a6d0274ad9e857883
