card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,sealed_ordinal,evaluated_tick,emitted_rows,candidate_rows,silent,bbox_count,nondegenerate_bbox_count,native_width,native_height,render_path,render_sha256,render_bytes,status
1080p30_22,1080p30,4JS090XPhmM_s4686,2553,2853,2781,1896,1,3,0,0,3,3,1920,1080,renders/1080p30_22.jpg,87fdc4228c94ce6570a17030fc596b830edc071dcc234b66013b0a395737d17e,147732,OK
1080p30_23,1080p30,3eeaJz1PJTM_s1331,2672,2972,2948,1982,1,2,1,0,2,2,1920,1080,renders/1080p30_23.jpg,eeeb6f71d6f3d6657ca3b731f4c4ecf4f03f9c4373415c8bac40f43954cc85b8,140630,OK
1080p30_24,1080p30,3eeaJz1PJTM_s2572,2789,3089,3023,2068,1,6,0,0,6,6,1920,1080,renders/1080p30_24.jpg,2c3008427175942c17d5dc0d614b79dd353850d51c39032fd761e2ae4470d04b,159521,OK
1080p30_25,1080p30,3eeaJz1PJTM_s3813,2906,3206,3098,2154,1,7,0,0,7,7,1920,1080,renders/1080p30_25.jpg,9ed350ad6d4a919cefa1e470e091b9cb4e58363596d24e7f2faa170efafc6501,186131,OK
1080p30_26,1080p30,3eeaJz1PJTM_s90,3136,3436,3286,2240,1,3,0,0,3,3,1920,1080,renders/1080p30_26.jpg,f6ca6039b0dc7a23612ce7fc9706a1e8cac4b9f4cb381e6aacfebef35e5f8047,201998,OK
1080p30_27,1080p30,J8pMOFvFlsU_s1384,3253,3553,3364,2327,1,5,0,0,5,5,1920,1080,renders/1080p30_27.jpg,7e0cc520b6dd4d5174e36d4887a112999abe90773cf1bc23937fd6813b797fce,116353,OK
1080p30_28,1080p30,J8pMOFvFlsU_s3972,3370,3670,3439,2413,1,3,0,0,3,3,1920,1080,renders/1080p30_28.jpg,1ea3cee2d709d5ae58f55db4af82037afe48ba4ef7c1526fd066bc0e83589342,115234,OK
1080p30_29,1080p30,J8pMOFvFlsU_s90,3486,3786,3783,2499,1,2,1,0,2,2,1920,1080,renders/1080p30_29.jpg,ecf299aa723ee7d04fba4ebdcf963dbbd9f080bbfc47770caf749a1a3583b40e,113125,OK
720p60_00,720p60,acb-jHcR5UxPGuE_s1393,232,832,232,0,1,0,0,1,0,0,1280,720,renders/720p60_00.jpg,642a282efa7f29d5aebb1c083e635a08b24668bbb7ddecc7005ae3ac50e45b69,92543,OK
720p60_01,720p60,acb-jHcR5UxPGuE_s90,465,1065,537,97,1,2,0,0,2,2,1280,720,renders/720p60_01.jpg,91f679cf0f3d7a1cd74861fad4e415dd6dd404128d03ca2c0466b542a3844814,91619,OK
720p60_02,720p60,3gBeJyl7Szg_s2302,697,1297,751,194,1,2,1,0,2,2,1280,720,renders/720p60_02.jpg,ca93d9b4e303e1fc7e497132190f01a8508f16413252ed3ea950d01652b1fe1e,70289,OK
720p60_03,720p60,3gBeJyl7Szg_s90,930,1530,966,291,1,2,1,0,2,2,1280,720,renders/720p60_03.jpg,5c3d30357952a980df088b09a6bfe2c44ee7b1fc1e50765c536ea6200405dc66,108628,OK
720p60_04,720p60,Kh7Fj4ogPN4_s3606,1161,1761,1173,387,1,4,1,0,4,4,1280,720,renders/720p60_04.jpg,b9984d3e274afc26285cac9aff009b49f5417c5e7ed5111f65011f90c9fe488e,85628,OK
720p60_05,720p60,Kh7Fj4ogPN4_s3606,1161,1761,1755,484,1,3,1,0,3,3,1280,720,renders/720p60_05.jpg,daeb776029d5c28f188164f6230646971e4232216b7641a823db0a650f6e17ef,101662,OK
720p60_06,720p60,Kh7Fj4ogPN4_s5950,1392,1992,1968,581,1,2,0,0,2,2,1280,720,renders/720p60_06.jpg,cd31a846d88d45108a238863e9cdf262562da92e2c83b7ef42b3d3cfd856472c,105361,OK
720p60_07,720p60,Ktu6yFS9iMo_s2532,1625,2225,2183,678,1,5,1,0,5,5,1280,720,renders/720p60_07.jpg,86d947fd61035e953a7b880b372a816faa5bad5acc121c272ad30f9dd10f4018,105400,OK
720p60_08,720p60,Ktu6yFS9iMo_s6195,1857,2457,2397,775,1,3,0,0,3,3,1280,720,renders/720p60_08.jpg,192db0f09cb02e9bc0c38b29d4c1f0d3f768e0110fb9c3afa1d763145dc24a27,51890,OK
720p60_09,720p60,L7o4UCIIqS4_s2656,2089,2689,2611,872,1,3,0,0,3,3,1280,720,renders/720p60_09.jpg,10b649fa8f85e2a0d6f5f8cd843ef64ab49bddb2d3ec00b54266be9f5e90371c,61602,OK
720p60_10,720p60,L7o4UCIIqS4_s5222,2321,2921,2885,969,1,2,0,0,2,2,1280,720,renders/720p60_10.jpg,9a5ec5752caeb3aeec7db80f9941f375ce98d85b5a560a58a2e62046ea9e77c8,74843,OK
720p60_11,720p60,oL9Uaie2v2A_s5960,2785,3385,3175,1065,1,6,0,0,6,6,1280,720,renders/720p60_11.jpg,cfc1e48e4da130e6c252e955bbb11ba1941aa51630324740f9497a786bfc3a11,102314,OK
720p60_12,720p60,6rQ2sV4upfc_s1509,3018,3618,3390,1162,1,5,0,0,5,5,1280,720,renders/720p60_12.jpg,dd9a671ccc53bd271c18627e5a52a751ba16ae2a63e650162053d4371c080684,90407,OK
720p60_13,720p60,6rQ2sV4upfc_s90,3249,3849,3603,1259,1,1,0,0,1,1,1280,720,renders/720p60_13.jpg,c7f29f21f7147b15db87a7e786c111b1c21ba4ed451df1ee44635ecdd1145fb1,106718,OK
720p60_14,720p60,7blRl4zVfrY_s3489,3481,4081,3817,1356,1,4,1,0,4,4,1280,720,renders/720p60_14.jpg,baacf654ad1ef742b2bd296c253cd3c9a3f94ac5315bd6aa1f0624fbbb40f036,98878,OK
720p60_15,720p60,7blRl4zVfrY_s90,3714,4314,4032,1453,1,0,0,1,0,0,1280,720,renders/720p60_15.jpg,557364bdf874bb941cb5a5de60a66aaed94e9c9394a4fe2818400963cee4e2c0,103440,OK
720p60_16,720p60,FyMWTVsJvv8_s4332,3945,4545,4515,1550,1,9,0,0,9,9,1280,720,renders/720p60_16.jpg,9fcb9877051f10c6026e7fe65544f49c2c0c1fba83edefd17c278bdb403cf4c1,81057,OK
720p60_17,720p60,Ge4uewCFUFQ_s2382,4177,4777,4729,1647,1,3,0,0,3,3,1280,720,renders/720p60_17.jpg,00c3ca1e11a9d1e6a42b736eb7b22ed817de71e6e8761596931321eb4f2a259e,120994,OK
720p60_18,720p60,Ge4uewCFUFQ_s4674,4410,5010,4944,1744,1,2,0,0,2,2,1280,720,renders/720p60_18.jpg,ff1eaec9f5e7bccf5cb0c0edb27f03b4d2396a3c7db13c9430c50e748f2bed84,71594,OK
720p60_19,720p60,IpR4pT8iN0Y_s2432,4642,5242,5152,1840,1,0,0,1,0,0,1280,720,renders/720p60_19.jpg,62cfbfc004f11610391de7119944700ccb5e7ba394bb9c75411efc09cafb3228,103994,OK
720p60_20,720p60,KZK9rv9TnGE_s1474,4873,5473,5365,1937,1,6,4,0,6,6,1280,720,renders/720p60_20.jpg,7caaf9275620289744d9661d5e5cf9c9c6e973501296ebc7ae7aa4c3cdebaa1b,118158,OK
720p60_21,720p60,KZK9rv9TnGE_s4242,5105,5705,5579,2034,1,2,0,0,2,2,1280,720,renders/720p60_21.jpg,6566225959e38572d081e8c480163a72a164c17934e691cbaeee491e6c96def0,115286,OK
720p60_22,720p60,KZK9rv9TnGE_s90,5337,5937,5793,2131,1,2,0,0,2,2,1280,720,renders/720p60_22.jpg,f9a633c02e1e3e0658ee6871b285341141f2b646d1750b7ed972a0280bf951c4,72782,OK
720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,2228,1,7,1,0,7,7,1280,720,renders/720p60_23.jpg,6ed23f8f4f654098a7b4ef92b731e87919c9319b448e4bcb4f43769e094ec481,108738,OK
720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,2325,1,5,2,0,5,5,1280,720,renders/720p60_24.jpg,3f8ec4c2ebbbdb0d651511eab3bb34cb0ac7ba167f7a825a6b1759f48f2b9980,112831,OK
720p60_25,720p60,s-0Y7aLxXgM_s1275,6266,6866,6338,2422,1,2,0,0,2,2,1280,720,renders/720p60_25.jpg,4803738bcfa880bcb44153e79140001ac9d54f8fd73c264fa8ef0baab2583e53,105378,OK
720p60_26,720p60,s-0Y7aLxXgM_s4830,6499,7099,6547,2518,1,5,2,0,5,5,1280,720,renders/720p60_26.jpg,3990cdfcc19185d3da8459e40d82ba64beca4979e26b33c2e3d3375bdb6ebb0f,111462,OK
720p60_27,720p60,xv0WyG7_99c_s1200,6731,7331,6761,2615,1,0,0,1,0,0,1280,720,renders/720p60_27.jpg,43c04364eef8b1b95c6b55410e7a5cedc89f8d460887d1d4ae0caac758c1dc82,108481,OK
720p60_28,720p60,xv0WyG7_99c_s4530,6963,7563,6975,2712,1,4,1,0,4,4,1280,720,renders/720p60_28.jpg,e0849f8a31ce841c3bb243cabac2abd1de47066400c10f4898282aa79b402c90,117224,OK
720p60_29,720p60,xv0WyG7_99c_s4530,6963,7563,7557,2809,1,4,0,0,4,4,1280,720,renders/720p60_29.jpg,bf7248b15e890ea6c74d7e9ffb49642327a3ae4b24019ed4c8fce6f27f2be0e2,98444,OK
