card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,sealed_ordinal,evaluated_tick,emitted_rows,candidate_rows,silent,bbox_count,nondegenerate_bbox_count,native_width,native_height,render_path,render_sha256,render_bytes,status
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,418,118,0,1,4,3,0,4,4,1920,1080,renders/1080p30_00.jpg,b7045541db63718c9f90db947dc08b5b13d39b71ab62210c7ed84d901ecc7886,232081,OK
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,118,418,376,86,1,4,1,0,4,4,1920,1080,renders/1080p30_01.jpg,96c874d89f352903dcf2c5cd382105215fdf0e3654e3bb9e1f76077d7f529a2b,228028,OK
1080p30_02,1080p30,UCVSlzgun0o_s2298,468,768,474,172,1,2,0,0,2,2,1920,1080,renders/1080p30_02.jpg,e0f09218e7308345460a82885c093c30229f610046e8c0e94d8e059fc3b180a6,100360,OK
1080p30_03,1080p30,UCVSlzgun0o_s2298,468,768,735,259,1,3,0,0,3,3,1920,1080,renders/1080p30_03.jpg,c241950b3789c1f24886d94cad269241bff9475993b75b0405b1fdf72d7c9c18,216049,OK
1080p30_04,1080p30,UCVSlzgun0o_s90,595,895,820,345,1,3,0,0,3,3,1920,1080,renders/1080p30_04.jpg,8fd2f891c1d61c901fc03736e2984997befa0e3dabda01091aeae0db8dcd1f94,221018,OK
1080p30_05,1080p30,UzaYBYy3GZg_s90,725,1025,908,431,1,4,0,0,4,4,1920,1080,renders/1080p30_05.jpg,1c7673678e72f0755dca75d3628325df8f362e8900d1c00cabd505178c2a7004,218222,OK
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,819,1119,960,517,1,6,2,0,6,6,1920,1080,renders/1080p30_06.jpg,9ef791bc5696856818299f368732009f0f3bf87f6af95f820f7906578652c3ed,241064,OK
1080p30_07,1080p30,Vm0FqeGo-8g_s90,968,1268,1067,603,1,6,2,0,6,6,1920,1080,renders/1080p30_07.jpg,c1c0691a6000aab1ee0fc2bcfb72d699201b7d39e9ffcc3d52d8f4bcc3ba65e7,248586,OK
1080p30_08,1080p30,X5w3V6rh26s_s90,1088,1388,1145,689,1,1,0,0,1,1,1920,1080,renders/1080p30_08.jpg,b9f48458ada7d38599b88c93f0ae20e367d7088930be7e56eb719d62d3f58b77,242312,OK
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1191,1491,1239,776,1,0,0,1,0,0,1920,1080,renders/1080p30_09.jpg,4f3ee0d7794d31f1e3618d9d1e844d814cd94dd9ca296817a80c737ff5c84c6b,148685,OK
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1331,1631,1337,862,1,2,1,0,2,2,1920,1080,renders/1080p30_10.jpg,f7a86694a652303b61255b7f340e3e56ff90ee802ba453961036d39767f3cc58,148398,OK
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1331,1631,1595,948,1,5,0,0,5,5,1920,1080,renders/1080p30_11.jpg,eac9d4bedd742d1bc1923c4156527bbc1834ef14f1bdd2760c00a0135ffb9c8a,129577,OK
1080p30_12,1080p30,tFnl0NVn6FA_s2774,1574,1874,1586,1034,1,6,2,0,6,6,1920,1080,renders/1080p30_12.jpg,4ea96586c7638a873264e6d3918581d50fa7f3049183e2db93e3d83dbc2c4b22,164990,OK
1080p30_13,1080p30,tFnl0NVn6FA_s2774,1574,1874,1844,1120,1,4,1,0,4,4,1920,1080,renders/1080p30_13.jpg,535df4be58a69c344ce65ebd3afe4f75fc5e087ec677b6c144cfdb64e9c254c6,198840,OK
1080p30_14,1080p30,tFnl0NVn6FA_s90,1708,2008,1936,1206,1,4,0,0,4,4,1920,1080,renders/1080p30_14.jpg,110c5bf10c52fc60386cf2778f547646f353304e005bf0fda07d968f651ff878,157918,OK
1080p30_15,1080p30,tZeqmc_-_sA_s2574,1815,2115,2004,1293,1,5,0,0,5,5,1920,1080,renders/1080p30_15.jpg,4b96449dd002bbdcaed5f5d08ae62accaa67dfc66ea8bcf3e88ed456b590b89b,160943,OK
1080p30_16,1080p30,yZ5u2sOpiNU_s3933,1974,2274,2031,1379,1,1,0,0,1,1,1920,1080,renders/1080p30_16.jpg,84b5a4376a38b97874d285af5910091cd919ae43647aa81564dc9526dd35974a,169022,OK
1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2089,2389,2104,1465,1,4,2,0,4,4,1920,1080,renders/1080p30_17.jpg,761015ef9b5767fac3323e167568e100057f9e8bce4bbc6b0a18061beac984d3,214594,OK
1080p30_18,1080p30,yZ5u2sOpiNU_s90,2206,2506,2299,1551,1,7,2,0,7,7,1920,1080,renders/1080p30_18.jpg,e9650eaeb2a715b2bd69ba20720f4af3c01afb54de8ac47875e95bb01b19b62c,180343,OK
1080p30_19,1080p30,4JS090XPhmM_s2388,2322,2622,2373,1637,1,3,0,0,3,3,1920,1080,renders/1080p30_19.jpg,d5407a3fca72284cfc6344bce665c236026a87e28e392b07702795bfc26975b9,126143,OK
1080p30_20,1080p30,4JS090XPhmM_s3537,2438,2738,2447,1723,1,2,0,0,2,2,1920,1080,renders/1080p30_20.jpg,f44ee28ee362d8a2f549b71bb012b76fdd5c568ebcc9754c7a439e39120bccd1,206153,OK
1080p30_21,1080p30,4JS090XPhmM_s3537,2438,2738,2708,1810,1,4,0,0,4,4,1920,1080,renders/1080p30_21.jpg,9f93d734a26bdbf9649967d4c4b2aa4741449c7ec4cdc4e3743fe32578e57c87,194298,OK
