card_id,grid_step,native_width,native_height,view_path,view_bytes,view_sha256
1080p30_00,100,1920,1080,C:/Users/neelj/g406_views/1080p30_00.jpg,530868,704c4de849bab2cd2bcc928915a6bf039c0aae21faff08a51a600d0bb4faae33
1080p30_01,100,1920,1080,C:/Users/neelj/g406_views/1080p30_01.jpg,538927,1b0a8b8aee378f637e389f4b933585b68761fa83b1a91683f120fe0d126fb401
1080p30_02,100,1920,1080,C:/Users/neelj/g406_views/1080p30_02.jpg,295896,33c66b6cdb1ce32a22c5dafcb5d4920948ae13c5bb2288d0141915bf6246cccd
1080p30_03,100,1920,1080,C:/Users/neelj/g406_views/1080p30_03.jpg,510549,d9b33ea7e668ec4fcf5437b4eec19ce88d8dae325735eeaefc842126d594d0db
1080p30_04,100,1920,1080,C:/Users/neelj/g406_views/1080p30_04.jpg,523837,0293e9a15af5f2fa79e4bbdf0be427f0754908e32b7e78504e9bfbbcbefaa5e4
1080p30_05,100,1920,1080,C:/Users/neelj/g406_views/1080p30_05.jpg,520844,4264f12d7d19180be4113d85cd2785b22f180b7bd3bcbd898254f41a6faecb4b
1080p30_06,100,1920,1080,C:/Users/neelj/g406_views/1080p30_06.jpg,549618,ad253f2ba485a727000390251cad104d4aa4295b75c3952c12ccab670f678bff
1080p30_07,100,1920,1080,C:/Users/neelj/g406_views/1080p30_07.jpg,570026,b3dac37ba3c4c3eeaf088f95e258b3aec8abdf5d661dfe885f7eff9323a191e0
1080p30_08,100,1920,1080,C:/Users/neelj/g406_views/1080p30_08.jpg,566786,c754e59343383f3caf8576b914c86ced08ce801ad733bcc6d96f0b33945b1e5e
1080p30_09,100,1920,1080,C:/Users/neelj/g406_views/1080p30_09.jpg,403096,ab6500daa6a3846c46c83483d10cdcdf2879970015b0d7ea24270c662d7ee208
1080p30_10,100,1920,1080,C:/Users/neelj/g406_views/1080p30_10.jpg,391541,1028264d0b08bfdb4d7c6f2b9222dc1e73bb7da8916f1e987ed4086a31fdd509
1080p30_11,100,1920,1080,C:/Users/neelj/g406_views/1080p30_11.jpg,362601,63beca013b444922d83ffc34beac59d6218a539c96357da3a8087ff356fcb688
1080p30_12,100,1920,1080,C:/Users/neelj/g406_views/1080p30_12.jpg,412394,5aba5985de1735b01c35e6f5821dfbda290cf014ba79d5ebd5e569eb7e96c8c4
1080p30_13,100,1920,1080,C:/Users/neelj/g406_views/1080p30_13.jpg,478209,73c11b76ead09902d4c6fac7062c3f24258d8a08e1d3b45e3500089153568545
1080p30_14,100,1920,1080,C:/Users/neelj/g406_views/1080p30_14.jpg,416993,cb3caea58063c42a592b9298f3aaf8fdaa378b49768e982735de4ac0d7342729
1080p30_15,100,1920,1080,C:/Users/neelj/g406_views/1080p30_15.jpg,407998,ef6079aba2b9f9333b06e5c38c0dbb5c0c2ba9fe26f067d33195a91fa4498d92
1080p30_16,100,1920,1080,C:/Users/neelj/g406_views/1080p30_16.jpg,436765,d930bcc66128f25a890f75f8df0dacd05c7fa86c93dd4c9d407df2f2f89d262f
1080p30_17,100,1920,1080,C:/Users/neelj/g406_views/1080p30_17.jpg,502059,c646e2271c9bb88dc8dda511d8e276f00631b43d0731af7809ed4ffb2d999b99
1080p30_18,100,1920,1080,C:/Users/neelj/g406_views/1080p30_18.jpg,443543,b3d7ae81aeb661cfeadfae85999d0c95f5ee442d05d3a7d82e7198103ba6a65d
1080p30_19,100,1920,1080,C:/Users/neelj/g406_views/1080p30_19.jpg,362337,588381d11e42d70b428a4c78bbd8a811cc1b890065ee8e855ea3e08bfe303ec9
1080p30_20,100,1920,1080,C:/Users/neelj/g406_views/1080p30_20.jpg,508801,03d658095ab713606a108f362c1ddf3b6ab61be9090234957f529e1e3e4ea75c
1080p30_21,100,1920,1080,C:/Users/neelj/g406_views/1080p30_21.jpg,457983,ebd60bdb1c1dc86dbb8ca12a3c57635334febd413f39890251f625c49dbc9714
1080p30_22,100,1920,1080,C:/Users/neelj/g406_views/1080p30_22.jpg,393331,2571cb3e898c9e4032e73078f0286c8057cc7a31e714bfeedd18eb1740794508
1080p30_23,100,1920,1080,C:/Users/neelj/g406_views/1080p30_23.jpg,388163,bc2d48179fd194b0834dafc960929b964aacb8e3eee8a4179ed59a3980602e7f
1080p30_24,100,1920,1080,C:/Users/neelj/g406_views/1080p30_24.jpg,395554,26749c5e2dce9c6438a1a16b9cc8eef33ed00a2e40070bf916d43c20fcced97e
1080p30_25,100,1920,1080,C:/Users/neelj/g406_views/1080p30_25.jpg,454936,2ef415b60d565094fe5455b171925fda08fc17de4cc6e9c585a0be4ff2269d9d
1080p30_26,100,1920,1080,C:/Users/neelj/g406_views/1080p30_26.jpg,506434,70e3fcefd67412ce36994ef5176155207acad5fd281f69cd3e501799407b0f92
1080p30_27,100,1920,1080,C:/Users/neelj/g406_views/1080p30_27.jpg,319781,e3c4693adcfa890671fa887ce08a49bc682cd2eded23e26de304e6b97e029d7d
1080p30_28,100,1920,1080,C:/Users/neelj/g406_views/1080p30_28.jpg,345521,7c7171863e5ad7ae13bc4e542589ee1c084fd4fe6367d62f4a0b48245f833e96
