card_id,set,box_id,against
1080p30_00,producer,1080p30_00_r00,blind
1080p30_00,producer,1080p30_00_r01,blind
1080p30_00,producer,1080p30_00_r02,blind
1080p30_00,producer,1080p30_00_r03,blind
1080p30_00,blind,1080p30_00_m00,producer
1080p30_00,blind,1080p30_00_m01,producer
1080p30_00,blind,1080p30_00_m02,producer
1080p30_00,blind,1080p30_00_m03,producer
1080p30_00,blind,1080p30_00_m04,producer
1080p30_00,blind,1080p30_00_m05,producer
1080p30_00,blind,1080p30_00_m06,producer
1080p30_00,blind,1080p30_00_m07,producer
1080p30_00,blind,1080p30_00_m08,producer
1080p30_00,blind,1080p30_00_m09,producer
1080p30_00,blind,1080p30_00_m10,producer
1080p30_00,blind,1080p30_00_m11,producer
1080p30_00,blind,1080p30_00_m12,producer
1080p30_00,producer,1080p30_00_r00,comparator
1080p30_00,producer,1080p30_00_r01,comparator
1080p30_00,producer,1080p30_00_r02,comparator
1080p30_00,producer,1080p30_00_r03,comparator
1080p30_00,comparator,1080p30_00_d00,producer
1080p30_00,comparator,1080p30_00_d01,producer
1080p30_00,comparator,1080p30_00_d02,producer
1080p30_00,comparator,1080p30_00_d03,producer
1080p30_00,comparator,1080p30_00_d04,producer
1080p30_00,comparator,1080p30_00_d05,producer
1080p30_00,comparator,1080p30_00_d06,producer
1080p30_00,comparator,1080p30_00_d07,producer
1080p30_00,comparator,1080p30_00_d08,producer
1080p30_00,comparator,1080p30_00_d09,producer
1080p30_00,comparator,1080p30_00_d10,producer
1080p30_00,comparator,1080p30_00_d03,blind
1080p30_00,comparator,1080p30_00_d09,blind
1080p30_00,blind,1080p30_00_m00,comparator
1080p30_00,blind,1080p30_00_m02,comparator
1080p30_00,blind,1080p30_00_m06,comparator
1080p30_00,blind,1080p30_00_m07,comparator
1080p30_01,producer,1080p30_01_r00,blind
1080p30_01,producer,1080p30_01_r01,blind
1080p30_01,producer,1080p30_01_r02,blind
1080p30_01,producer,1080p30_01_r03,blind
1080p30_01,blind,1080p30_01_m00,producer
1080p30_01,blind,1080p30_01_m01,producer
1080p30_01,blind,1080p30_01_m02,producer
1080p30_01,blind,1080p30_01_m03,producer
1080p30_01,blind,1080p30_01_m04,producer
1080p30_01,blind,1080p30_01_m05,producer
1080p30_01,blind,1080p30_01_m06,producer
1080p30_01,blind,1080p30_01_m07,producer
1080p30_01,blind,1080p30_01_m08,producer
1080p30_01,blind,1080p30_01_m09,producer
1080p30_01,blind,1080p30_01_m10,producer
1080p30_01,blind,1080p30_01_m11,producer
1080p30_01,blind,1080p30_01_m12,producer
1080p30_01,blind,1080p30_01_m13,producer
1080p30_01,blind,1080p30_01_m14,producer
1080p30_01,blind,1080p30_01_m15,producer
1080p30_01,producer,1080p30_01_r00,comparator
1080p30_01,producer,1080p30_01_r01,comparator
1080p30_01,producer,1080p30_01_r03,comparator
1080p30_01,comparator,1080p30_01_d00,producer
1080p30_01,comparator,1080p30_01_d02,producer
1080p30_01,comparator,1080p30_01_d03,producer
1080p30_01,comparator,1080p30_01_d04,producer
1080p30_01,comparator,1080p30_01_d05,producer
1080p30_01,comparator,1080p30_01_d06,producer
1080p30_01,comparator,1080p30_01_d07,producer
1080p30_01,comparator,1080p30_01_d08,producer
1080p30_01,comparator,1080p30_01_d09,producer
1080p30_01,comparator,1080p30_01_d10,producer
1080p30_01,comparator,1080p30_01_d05,blind
1080p30_01,comparator,1080p30_01_d07,blind
1080p30_01,comparator,1080p30_01_d08,blind
1080p30_01,comparator,1080p30_01_d09,blind
1080p30_01,comparator,1080p30_01_d10,blind
1080p30_01,blind,1080p30_01_m00,comparator
1080p30_01,blind,1080p30_01_m01,comparator
1080p30_01,blind,1080p30_01_m02,comparator
1080p30_01,blind,1080p30_01_m06,comparator
1080p30_01,blind,1080p30_01_m07,comparator
1080p30_01,blind,1080p30_01_m08,comparator
1080p30_01,blind,1080p30_01_m12,comparator
1080p30_01,blind,1080p30_01_m13,comparator
1080p30_01,blind,1080p30_01_m14,comparator
1080p30_01,blind,1080p30_01_m15,comparator
1080p30_02,producer,1080p30_02_r01,blind
1080p30_02,blind,1080p30_02_m00,producer
1080p30_02,blind,1080p30_02_m02,producer
1080p30_02,producer,1080p30_02_r01,comparator
1080p30_02,comparator,1080p30_02_d01,producer
1080p30_02,blind,1080p30_02_m02,comparator
1080p30_03,producer,1080p30_03_r00,blind
1080p30_03,producer,1080p30_03_r01,blind
1080p30_03,producer,1080p30_03_r02,blind
1080p30_03,blind,1080p30_03_m00,producer
1080p30_03,blind,1080p30_03_m01,producer
1080p30_03,blind,1080p30_03_m02,producer
1080p30_03,blind,1080p30_03_m03,producer
1080p30_03,blind,1080p30_03_m04,producer
1080p30_03,blind,1080p30_03_m05,producer
1080p30_03,blind,1080p30_03_m06,producer
1080p30_03,blind,1080p30_03_m07,producer
1080p30_03,blind,1080p30_03_m08,producer
1080p30_03,blind,1080p30_03_m09,producer
1080p30_03,producer,1080p30_03_r00,comparator
1080p30_03,producer,1080p30_03_r01,comparator
1080p30_03,producer,1080p30_03_r02,comparator
1080p30_03,comparator,1080p30_03_d00,producer
1080p30_03,comparator,1080p30_03_d01,producer
1080p30_03,comparator,1080p30_03_d02,producer
1080p30_03,comparator,1080p30_03_d03,producer
1080p30_03,comparator,1080p30_03_d04,producer
1080p30_03,comparator,1080p30_03_d05,producer
1080p30_03,comparator,1080p30_03_d06,producer
1080p30_03,comparator,1080p30_03_d07,producer
1080p30_03,comparator,1080p30_03_d08,producer
1080p30_03,comparator,1080p30_03_d00,blind
1080p30_03,comparator,1080p30_03_d03,blind
1080p30_03,comparator,1080p30_03_d05,blind
1080p30_03,comparator,1080p30_03_d06,blind
1080p30_03,comparator,1080p30_03_d07,blind
1080p30_03,comparator,1080p30_03_d08,blind
1080p30_03,blind,1080p30_03_m02,comparator
1080p30_03,blind,1080p30_03_m03,comparator
1080p30_03,blind,1080p30_03_m05,comparator
1080p30_03,blind,1080p30_03_m06,comparator
1080p30_03,blind,1080p30_03_m07,comparator
1080p30_03,blind,1080p30_03_m08,comparator
1080p30_03,blind,1080p30_03_m09,comparator
1080p30_04,producer,1080p30_04_r00,blind
1080p30_04,producer,1080p30_04_r01,blind
1080p30_04,producer,1080p30_04_r02,blind
1080p30_04,blind,1080p30_04_m00,producer
1080p30_04,blind,1080p30_04_m01,producer
1080p30_04,blind,1080p30_04_m02,producer
1080p30_04,blind,1080p30_04_m03,producer
1080p30_04,blind,1080p30_04_m04,producer
1080p30_04,blind,1080p30_04_m05,producer
1080p30_04,blind,1080p30_04_m06,producer
1080p30_04,blind,1080p30_04_m07,producer
1080p30_04,blind,1080p30_04_m08,producer
1080p30_04,blind,1080p30_04_m09,producer
1080p30_04,blind,1080p30_04_m10,producer
1080p30_04,blind,1080p30_04_m11,producer
1080p30_04,producer,1080p30_04_r00,comparator
1080p30_04,producer,1080p30_04_r01,comparator
1080p30_04,producer,1080p30_04_r02,comparator
1080p30_04,comparator,1080p30_04_d00,producer
1080p30_04,comparator,1080p30_04_d01,producer
1080p30_04,comparator,1080p30_04_d02,producer
1080p30_04,comparator,1080p30_04_d03,producer
1080p30_04,comparator,1080p30_04_d04,producer
1080p30_04,comparator,1080p30_04_d05,producer
1080p30_04,comparator,1080p30_04_d06,producer
1080p30_04,comparator,1080p30_04_d07,producer
1080p30_04,comparator,1080p30_04_d08,producer
1080p30_04,comparator,1080p30_04_d09,producer
1080p30_04,comparator,1080p30_04_d10,producer
1080p30_04,comparator,1080p30_04_d11,producer
1080p30_04,comparator,1080p30_04_d12,producer
1080p30_04,comparator,1080p30_04_d13,producer
1080p30_04,comparator,1080p30_04_d08,blind
1080p30_04,comparator,1080p30_04_d11,blind
1080p30_04,comparator,1080p30_04_d12,blind
1080p30_04,blind,1080p30_04_m03,comparator
1080p30_05,producer,1080p30_05_r00,blind
1080p30_05,producer,1080p30_05_r01,blind
1080p30_05,producer,1080p30_05_r02,blind
1080p30_05,producer,1080p30_05_r03,blind
1080p30_05,blind,1080p30_05_m00,producer
1080p30_05,blind,1080p30_05_m01,producer
1080p30_05,blind,1080p30_05_m02,producer
1080p30_05,blind,1080p30_05_m03,producer
1080p30_05,blind,1080p30_05_m04,producer
1080p30_05,blind,1080p30_05_m05,producer
1080p30_05,blind,1080p30_05_m06,producer
1080p30_05,blind,1080p30_05_m07,producer
1080p30_05,blind,1080p30_05_m08,producer
1080p30_05,blind,1080p30_05_m09,producer
1080p30_05,blind,1080p30_05_m10,producer
1080p30_05,blind,1080p30_05_m11,producer
1080p30_05,blind,1080p30_05_m12,producer
1080p30_05,producer,1080p30_05_r00,comparator
1080p30_05,producer,1080p30_05_r01,comparator
1080p30_05,producer,1080p30_05_r02,comparator
1080p30_05,producer,1080p30_05_r03,comparator
1080p30_05,comparator,1080p30_05_d00,producer
1080p30_05,comparator,1080p30_05_d01,producer
1080p30_05,comparator,1080p30_05_d02,producer
1080p30_05,comparator,1080p30_05_d03,producer
1080p30_05,comparator,1080p30_05_d04,producer
1080p30_05,comparator,1080p30_05_d05,producer
1080p30_05,comparator,1080p30_05_d06,producer
1080p30_05,comparator,1080p30_05_d07,producer
1080p30_05,comparator,1080p30_05_d08,producer
1080p30_05,comparator,1080p30_05_d09,producer
1080p30_05,comparator,1080p30_05_d07,blind
1080p30_05,blind,1080p30_05_m00,comparator
1080p30_05,blind,1080p30_05_m01,comparator
1080p30_05,blind,1080p30_05_m11,comparator
1080p30_05,blind,1080p30_05_m12,comparator
1080p30_06,producer,1080p30_06_r00,blind
1080p30_06,producer,1080p30_06_r01,blind
1080p30_06,producer,1080p30_06_r02,blind
1080p30_06,producer,1080p30_06_r03,blind
1080p30_06,producer,1080p30_06_r04,blind
1080p30_06,producer,1080p30_06_r05,blind
1080p30_06,blind,1080p30_06_m00,producer
1080p30_06,blind,1080p30_06_m01,producer
1080p30_06,blind,1080p30_06_m02,producer
1080p30_06,blind,1080p30_06_m03,producer
1080p30_06,blind,1080p30_06_m04,producer
1080p30_06,blind,1080p30_06_m05,producer
1080p30_06,blind,1080p30_06_m06,producer
1080p30_06,blind,1080p30_06_m07,producer
1080p30_06,blind,1080p30_06_m08,producer
1080p30_06,blind,1080p30_06_m09,producer
1080p30_06,blind,1080p30_06_m10,producer
1080p30_06,blind,1080p30_06_m11,producer
1080p30_06,blind,1080p30_06_m12,producer
1080p30_06,producer,1080p30_06_r00,comparator
1080p30_06,producer,1080p30_06_r01,comparator
1080p30_06,producer,1080p30_06_r03,comparator
1080p30_06,producer,1080p30_06_r04,comparator
1080p30_06,producer,1080p30_06_r05,comparator
1080p30_06,comparator,1080p30_06_d00,producer
1080p30_06,comparator,1080p30_06_d01,producer
1080p30_06,comparator,1080p30_06_d02,producer
1080p30_06,comparator,1080p30_06_d04,producer
1080p30_06,comparator,1080p30_06_d05,producer
1080p30_06,comparator,1080p30_06_d06,producer
1080p30_06,comparator,1080p30_06_d07,producer
1080p30_06,comparator,1080p30_06_d08,producer
1080p30_06,comparator,1080p30_06_d09,producer
1080p30_06,comparator,1080p30_06_d10,producer
1080p30_06,comparator,1080p30_06_d02,blind
