card_id,blind_completed_utc,overlay_opened_utc
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_00,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_01,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_02,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_02,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_03,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_04,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_05,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_05,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_05,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_05,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_05,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_06,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_07,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_08,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_09,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_10,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_10,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_10,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_10,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_11,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_12,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_13,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_14,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_14,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_14,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_14,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_15,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_15,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_15,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_15,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_15,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_16,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_16,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_17,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_18,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_19,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_19,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_19,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_19,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_20,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_20,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_20,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_20,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_21,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_22,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_23,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_24,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
1080p30_25,2026-09-11T19:20:26Z,2026-09-11T19:37:29Z
