card_id,draw_kind,section_id,frame,actual_pts_s,native_width,native_height,producer_rows,candidate_rows,producer_silence,comparator_boxes,comparator_silence,blind_instances,blind_uncertain,blind_regions,blind_region_min_persons,producer_supported,producer_no_person,producer_unknown,producer_out_of_frame,producer_matched_comparator,comparator_matched_producer,comparator_matched_blind,blind_matched_producer
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,3.937267,1920,1080,4,3,0,11,0,13,1,6,90,4,0,0,0,0,0,9,0
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,12.545867,1920,1080,4,1,0,11,0,16,5,4,79,4,0,0,0,1,1,6,0
1080p30_02,1080p30,UCVSlzgun0o_s2298,474,15.8158,1920,1080,2,0,0,2,0,3,1,0,0,2,0,0,0,1,1,2,1
1080p30_03,1080p30,UCVSlzgun0o_s2298,735,24.5245,1920,1080,3,0,0,9,0,10,2,4,108,3,0,0,0,0,0,3,0
1080p30_04,1080p30,UCVSlzgun0o_s90,820,27.360667,1920,1080,3,0,0,14,0,12,1,5,116,3,0,0,0,0,0,11,0
1080p30_05,1080p30,UzaYBYy3GZg_s90,908,30.296933,1920,1080,4,0,0,10,0,13,1,5,116,4,0,0,0,0,0,9,0
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,32.032,1920,1080,6,2,0,11,0,13,0,5,118,6,0,0,0,1,1,6,0
1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,35.602233,1920,1080,6,2,0,11,0,13,2,7,123,5,1,0,0,1,1,10,0
1080p30_08,1080p30,X5w3V6rh26s_s90,1145,38.204833,1920,1080,1,0,0,15,0,12,0,6,100,1,0,0,0,1,1,10,0
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1239,41.3,1920,1080,0,0,1,9,0,5,0,1,12,0,0,0,0,0,0,4,0
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,44.566667,1920,1080,2,1,0,5,0,6,3,2,27,2,0,0,0,1,1,3,1
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,53.166667,1920,1080,5,0,0,11,0,8,1,2,33,4,1,0,0,0,0,7,1
1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,52.866667,1920,1080,6,2,0,13,0,14,2,4,44,6,0,0,0,2,2,8,0
1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,61.466667,1920,1080,4,1,0,13,0,14,2,4,36,4,0,0,0,2,2,8,0
1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,64.533333,1920,1080,4,0,0,4,0,7,4,1,8,4,0,0,0,2,2,4,2
