audit_id,sport,source_path,source_bytes,source_sha256,source_width_px,source_height_px,g210b_label_free_all_four_within_12px,g210b_label_free_max_corner_error_px,g210b_oracle_all_four_within_12px,g210b_oracle_max_corner_error_px,true_line_all_four_within_12px,true_line_max_corner_error_px
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973.jpg,605623,0d9952805c27ebf195167383d2e41d4b7ec47f4656db1b42a041a81ccc1c2e96,1920,1080,False,664.813398569232,False,22.102247083275,True,0.000000000000
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,584472,ca37d7d4f52115e43c134ea2f1fa3dccfe4971dd7672cca52844d23ed5eceae7,1920,1080,False,864.085195621132,False,26.900086711036,True,0.000000000000
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171.jpg,106044,474f93a9a7cbf4e4e92822bb59ce582d28a2141fa1959cfe0b5b26b1e3528051,640,360,False,54.863938125685,False,26.693424003592,True,0.000000000000
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,689352,753b08ce741170be6d70036b0856eec44faa051167b3ecb513915a2af265c39b,1920,1080,False,633.676516586389,False,28.359302507852,True,0.000000000000
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,297020,b52b5a96a0a7019f93f87159417cacdb96ee2c9c6809bb4c4f2c6e6a1a00c432,1280,720,False,479.307133599891,True,6.744692217456,True,0.000000000000
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,308901,eaeae070e1075f32cc55eac083de59ed4f3cdd2eead85f6d30899c9ebd2d32c7,1280,720,False,432.809490390468,False,32.637571875747,True,0.000000000000
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,679804,6d81d1810566bb3ba2830802066b2b60567b1def169f390091f240f1e529add7,1920,1080,False,923.364744356175,False,61.102801579856,True,0.000000000000
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,531457,87b35e1bcefa5ecb853516b55411fde904ffac3a6626c91026ee511cc5203aac,1920,1080,False,1091.839048295032,False,33.307597842910,True,0.000000000000
wnba__wnba_01_1080p__s01__f001600,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s01__f001600.jpg,621798,e9ead024840b53be902376b3cd76918ef36ae9d7b40527c5c413cc21ce9183f8,1920,1080,False,468.293696985087,False,92.774241200329,True,0.000000000000
wnba__wnba_01_1080p__s03__f004062,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s03__f004062.jpg,629254,a90b15f669a4d6cec666cdabdf23f0a06ef9f7d94eab4c63a729b9df43bda6ed,1920,1080,False,409.667065566717,False,26.699672335697,True,0.000000000000
wnba__wnba_01_1080p__s06__f007539,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s06__f007539.jpg,535379,03458bb065a49a8246ceed657e3c71fa5de580e957ada1545f98ecfc20f2cc8e,1920,1080,False,904.828850271483,False,24.462716724897,True,0.000000000000
wnba__wnba_02__s11__f021983,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_02__s11__f021983.jpg,251244,d7d4c3e136bf80e59bdbf1005d4fb0fad40ab22d2fdfb3d359646f844832efed,1280,720,False,860.833126811163,False,33.792880619898,True,0.000000000000
wnba__wnba_04__s06__f012223,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_04__s06__f012223.jpg,238301,fb6bf4b118082acb6c7da9022d295aff22a78b26df4a0156fab54d270e85f271,1280,720,False,421.908322295406,False,32.759892570331,True,0.000000000000
wnba__wnba_06__s03__f007237,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s03__f007237.jpg,598645,e97a546a9b140d5feb6a664a67a3229c6e41651c8cf4a2c7e963d3eb5383376e,1920,1080,False,897.456694053240,False,38.506943530561,True,0.000000000000
wnba__wnba_06__s07__f014099,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s07__f014099.jpg,530179,9713f9c49330255189eeb3e6a567936f411fa3e469a086dce17e2fb0072663df,1920,1080,False,788.752165507135,False,24.939875638428,True,0.000000000000
wnba__wnba_06__s09__f018997,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s09__f018997.jpg,622191,a8cbad7a5b73ff52af16a5867d9a10ca72c9747c427fa20b8dd22946637bc40d,1920,1080,False,840.715079732488,False,36.914618287772,True,0.000000000000
wnba__wnba_07__s08__f016801,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_07__s08__f016801.jpg,504523,15b899c56c9840a5e3e3d4726f719d19bac0da93f514c770d63e052ede4afd21,1920,1080,False,729.768116016770,False,28.841315992648,True,0.000000000000
