audit_id,sport,role,group_index,mean_abs_point_line_distance_px
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,near_baseline,680,15.043043140906
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,near_free_throw,602,6.860321384349
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,lane_left,342,3.447552057719
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,lane_right,505,12.772889747363
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,near_baseline,361,13.063489770381
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,near_free_throw,535,3.403826826116
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,lane_left,537,10.174791921514
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,lane_right,255,20.563479894799
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,near_baseline,32,10.178412103207
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,near_free_throw,29,15.206447645211
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,lane_left,35,1.229669250022
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,lane_right,65,7.346710954843
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,near_baseline,862,8.413537798689
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,near_free_throw,511,14.314244540577
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,lane_left,885,17.310554586959
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,lane_right,116,1.904616005956
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,near_baseline,89,2.210133558152
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,near_free_throw,156,2.901258925032
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,lane_left,85,3.714666735883
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,lane_right,20,4.624739608349
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,near_baseline,89,18.276742562478
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,near_free_throw,156,14.452050986587
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,lane_left,296,5.311003414905
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,lane_right,258,13.474300327281
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,near_baseline,687,20.880914316348
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,near_free_throw,246,10.334761554032
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,lane_left,207,26.179441572953
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,lane_right,455,3.195053176976
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,near_baseline,588,16.740822880300
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,near_free_throw,302,15.167770462555
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,lane_left,602,1.396969574083
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,lane_right,56,11.356839967894
wnba__wnba_01_1080p__s01__f001600,wnba,near_baseline,417,0.943562746587
wnba__wnba_01_1080p__s01__f001600,wnba,near_free_throw,438,8.999943710755
wnba__wnba_01_1080p__s01__f001600,wnba,lane_left,92,20.876175925486
wnba__wnba_01_1080p__s01__f001600,wnba,lane_right,535,59.693249497295
wnba__wnba_01_1080p__s03__f004062,wnba,near_baseline,602,8.969431800840
wnba__wnba_01_1080p__s03__f004062,wnba,near_free_throw,289,14.486837438515
wnba__wnba_01_1080p__s03__f004062,wnba,lane_left,516,1.251148220747
wnba__wnba_01_1080p__s03__f004062,wnba,lane_right,402,6.491707693008
wnba__wnba_01_1080p__s06__f007539,wnba,near_baseline,52,6.938027649961
wnba__wnba_01_1080p__s06__f007539,wnba,near_free_throw,110,7.474398575961
wnba__wnba_01_1080p__s06__f007539,wnba,lane_left,466,13.907985717438
wnba__wnba_01_1080p__s06__f007539,wnba,lane_right,20,6.101815105139
wnba__wnba_02__s11__f021983,wnba,near_baseline,309,21.264954433606
wnba__wnba_02__s11__f021983,wnba,near_free_throw,20,7.950156762239
wnba__wnba_02__s11__f021983,wnba,lane_left,198,14.651878001908
wnba__wnba_02__s11__f021983,wnba,lane_right,53,8.199927540341
wnba__wnba_04__s06__f012223,wnba,near_baseline,381,9.180884806738
wnba__wnba_04__s06__f012223,wnba,near_free_throw,305,6.079524437780
wnba__wnba_04__s06__f012223,wnba,lane_left,428,28.397019889751
wnba__wnba_04__s06__f012223,wnba,lane_right,479,15.689063368778
wnba__wnba_06__s03__f007237,wnba,near_baseline,635,10.291171708624
wnba__wnba_06__s03__f007237,wnba,near_free_throw,667,18.678209304740
wnba__wnba_06__s03__f007237,wnba,lane_left,412,18.529477609186
