family,hash,event_id,ts,cluster,loss_model,loss_incumbent
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-TOR-BOS-3,2026-04-27T12:00:00,BOS,0.3074208411,0.3074208411
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-TEX-NYY-6,2026-04-27T12:00:00,NYY,0.1615724721,0.1615724721
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-SDG-CUB-7,2026-04-27T12:00:00,CUB,0.2307766244,0.2307766244
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-PIT-STL-2,2026-04-27T12:00:00,STL,0.2858543280,0.2858543280
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-MIN-SEA-4,2026-04-27T12:00:00,SEA,0.2858543280,0.2858543280
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-CWS-LAA-5,2026-04-27T12:00:00,LAA,0.2402921953,0.2402921953
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-CLE-TAM-1,2026-04-27T12:00:00,TAM,0.3184981865,0.3184981865
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-27-LAD-MIA-8,2026-04-27T12:00:00,MIA,0.0768552103,0.0768552103
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-MIN-SEA-9,2026-04-28T12:00:00,SEA,0.2165473973,0.2165473973
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-BAL-HOU-2,2026-04-28T12:00:00,HOU,0.1985099500,0.1985099500
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-CIN-COL-3,2026-04-28T12:00:00,COL,0.1270463680,0.1270463680
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-CLE-TAM-1,2026-04-28T12:00:00,TAM,0.2907535563,0.2907535563
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-CWS-LAA-10,2026-04-28T12:00:00,LAA,0.2965395549,0.2965395549
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-LAD-MIA-15,2026-04-28T12:00:00,MIA,0.5081854720,0.5081854720
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-MIL-ARI-11,2026-04-28T12:00:00,ARI,0.1985099500,0.1985099500
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-NYM-WAS-7,2026-04-28T12:00:00,WAS,0.1415547495,0.1415547495
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-PHI-SFO-5,2026-04-28T12:00:00,SFO,0.1729242231,0.1729242231
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-PIT-STL-4,2026-04-28T12:00:00,STL,0.3460207612,0.3460207612
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-SDG-CUB-14,2026-04-28T12:00:00,CUB,0.2307766244,0.2307766244
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-TEX-NYY-12,2026-04-28T12:00:00,NYY,0.2214532872,0.2214532872
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-TOR-BOS-6,2026-04-28T12:00:00,BOS,0.2402921953,0.2402921953
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-28-ATL-DET-8,2026-04-28T12:00:00,DET,0.2123221838,0.2123221838
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-LAD-MIA-6,2026-04-29T12:00:00,MIA,0.4941672385,0.4941672385
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-MIL-ARI-12,2026-04-29T12:00:00,ARI,0.2965395549,0.2965395549
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-ATL-DET-11,2026-04-29T12:00:00,DET,0.3184981865,0.3184981865
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-CIN-COL-8,2026-04-29T12:00:00,COL,0.3412410548,0.3412410548
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-CWS-LAA-2,2026-04-29T12:00:00,LAA,0.2549750025,0.2549750025
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-TEX-NYY-4,2026-04-29T12:00:00,NYY,0.2699923106,0.2699923106
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-CLE-TAM-1,2026-04-29T12:00:00,TAM,0.2353690815,0.2353690815
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-NYM-WAS-10,2026-04-29T12:00:00,WAS,0.3460207612,0.3460207612
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-OAK-KAN-13,2026-04-29T12:00:00,KAN,0.2307766244,0.2307766244
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-MIN-SEA-3,2026-04-29T12:00:00,SEA,0.1985099500,0.1985099500
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-PIT-STL-9,2026-04-29T12:00:00,STL,0.2965395549,0.2965395549
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-SDG-CUB-7,2026-04-29T12:00:00,CUB,0.2650720518,0.2650720518
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-29-TOR-BOS-5,2026-04-29T12:00:00,BOS,0.2304000000,0.2304000000
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-MIL-ARI-9,2026-04-30T12:00:00,ARI,0.2165473973,0.2165473973
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-ATL-DET-1,2026-04-30T12:00:00,DET,0.2907535563,0.2907535563
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-CIN-COL-7,2026-04-30T12:00:00,COL,0.1647877659,0.1647877659
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-MIN-TOR-11,2026-04-30T12:00:00,TOR,0.3074208411,0.3074208411
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-NYM-WAS-8,2026-04-30T12:00:00,WAS,0.4015292618,0.4015292618
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-OAK-KAN-10,2026-04-30T12:00:00,KAN,0.2214532872,0.2214532872
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-04-30-PIT-STL-4,2026-04-30T12:00:00,STL,0.4576124567,0.4576124567
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-05-01-BOS-HOU-6,2026-05-01T12:00:00,HOU,0.2258602098,0.2258602098
mlb_bullpen_relief_chains,fa2741d1dc3593a9,2026-05-01-COL-ATL-11,2026-05-01T12:00:00,ATL,0.1491030291,0.1491030291
