possession_id,team,team_abbrev,start_time,end_time,duration_s,n_frames
196,0,,19.5,21.0,1.5,16
197,0,,21.1,34.4,13.3,134
198,0,,34.5,41.2,6.7,68
199,0,,41.3,50.9,9.6,97
537,0,,85.4,94.5,9.1,87
540,0,,94.8,101.5,6.7,68
541,0,,101.6,105.8,4.2,43
542,0,,105.9,121.2,15.3,93
648,0,,131.8,153.6,21.8,92
733,0,,162.1,176.8,14.7,148
734,0,,176.9,181.9,5.0,21
735,0,,182.0,186.4,4.4,45
737,0,,187.4,194.6,7.2,73
738,0,,194.7,203.6,8.9,90
776,0,,207.4,217.0,9.6,97
825,0,,221.9,230.3,8.4,85
829,0,,232.4,245.3,12.9,130
830,0,,245.4,247.9,2.5,26
831,0,,248.0,257.2,9.2,93
964,0,,270.5,277.2,6.7,68
965,0,,277.3,285.5,8.2,83
966,0,,285.6,291.9,6.3,64
968,0,,292.5,303.5,11.0,111
1002,0,,306.9,308.7,1.8,19
1003,0,,308.8,316.0,7.2,73
1005,0,,317.6,329.1,11.5,116
1123,0,,340.9,345.7,4.8,49
1124,0,,345.8,350.2,4.4,45
1126,0,,351.8,364.9,13.1,102
1153,0,,368.9,373.6,4.7,48
1155,0,,374.6,384.5,9.9,100
1392,0,,408.2,411.4,3.2,33
1394,0,,412.0,413.8,1.8,19
1395,0,,413.9,417.4,3.5,36
1397,0,,418.0,429.5,11.5,116
1442,0,,437.0,441.3,4.3,44
1443,0,,441.4,466.2,24.8,92
1454,0,,467.3,473.6,6.3,64
1456,0,,474.9,478.9,4.0,41
1457,0,,479.0,480.8,1.8,19
1458,0,,480.9,485.8,4.9,50
1459,0,,485.9,490.4,4.5,46
1460,0,,490.5,498.7,8.2,83
1461,0,,498.8,501.9,3.1,32
1463,0,,502.8,504.9,2.1,22
1464,0,,505.0,506.8,1.8,19
1468,0,,510.1,519.6,9.5,95
1506,0,,523.4,526.5,3.1,32
1507,0,,526.6,528.3,1.7,18
1508,0,,528.4,530.3,1.9,20
1510,0,,531.4,533.4,2.0,21
