shot_id,frame,timestamp,player_id,player_name,team,team_abbrev,x_norm,y_norm,ft_x,ft_y,dist_to_basket_ft,nearest_opponent
1,1041,34.7,9,white#?,white,BOS,0.6657,0.7949,62.57,39.74,30.04,379.8
2,2853,95.1,6,white#?,white,BOS,0.6213,0.9988,58.4,49.94,39.28,150.0
3,3168,105.6,4,green#?,green,ATL,0.735,0.5494,69.09,27.47,19.81,283.1
4,5091,169.7,5,green#?,green,ATL,0.6575,0.8399,61.8,41.99,31.86,
5,8751,291.7,9,white#?,white,BOS,0.2291,0.844,21.54,42.2,23.69,2320.6
6,12288,409.6,3,green#?,green,ATL,0.2333,0.6651,21.93,33.26,18.61,626.6
7,12543,418.1,6,white#?,white,BOS,0.8469,0.6978,79.61,34.89,13.47,413.7
8,13122,437.4,8,white#?,white,BOS,0.9365,0.8276,88.04,41.38,16.39,59.1
9,14136,471.2,4,green#?,green,ATL,0.4841,0.654,45.51,32.7,40.99,
10,15258,508.6,4,green#?,green,ATL,0.8572,0.571,80.58,28.55,8.91,
