game_id,status,n_px,n_old,px_p01_x,px_p99_x,px_p01_y,px_p99_y,player_p01_x,player_p99_x,player_p01_y,player_p99_y,player_range_x,player_range_y,ratio_x,ratio_y,ratio_pass,px_within_60,old_within_60,px_within_60_per_mille,old_within_60_per_mille,started_at_utc,finished_at_utc,duration_s,start_epoch,excluded_reason
lnb-1CBY-LXG8VA_s2664,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:41:02Z,2026-09-08T21:57:22Z,000980,1788903662,STARTED_BEFORE_EPOCH
euroleague--1Pc0v6x4xU_s90,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:37:02Z,2026-09-08T21:58:08Z,001266,1788903422,STARTED_BEFORE_EPOCH
lnb-1CBY-LXG8VA_s3951,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:43:11Z,2026-09-08T22:02:45Z,001174,1788903791,STARTED_BEFORE_EPOCH
lnb-1CBY-LXG8VA_s1377,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:39:57Z,2026-09-08T22:05:27Z,001530,1788903597,STARTED_BEFORE_EPOCH
fiba-jFUMvm_epUE_s1420,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:43:54Z,2026-09-08T22:16:53Z,001979,1788903834,STARTED_BEFORE_EPOCH
fiba-jFUMvm_epUE_s5410,OK,000975,000764,499.000000,1879.000000,41.000000,979.000000,-20.850274,1958.681771,-113.329872,1052.591689,1979.532045,1165.921561,0.697134,0.804514,1,000345,000211,000354,000276,2026-09-08T21:55:07Z,2026-09-08T22:29:47Z,002080,1788904507,
eurocup-Y6POC6V1Y5E_s1221,OK,000796,000483,181.900000,1740.100000,104.000000,882.400000,81.120000,1880.582408,351.000000,911.222738,1799.462408,560.222738,0.865925,1.389447,1,000153,000002,000192,000004,2026-09-08T22:00:29Z,2026-09-08T22:41:55Z,002486,1788904829,
lnb-1CBY-LXG8VA_s5238,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:49:34Z,2026-09-08T22:43:01Z,003207,1788904174,STARTED_BEFORE_EPOCH
fiba-jFUMvm_epUE_s2750,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:44:37Z,2026-09-08T22:47:28Z,003771,1788903877,STARTED_BEFORE_EPOCH
fiba-jFUMvm_epUE_s6740,OK,000373,000306,42.000000,1853.600000,42.720000,983.360000,181.348868,1997.833727,-125.655458,1105.313912,1816.484859,1230.969370,0.997311,0.764146,1,000221,000178,000592,000582,2026-09-08T21:56:17Z,2026-09-08T22:53:50Z,003453,1788904577,
eurocup-Y6POC6V1Y5E_s4614,OK,000937,000631,388.000000,1687.200000,44.720000,908.000000,-15.000000,1851.000000,-15.000000,1035.000000,1866.000000,1050.000000,0.696249,0.822171,1,000008,000000,000009,000000,2026-09-08T22:27:11Z,2026-09-08T22:53:50Z,001599,1788906431,
fiba-jFUMvm_epUE_s4080,MISSING_PX_FIELDS,,,,,,,,,,,,,,,,,,,,2026-09-08T21:45:40Z,2026-09-08T23:01:00Z,004520,1788903940,STARTED_BEFORE_EPOCH
eurocup-Y6POC6V1Y5E_s90,OK,000993,000502,40.000000,1684.000000,392.880000,979.000000,48.121215,1920.000000,91.000000,1035.000000,1871.878785,944.000000,0.878262,0.620890,1,000347,000079,000349,000157,2026-09-08T22:40:50Z,2026-09-08T23:02:46Z,001316,1788907250,
eurocup-Y6POC6V1Y5E_s5745,OK,000956,000958,280.400000,1818.900000,268.000000,949.450000,57.055695,1935.000000,232.304315,1035.000000,1877.944305,802.695685,0.819247,0.848952,1,000114,000006,000119,000006,2026-09-08T22:40:03Z,2026-09-08T23:04:11Z,001448,1788907203,
eurocup-Y6POC6V1Y5E_s2352,OK,000654,000967,95.770000,1748.000000,251.710000,945.410000,33.048304,1933.000000,32.030000,1033.000000,1899.951696,1000.970000,0.869617,0.693028,1,000146,000193,000223,000200,2026-09-08T22:03:57Z,2026-09-08T23:05:13Z,003676,1788905037,
fiba-jFUMvm_epUE_s90,OK,000583,000531,49.640000,1854.720000,41.640000,949.000000,-15.000000,1973.162296,-13.000000,1029.000000,1988.162296,1042.000000,0.907914,0.870787,1,000161,000002,000276,000004,2026-09-08T22:45:16Z,2026-09-08T23:08:02Z,001366,1788907516,
lnb-1CBY-LXG8VA_s6525,OK,000947,000844,41.000000,1388.640000,59.840000,526.960000,16.156059,1914.916380,88.179389,1033.000000,1898.760321,944.820612,0.709747,0.494401,1,000234,000024,000247,000028,2026-09-08T22:51:54Z,2026-09-08T23:14:05Z,001331,1788907914,
eurocup-Y6POC6V1Y5E_s3483,OK,000561,000116,182.800000,1648.800000,175.600000,974.400000,-15.000000,1183.000000,27.982301,891.000000,1198.000000,863.017699,1.223706,0.925589,1,000062,000000,000111,000000,2026-09-08T22:14:15Z,2026-09-08T23:14:48Z,003633,1788905655,
ncaaw-lFZWLVzvCEs_s1161,OK,000978,000970,748.620000,1687.800000,155.850000,845.000000,-11.480000,1935.000000,-27.747455,1037.232070,1946.480000,1064.979525,0.482502,0.647102,1,000247,000304,000253,000313,2026-09-08T23:01:22Z,2026-09-08T23:15:09Z,000827,1788908482,
nbl-U6Ng-QmKKzk_s90,OK,000551,000565,320.000000,1474.000000,87.000000,890.000000,134.754736,1932.650000,-12.000000,1032.000000,1797.895264,1044.000000,0.641862,0.769157,1,000105,000057,000191,000101,2026-09-08T22:59:36Z,2026-09-08T23:17:36Z,001080,1788908376,
lnb-1CBY-LXG8VA_s90,OK,000922,000682,108.840000,1277.900000,41.000000,322.320000,85.061651,1890.810000,25.893292,1033.000000,1805.748349,1007.106708,0.647410,0.279335,1,000093,000011,000101,000016,2026-09-08T22:51:55Z,2026-09-08T23:19:21Z,001646,1788907915,
ncaaw-lFZWLVzvCEs_s2232,OK,000977,000923,633.000000,1347.240000,40.000000,840.000000,-15.000000,1509.010000,-15.000000,1035.487725,1524.010000,1050.487725,0.468658,0.761551,1,000332,000004,000340,000004,2026-09-08T23:03:09Z,2026-09-08T23:21:51Z,001122,1788908589,
ncaaw-lFZWLVzvCEs_s3303,OK,000993,000949,707.760000,1569.080000,740.680000,977.000000,-15.000000,1935.000000,-26.495171,1035.000000,1950.000000,1061.495171,0.441703,0.222629,1,000276,000511,000278,000538,2026-09-08T23:04:12Z,2026-09-08T23:22:33Z,001101,1788908652,
acb-8Oh7-GrvKvE_s90,MISSING_TABLE,,,,,,,,,,,,,,,,,,,,2026-09-08T23:22:35Z,2026-09-08T23:23:37Z,000062,1788909755,MISSING_STORE
acb-8Oh7-GrvKvE_s1360,OK,000498,000500,40.000000,631.060000,310.910000,538.030000,-15.000000,1950.595811,-15.000000,1035.942168,1965.595811,1050.942168,0.300703,0.216111,1,000161,000063,000323,000126,2026-09-08T23:12:41Z,2026-09-08T23:24:41Z,000720,1788909161,
ncaaw-lFZWLVzvCEs_s4374,OK,000985,000669,212.000000,1042.160000,42.000000,756.880000,-14.000000,1945.885582,-39.356481,1054.566594,1959.885582,1093.923075,0.423576,0.653501,1,000207,000090,000210,000135,2026-09-08T23:07:01Z,2026-09-08T23:27:33Z,001232,1788908821,
acb-8Oh7-GrvKvE_s2630,OK,000485,000390,70.000000,1482.160000,37.000000,370.320000,-5.513649,1917.456030,-15.000000,1035.000000,1922.969679,1050.000000,0.734364,0.317448,1,000118,000117,000243,000300,2026-09-08T23:13:03Z,2026-09-08T23:29:40Z,000997,1788909183,
fiba-UG_eQNRDHiI_s6565,MISSING_TABLE,,,,,,,,,,,,,,,,,,,,2026-09-08T23:29:42Z,2026-09-08T23:30:43Z,000061,1788910182,MISSING_STORE
ncaaw-lFZWLVzvCEs_s90,OK,000990,001000,1074.000000,1637.300000,788.230000,882.220000,-15.000000,1935.000000,-9.000000,1035.000000,1950.000000,1044.000000,0.288872,0.090029,1,000174,000092,000176,000092,2026-09-08T23:15:53Z,2026-09-08T23:31:05Z,000912,1788909353,
acb-8Oh7-GrvKvE_s3900,OK,000500,000000,672.000000,674.000000,582.000000,590.000000,-15.000000,357.000000,630.000000,1035.000000,372.000000,405.000000,0.005376,0.019753,1,000000,000000,000000,,2026-09-08T23:18:20Z,2026-09-08T23:31:26Z,000786,1788909500,
ncaaw-lFZWLVzvCEs_s5445,OK,001000,000960,806.960000,1830.060000,193.000000,408.010000,-15.000000,1992.725315,-114.955171,1035.337690,2007.725315,1150.292861,0.509582,0.186918,1,000665,000502,000665,000523,2026-09-08T23:13:25Z,2026-09-08T23:31:47Z,001102,1788909205,
acb-8Oh7-GrvKvE_s5170,OK,000487,000079,84.000000,629.600000,42.000000,272.560000,-14.000000,1014.530000,-14.000000,996.544018,1028.530000,1010.544018,0.530466,0.228154,1,000023,000000,000047,000000,2026-09-08T23:20:06Z,2026-09-08T23:32:07Z,000721,1788909606,
acb-8Oh7-GrvKvE_s6440,OK,000491,000470,701.800000,1818.000000,46.900000,686.000000,-14.000000,1937.927210,-62.242686,1057.180413,1951.927210,1119.423099,0.571845,0.570919,1,000343,000167,000699,000355,2026-09-08T23:20:48Z,2026-09-08T23:33:30Z,000762,1788909648,
fiba-UG_eQNRDHiI_s3975,OK,000998,000726,40.000000,1879.000000,40.000000,863.000000,-15.000000,1935.000000,-14.000000,1037.265653,1950.000000,1051.265653,0.943077,0.782866,1,000361,000275,000362,000379,2026-09-08T23:27:34Z,2026-09-08T23:41:00Z,000806,1788910054,
fiba-UG_eQNRDHiI_s1385,OK,000956,000992,299.100000,1877.000000,120.000000,977.000000,-15.000000,1935.000000,-20.233381,1035.000000,1950.000000,1055.233381,0.809179,0.812143,1,000189,000415,000198,000418,2026-09-08T23:23:17Z,2026-09-08T23:42:46Z,001169,1788909797,
fiba-UG_eQNRDHiI_s5270,OK,000991,000877,266.200000,1190.000000,129.700000,881.000000,2.000000,1943.323719,-56.419810,1041.495748,1941.323719,1097.915558,0.475861,0.684297,1,000503,000305,000508,000348,2026-09-08T23:29:42Z,2026-09-08T23:43:28Z,000826,1788910182,
