clip,clip_sha256,start_frame,source_frames_capped,route_stride,batch_mode_no_ocr,ball_rows,player_rows,n_px,n_old,px_p01_x,px_p99_x,px_p01_y,px_p99_y,player_range_x,player_range_y,ratio_x,ratio_y,ratio_pass,px_within_60,old_within_60,px_within_60_per_mille,old_within_60_per_mille,peak_rss_mib,wall_s,scope,source_path,source_sha256,source_bytes,frames_processed,host
nba__Hm7V4jOxlUI_s3633.mp4,659f331e758237d17c93a2ad9e40198529e34c94ccdb209f6d1fd28936c96094,001200,001500,000003,000001,000015,000014,000015,000015,789.280000,796.000000,988.000000,991.000000,1239.900000,1007.765028,0.005420,0.002977,1,000014,000000,000933,000000,002475,000072,capped_1500_frames,/workspace/nba-ai-system/data/footage_corpus/nba__Hm7V4jOxlUI_s3633.mp4,659f331e758237d17c93a2ad9e40198529e34c94ccdb209f6d1fd28936c96094,41776987,001500,local_gpu
nba__Hm7V4jOxlUI_s3633.mp4,659f331e758237d17c93a2ad9e40198529e34c94ccdb209f6d1fd28936c96094,000000,,,000001,000060,000186,000045,000058,126.000000,1584.000000,196.000000,978.720000,1287.590386,1006.452427,1.132348,0.777702,1,000025,000000,000556,000000,001627,000389,full_section_130s,/workspace/nba-ai-system/data/footage_corpus/nba__Hm7V4jOxlUI_s3633.mp4,659f331e758237d17c93a2ad9e40198529e34c94ccdb209f6d1fd28936c96094,41776987,007788,pod_cpu
