clip,frame_index,blind_order,contact_sheet,tile_index
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,192,1,sheet_00.jpg,1
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,9408,2,sheet_01.jpg,24
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,13632,3,sheet_02.jpg,21
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,14784,4,sheet_03.jpg,2
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,5,sheet_03.jpg,12
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,6,sheet_04.jpg,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,7,sheet_04.jpg,5
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24000,8,sheet_05.jpg,0
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24384,9,sheet_05.jpg,2
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,24576,10,sheet_05.jpg,3
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,27072,11,sheet_05.jpg,16
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1320,1,sheet_00.jpg,11
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,2,sheet_00.jpg,13
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,3,sheet_01.jpg,18
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,6240,4,sheet_02.jpg,2
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,6840,5,sheet_02.jpg,7
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,8640,6,sheet_02.jpg,22
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,9360,7,sheet_03.jpg,3
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,10200,8,sheet_03.jpg,10
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11280,9,sheet_03.jpg,19
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,10,sheet_03.jpg,23
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,17520,11,sheet_05.jpg,21
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,192,1,sheet_00.jpg,1
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,1728,2,sheet_00.jpg,9
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,3648,3,sheet_00.jpg,19
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,4032,4,sheet_00.jpg,21
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,5,sheet_01.jpg,5
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6336,6,sheet_01.jpg,8
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,7,sheet_01.jpg,24
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,13440,8,sheet_02.jpg,20
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,9,sheet_04.jpg,12
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21696,10,sheet_04.jpg,13
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,22848,11,sheet_04.jpg,19
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,1,sheet_00.jpg,1
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,3840,2,sheet_00.jpg,20
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,3,sheet_01.jpg,6
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,7680,4,sheet_01.jpg,15
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,8448,5,sheet_01.jpg,19
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,9216,6,sheet_01.jpg,23
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,13632,7,sheet_02.jpg,21
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15936,8,sheet_03.jpg,8
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,21696,9,sheet_04.jpg,13
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,10,sheet_05.jpg,9
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,27264,11,sheet_05.jpg,17
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1337,1,sheet_00.jpg,7
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2483,2,sheet_00.jpg,13
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2865,3,sheet_00.jpg,15
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4202,4,sheet_00.jpg,22
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5539,5,sheet_01.jpg,4
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6112,6,sheet_01.jpg,7
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,11460,7,sheet_02.jpg,10
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,12606,8,sheet_02.jpg,16
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,15089,9,sheet_03.jpg,4
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,16235,10,sheet_03.jpg,10
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,24639,11,sheet_05.jpg,4
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,3648,1,sheet_00.jpg,19
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,6720,2,sheet_01.jpg,10
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,12288,3,sheet_02.jpg,14
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,12672,4,sheet_02.jpg,16
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,13248,5,sheet_02.jpg,19
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,17088,6,sheet_03.jpg,14
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,7,sheet_04.jpg,0
