frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy
2,0.033,1,green,667,502,0.0,0.0,0.0,3pt_arc,0,,,188.2,none,539387.0,1873.3,951.8,1,0,,0.0,510.0,298.0,565.0,381.0,,,0.0,623.7,0.0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,,,623.7,0.0,0.0,623.7,0.0,0.0,623.7,0.0,0.0,0.0,0,0.0,0
2,0.033,2,green,2090,1359,0.0,-171.23,0.0,mid_range,0,,,354.1,none,539387.0,1873.3,951.8,1,0,,0.0,665.0,174.0,850.0,501.0,,,0.0,1265.3,0.0,0,0,3,0,1.0,57.08,171.23,171.2,0.0,57.08,171.23,171.2,0.0,57.08,171.23,171.2,0.0,0,0,0,3,0.0,,,1311.8,45.19,0.0,1311.8,45.19,0.0,1311.8,45.19,0.0,0.0,0,0.0,0
2,0.033,3,green,2354,1123,0.0,0.0,0.0,mid_range,0,,,328.9,none,539387.0,1873.3,951.8,1,0,,0.0,646.0,293.0,704.0,418.0,,,0.0,935.9,0.0,0,0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,0.0,,,935.9,0.0,0.0,935.9,0.0,0.0,935.9,0.0,0.0,0.0,0,0.0,0
2,0.033,4,green,2960,1181,0.0,-26.93,0.0,paint,0,,,289.8,none,539387.0,1873.3,951.8,1,0,,0.0,634.0,299.0,682.0,380.0,,,0.0,436.5,0.0,0,0,3,0,1.0,8.98,26.93,26.9,0.0,8.98,26.93,26.9,0.0,8.98,26.93,26.9,0.0,0,0,0,3,0.0,,,440.7,4.03,0.0,440.7,4.03,0.0,440.7,4.03,0.0,0.0,0,0.0,0
2,0.033,5,green,2682,1099,0.0,-25.0,0.0,3pt_arc,0,,,289.8,none,539387.0,1873.3,951.8,1,0,,0.0,626.0,300.0,668.0,380.0,,,0.0,618.7,0.0,0,0,3,0,1.0,8.33,25.0,25.0,0.0,8.33,25.0,25.0,0.0,8.33,25.0,25.0,0.0,0,0,0,3,0.0,,,625.2,6.44,0.0,625.2,6.44,0.0,625.2,6.44,0.0,0.0,0,0.0,0
2,0.033,6,green,487,447,0.0,-13.34,0.0,3pt_arc,0,,,188.2,none,539387.0,1873.3,951.8,1,0,,0.0,497.0,299.0,547.0,380.0,,,0.0,527.5,0.0,0,0,3,0,1.0,4.45,13.34,13.3,0.0,4.45,13.34,13.3,0.0,4.45,13.34,13.3,0.0,0,0,0,3,0.0,,,529.5,1.97,0.0,529.5,1.97,0.0,529.5,1.97,0.0,0.0,0,0.0,0
3,0.05,1,green,667,502,0.0,0.0,0.0,3pt_arc,0,,,217.0,none,522309.0,1859.3,946.0,1,0,,0.0,510.0,300.0,564.0,381.0,,,0.0,623.7,0.0,0,0,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,151.46,,,623.7,0.0,0.0,623.7,0.0,0.0,623.7,0.0,0.0,0.0,0,0.0,0
3,0.05,2,green,1917,1292,185.52,185.52,201.2,backcourt,0,,,248.8,none,522309.0,1859.3,946.0,1,0,,0.0,665.0,175.0,833.0,500.0,,,0.0,1403.4,-143.58,0,0,4,0,1.0,89.19,185.52,356.8,0.0,89.19,185.52,356.8,0.0,89.19,185.52,356.8,0.0,0,0,0,4,151.46,,,1334.7,-2.0,0.0,1334.7,-2.0,0.0,1334.7,-2.0,0.0,0.0,0,0.0,0
3,0.05,3,green,1947,1045,414.41,414.41,190.8,backcourt,0,,,248.8,none,522309.0,1859.3,946.0,1,0,,0.0,645.2474765777588,294.07690811157227,702.9591884613037,418.7165489196777,,,0.0,1317.5,-391.55,0,0,4,0,0.933,138.14,414.41,414.4,0.0,138.14,414.41,414.4,0.0,138.14,414.41,414.4,0.0,0,0,0,4,151.46,,,1063.1,-130.52,0.0,1063.1,-130.52,0.0,1063.1,-130.52,0.0,0.0,0,0.0,0
3,0.05,4,green,2958,1184,3.61,3.61,123.7,paint,0,,,315.1,none,522309.0,1859.3,946.0,1,0,,0.0,635.0,299.0,684.0,381.0,,,0.0,440.1,-3.57,0,0,4,0,1.0,7.64,26.93,30.5,0.0,7.64,26.93,30.5,0.0,7.64,26.93,30.5,0.0,0,0,0,4,151.46,,,440.6,2.13,0.0,440.6,2.13,0.0,440.6,2.13,0.0,0.0,0,0.0,0
3,0.05,5,green,2656,1094,26.48,26.48,190.9,3pt_arc,0,,,246.7,none,522309.0,1859.3,946.0,1,0,,0.0,626.0,301.0,668.0,381.0,,,0.0,640.9,-22.27,0,0,4,0,1.0,12.87,26.48,51.5,0.0,12.87,26.48,51.5,0.0,12.87,26.48,51.5,0.0,0,0,0,4,151.46,,,629.2,-0.74,0.0,629.2,-0.74,0.0,629.2,-0.74,0.0,0.0,0,0.0,0
3,0.05,6,green,459,440,28.86,28.86,194.0,3pt_arc,0,,,217.0,none,522309.0,1859.3,946.0,1,0,,0.0,497.0,300.0,545.0,381.0,,,0.0,515.9,10.96,0,0,4,0,1.0,10.55,28.86,42.2,0.0,10.55,28.86,42.2,0.0,10.55,28.86,42.2,0.0,0,0,0,4,151.46,,,526.1,4.22,0.0,526.1,4.22,0.0,526.1,4.22,0.0,0.0,0,0.0,0
3,0.05,7,green,2411,1065,401.33,401.33,190.2,mid_range,0,,,246.7,none,522309.0,1859.3,946.0,1,0,,0.0,628.0,299.0,676.0,380.0,,,0.0,865.6,-366.07,0,0,4,0,0.8,200.66,401.33,401.3,0.0,200.66,401.33,401.3,0.0,200.66,401.33,401.3,0.0,0,0,0,4,151.46,,,695.8,-183.04,0.0,695.8,-183.04,0.0,695.8,-183.04,0.0,0.0,0,0.0,0
4,0.067,1,green,667,502,0.0,0.0,0.0,3pt_arc,0,,,217.0,none,522309.0,1852.6,944.3,1,0,,0.0,510.0,300.0,564.0,381.0,,,0.0,623.7,0.0,0,0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,6.93,,,623.7,0.0,0.0,623.7,0.0,0.0,623.7,0.0,0.0,0.0,0,0.0,0
4,0.067,2,green,1917,1292,0.0,-185.52,0.0,backcourt,0,,,259.6,none,522309.0,1852.6,944.3,1,0,,0.0,665.0,175.0,833.0,500.0,,,0.0,1403.4,0.0,0,0,5,0,1.0,71.35,185.52,356.8,0.0,71.35,185.52,356.8,0.0,71.35,185.52,356.8,0.0,0,0,0,5,6.93,,,1348.4,-1.6,0.0,1348.4,-1.6,0.0,1348.4,-1.6,0.0,0.0,0,0.0,0
4,0.067,3,green,1900,1033,48.51,-365.9,194.3,backcourt,0,,,259.6,none,522309.0,1852.6,944.3,1,0,,0.0,644.5321445465088,294.7922706604004,702.2438564300537,419.43191146850586,,,0.0,1362.4,-45.04,0,0,5,0,0.867,115.73,414.41,462.9,0.0,115.73,414.41,462.9,0.0,115.73,414.41,462.9,0.0,0,0,0,5,6.93,,,1137.9,-109.15,0.0,1137.9,-109.15,0.0,1137.9,-109.15,0.0,0.0,0,0.0,0
4,0.067,4,green,2958,1184,0.0,-3.61,0.0,paint,0,,,315.1,none,522309.0,1852.6,944.3,1,0,,0.0,635.0,299.0,684.0,381.0,,,0.0,440.1,0.0,0,0,5,0,1.0,6.11,26.93,30.5,0.0,6.11,26.93,30.5,0.0,6.11,26.93,30.5,0.0,0,0,0,5,6.93,,,440.5,1.71,0.0,440.5,1.71,0.0,440.5,1.71,0.0,0.0,0,0.0,0
4,0.067,5,green,2656,1094,0.0,-26.48,0.0,3pt_arc,0,,,246.7,none,522309.0,1852.6,944.3,1,0,,0.0,626.0,301.0,668.0,381.0,,,0.0,640.9,0.0,0,0,5,0,1.0,10.3,26.48,51.5,0.0,10.3,26.48,51.5,0.0,10.3,26.48,51.5,0.0,0,0,0,5,6.93,,,631.5,-0.59,0.0,631.5,-0.59,0.0,631.5,-0.59,0.0,0.0,0,0.0,0
4,0.067,6,green,459,440,0.0,-28.86,0.0,3pt_arc,0,,,217.0,none,522309.0,1852.6,944.3,1,0,,0.0,497.0,300.0,545.0,381.0,,,0.0,515.9,0.0,0,0,5,0,1.0,8.44,28.86,42.2,0.0,8.44,28.86,42.2,0.0,8.44,28.86,42.2,0.0,0,0,0,5,6.93,,,524.1,3.37,0.0,524.1,3.37,0.0,524.1,3.37,0.0,0.0,0,0.0,0
4,0.067,7,green,2411,1065,0.0,-401.33,0.0,mid_range,0,,,246.7,none,522309.0,1852.6,944.3,1,0,,0.0,628.0,299.0,676.0,380.0,,,0.0,865.6,0.0,0,0,5,0,0.733,133.78,401.33,401.3,0.0,133.78,401.33,401.3,0.0,133.78,401.33,401.3,0.0,0,0,0,5,6.93,,,752.4,-122.02,0.0,752.4,-122.02,0.0,752.4,-122.02,0.0,0.0,0,0.0,0
5,0.083,1,green,650,499,17.26,17.26,190.0,3pt_arc,0,,,187.3,none,522112.0,1839.0,940.0,1,0,,0.0,510.0,300.0,564.0,382.0,,,0.0,611.5,12.06,0,1,6,0,1.0,2.88,17.26,17.3,0.0,2.88,17.26,17.3,0.0,2.88,17.26,17.3,0.0,0,0,0,6,40.85,,,621.7,2.01,0.0,621.7,2.01,0.0,621.7,2.01,0.0,0.0,0,0.0,0
5,0.083,2,green,1796,1249,128.41,128.41,199.6,backcourt,0,,,234.3,none,522112.0,1839.0,940.0,1,0,,0.0,665.0,175.0,824.0,500.0,,,0.0,1507.1,-105.58,0,1,6,0,1.0,80.86,185.52,485.2,0.0,80.86,185.52,485.2,0.0,80.86,185.52,485.2,0.0,0,0,0,6,40.85,,,1374.9,-18.93,0.0,1374.9,-18.93,0.0,1374.9,-18.93,0.0,0.0,0,0.0,0
5,0.083,3,green,1854,1022,47.3,-1.21,193.4,backcourt,0,,,234.3,none,522112.0,1839.0,940.0,1,0,,0.0,643.8168125152588,295.5076332092285,701.5285243988037,420.147274017334,,,0.0,1406.7,-44.37,0,1,6,0,0.8,102.04,414.41,510.2,0.0,102.04,414.41,510.2,0.0,102.04,414.41,510.2,0.0,0,0,0,6,40.85,,,1191.7,-96.19,0.0,1191.7,-96.19,0.0,1191.7,-96.19,0.0,0.0,0,0.0,0
5,0.083,4,green,3011,1200,55.36,55.36,16.8,paint,0,,,345.5,none,522112.0,1839.0,940.0,1,0,,0.0,636.0,298.0,686.0,381.0,,,0.0,419.8,17.15,0,1,6,0,1.0,14.32,55.36,85.9,0.0,14.32,55.36,85.9,0.0,14.32,55.36,85.9,0.0,0,0,0,6,40.85,,,437.0,4.28,0.0,437.0,4.28,0.0,437.0,4.28,0.0,0.0,0,0.0,0
5,0.083,5,green,2680,1101,25.0,25.0,16.3,3pt_arc,0,,,271.4,none,522112.0,1839.0,940.0,1,0,,0.0,627.0,299.0,669.0,381.0,,,0.0,621.4,19.28,0,1,6,0,1.0,12.75,26.48,76.5,0.0,12.75,26.48,76.5,0.0,12.75,26.48,76.5,0.0,0,0,0,6,40.85,,,629.8,2.72,0.0,629.8,2.72,0.0,629.8,2.72,0.0,0.0,0,0.0,0
5,0.083,6,green,471,444,12.65,12.65,18.4,3pt_arc,0,,,187.3,none,522112.0,1839.0,940.0,1,0,,0.0,498.0,300.0,546.0,381.0,,,0.0,519.9,-4.17,0,1,6,0,1.0,9.14,28.86,54.8,0.0,9.14,28.86,54.8,0.0,9.14,28.86,54.8,0.0,0,0,0,6,40.85,,,523.4,2.12,0.0,523.4,2.12,0.0,523.4,2.12,0.0,0.0,0,0.0,0
5,0.083,7,green,2411,1065,0.0,0.0,0.0,mid_range,0,,,271.4,none,522112.0,1839.0,940.0,1,0,,0.0,628.0,299.0,676.0,380.0,,,0.0,865.6,0.0,0,1,6,0,0.667,100.33,401.33,401.3,0.0,100.33,401.33,401.3,0.0,100.33,401.33,401.3,0.0,0,0,0,6,40.85,,,780.7,-91.52,0.0,780.7,-91.52,0.0,780.7,-91.52,0.0,0.0,0,0.0,0
6,0.1,1,green,650,499,0.0,-17.26,0.0,3pt_arc,0,,,187.3,none,522112.0,1836.0,939.0,1,0,,0.0,510.0,300.0,564.0,382.0,,,0.0,611.5,0.0,0,0,7,0,1.0,2.47,17.26,17.3,0.0,2.47,17.26,17.3,0.0,2.47,17.26,17.3,0.0,0,0,0,7,3.16,,,620.2,1.72,0.0,620.2,1.72,0.0,620.2,1.72,0.0,0.0,0,0.0,0
6,0.1,2,green,1796,1249,0.0,-128.41,0.0,backcourt,0,,,236.9,none,522112.0,1836.0,939.0,1,0,,0.0,665.0,175.0,824.0,500.0,,,0.0,1507.1,0.0,0,0,7,0,1.0,69.31,185.52,485.2,0.0,69.31,185.52,485.2,0.0,69.31,185.52,485.2,0.0,0,0,0,7,3.16,,,1393.8,-16.23,0.0,1393.8,-16.23,0.0,1393.8,-16.23,0.0,0.0,0,0.0,0
6,0.1,3,green,1833,1015,22.14,-25.16,198.4,backcourt,0,,,236.9,none,522112.0,1836.0,939.0,1,0,,0.0,643.1014804840088,296.22299575805664,700.8131923675537,420.8626365661621,,,0.0,1426.8,-20.09,0,0,7,0,0.733,88.73,414.41,532.4,0.0,88.73,414.41,532.4,0.0,88.73,414.41,532.4,0.0,0,0,0,7,3.16,,,1230.9,-83.51,0.0,1230.9,-83.51,0.0,1230.9,-83.51,0.0,0.0,0,0.0,0
6,0.1,4,green,3011,1200,0.0,-55.36,0.0,paint,0,,,345.5,none,522112.0,1836.0,939.0,1,0,,0.0,636.0,298.0,686.0,381.0,,,0.0,419.8,0.0,0,0,7,0,1.0,12.27,55.36,85.9,0.0,12.27,55.36,85.9,0.0,12.27,55.36,85.9,0.0,0,0,0,7,3.16,,,434.6,3.67,0.0,434.6,3.67,0.0,434.6,3.67,0.0,0.0,0,0.0,0
6,0.1,5,green,2680,1101,0.0,-25.0,0.0,3pt_arc,0,,,271.4,none,522112.0,1836.0,939.0,1,0,,0.0,627.0,299.0,669.0,381.0,,,0.0,621.4,0.0,0,0,7,0,1.0,10.93,26.48,76.5,0.0,10.93,26.48,76.5,0.0,10.93,26.48,76.5,0.0,0,0,0,7,3.16,,,628.6,2.33,0.0,628.6,2.33,0.0,628.6,2.33,0.0,0.0,0,0.0,0
6,0.1,6,green,471,444,0.0,-12.65,0.0,3pt_arc,0,,,187.3,none,522112.0,1836.0,939.0,1,0,,0.0,498.0,300.0,546.0,381.0,,,0.0,519.9,0.0,0,0,7,0,1.0,7.84,28.86,54.8,0.0,7.84,28.86,54.8,0.0,7.84,28.86,54.8,0.0,0,0,0,7,3.16,,,522.9,1.81,0.0,522.9,1.81,0.0,522.9,1.81,0.0,0.0,0,0.0,0
6,0.1,7,green,2411,1065,0.0,0.0,0.0,mid_range,0,,,271.4,none,522112.0,1836.0,939.0,1,0,,0.0,628.0,299.0,676.0,380.0,,,0.0,865.6,0.0,0,0,7,0,0.6,80.27,401.33,401.3,0.0,80.27,401.33,401.3,0.0,80.27,401.33,401.3,0.0,0,0,0,7,3.16,,,797.7,-73.21,0.0,797.7,-73.21,0.0,797.7,-73.21,0.0,0.0,0,0.0,0
7,0.117,1,green,650,499,0.0,0.0,0.0,3pt_arc,0,,,189.8,none,526062.5,1831.0,939.7,1,0,,0.0,510.0,301.0,564.0,382.0,,,0.0,611.5,0.0,0,0,8,0,1.0,2.16,17.26,17.3,0.0,2.16,17.26,17.3,0.0,2.16,17.26,17.3,0.0,0,0,0,8,18.47,,,619.1,1.51,0.0,619.1,1.51,0.0,619.1,1.51,0.0,0.0,0,0.0,0
