selection_rank,clip,frame_index,stable_group_index,length_px,anchor_x,anchor_y,direction_x,direction_y,extent_start,extent_stop
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,0,70.346300,441.537842,254.352219,0.067392,-0.997727,-35.173150,35.173150
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,1,109.898336,187.591949,127.733315,0.216884,0.976197,-47.844142,62.054193
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,2,55.179007,270.496704,154.755554,0.212935,0.977066,-27.589511,27.589496
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,3,55.111806,63.885902,119.362953,0.015827,0.999875,-27.555903,27.555903
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,4,50.107214,50.659492,287.146423,0.999261,-0.038450,-25.053608,25.053607
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,5,508.748222,359.685669,23.543386,1.000000,0.000504,-255.311623,253.436599
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,6,49.496938,147.338745,195.506531,0.977275,-0.211975,-24.748477,24.748462
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,7,48.767652,191.354248,198.386169,0.461006,0.887397,-23.548248,25.219404
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,8,46.198230,542.165100,323.740784,0.027452,-0.999623,-23.099130,23.099100
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,9,45.955768,499.268066,287.632233,0.395871,0.918306,-22.977884,22.977884
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,10,45.481272,351.055725,243.087463,0.086825,0.996224,-22.740636,22.740636
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,11,50.593499,285.641663,186.299042,0.087733,-0.996144,-23.425620,27.167879
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,12,43.759799,47.495781,292.049866,0.999956,-0.009378,-21.879900,21.879898
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,13,43.391377,497.588196,253.106873,0.201176,0.979555,-21.695681,21.695696
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,14,42.276178,436.806885,309.989807,0.148121,-0.988969,-21.138074,21.138104
