selection_rank,clip,source_clip,frame_index,stratum,seed
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,11663,4,137092026
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,23649,9,137092026
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,16176,6,137092026
4,wnba__wnba_01_1080p,wnba__wnba_01_1080p.mp4,17917,11,137092026
5,wnba__wnba_08,wnba__wnba_08.mp4,27096,11,137092026
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,5701,2,137092026
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,26448,10,137092026
8,wnba__wnba_01,wnba__wnba_01.mp4,24705,10,137092026
9,wnba__wnba_04,wnba__wnba_04.mp4,25738,10,137092026
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg.mp4,3185,1,137092026
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,14543,6,137092026
12,wnba__wnba_05,wnba__wnba_05.mp4,18068,7,137092026
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,15688,6,137092026
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,8191,3,137092026
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,20575,9,137092026
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,19082,7,137092026
17,wnba__wnba_07,wnba__wnba_07.mp4,19183,7,137092026
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE.mp4,18027,7,137092026
19,wnba__wnba_06,wnba__wnba_06.mp4,9635,4,137092026
20,wnba__wnba_08,wnba__wnba_08.mp4,19727,8,137092026
21,wnba__wnba_08,wnba__wnba_08.mp4,23978,9,137092026
