selection_rank,clip,frame_index,claimed_correct_roles,available_roles,render_path
1,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,11663,0,0,renders/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f11663.jpg
2,ncaa_basketball__ncaa_basketball_mRkuGgeECak,23649,0,0,renders/ncaa_basketball__ncaa_basketball_mRkuGgeECak__f23649.jpg
3,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,16176,0,0,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f16176.jpg
4,wnba__wnba_01_1080p,17917,0,0,renders/wnba__wnba_01_1080p__f17917.jpg
5,wnba__wnba_08,27096,0,0,renders/wnba__wnba_08__f27096.jpg
6,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5701,0,0,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5701.jpg
7,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,26448,0,0,renders/ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f26448.jpg
8,wnba__wnba_01,24705,0,0,renders/wnba__wnba_01__f24705.jpg
9,wnba__wnba_04,25738,0,0,renders/wnba__wnba_04__f25738.jpg
10,ncaa_basketball__ncaa_basketball_4Drw9t7xqgg,3185,0,0,renders/ncaa_basketball__ncaa_basketball_4Drw9t7xqgg__f3185.jpg
11,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,14543,0,1,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f14543.jpg
12,wnba__wnba_05,18068,0,0,renders/wnba__wnba_05__f18068.jpg
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15688,0,0,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f15688.jpg
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8191,0,0,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8191.jpg
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,20575,0,0,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f20575.jpg
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19082,0,0,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19082.jpg
17,wnba__wnba_07,19183,0,0,renders/wnba__wnba_07__f19183.jpg
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,18027,0,0,renders/ncaa_basketball__ncaa_basketball_VIlUnUeCMmE__f18027.jpg
19,wnba__wnba_06,9635,0,0,renders/wnba__wnba_06__f9635.jpg
20,wnba__wnba_08,19727,0,0,renders/wnba__wnba_08__f19727.jpg
21,wnba__wnba_08,23978,0,0,renders/wnba__wnba_08__f23978.jpg
