run,sport,analysis_status,schema_missing_fields,invalid_numeric_required_rows,cls_values,observation_values,rows,step_count,speed_median,speed_p90,speed_p99,speed_p999,speed_max,track_count,track_length_median_frames,track_length_p90_frames,track_shorter_than_5_fraction,track_length_median_seconds,track_length_p90_seconds,frame_order_nonmonotonic_rows,duplicate_track_frame_rows
football_Z8Ezd95NnjM,football,comparable,,0,['player'],['observed'],136911,0,,,,,,29,1072.0,14836.599999999999,0.13793103448275862,35.76906666666667,495.0478866666666,0,0
football_wHZt1eY3A9s,football,comparable,,0,['player'],['observed'],258248,0,,,,,,37,2666.0,20801.6,0.02702702702702703,88.95553333333334,694.0800533333332,0,0
football_yahhMkUWd7c,football,comparable,,0,['player'],['observed'],147019,0,,,,,,33,1015.0,14231.2,0.12121212121212122,33.86716666666667,474.84770666666674,0,0
kbo_01,kbo,comparable,,0,['player'],['observed'],63497,0,,,,,,4381,9.0,35.0,0.33006162976489384,0.15015,0.5839166666666666,0,0
kbo_02,kbo,comparable,,0,['player'],['observed'],39744,0,,,,,,3020,8.0,31.0,0.3622516556291391,0.13346666666666668,0.5171833333333333,0,0
kbo_03,kbo,comparable,,0,['player'],['observed'],39254,0,,,,,,2959,8.0,31.0,0.3565393714092599,0.13346666666666668,0.5171833333333333,0,0
kbo_04,kbo,comparable,,0,['player'],['observed'],54914,0,,,,,,3835,9.0,36.0,0.34185136897001306,0.15015,0.6006,0,0
kbo_05,kbo,comparable,,0,['player'],['observed'],53295,0,,,,,,3876,7.0,35.0,0.40170278637770895,0.11678333333333334,0.5839166666666666,0,0
kbo_06,kbo,comparable,,0,['player'],['observed'],47317,0,,,,,,3323,9.0,37.0,0.3623232019259705,0.15015,0.6172833333333333,0,0
kbo_07,kbo,comparable,,0,['player'],['observed'],49366,0,,,,,,3151,9.0,38.0,0.33608378292605523,0.15015,0.6339666666666667,0,0
kbo_08,kbo,comparable,,0,['player'],['observed'],76995,0,,,,,,5052,10.0,36.0,0.3068091844813935,0.16683333333333333,0.6006,0,0
kbo_09,kbo,comparable,,0,['player'],['observed'],86881,0,,,,,,5469,9.0,40.0,0.37081733406472844,0.15015,0.6673333333333333,0,0
kbo_10,kbo,comparable,,0,['player'],['observed'],58895,0,,,,,,4173,8.0,34.80000000000018,0.3527438293793434,0.13346666666666668,0.580580000000003,0,0
mlb_2026-08-30_03d78bee,mlb,comparable,,0,['player'],['observed'],39998,0,,,,,,3173,8.0,30.0,0.3643239836117239,0.13346666666666668,0.5005000000000001,0,0
mlb_2026-08-30_08b16ce9,mlb,comparable,,0,['player'],['observed'],49132,0,,,,,,3727,9.0,32.0,0.3410249530453448,0.15015,0.5338666666666667,0,0
mlb_2026-08-30_0f36e8cc,mlb,comparable,,0,['player'],['observed'],54537,0,,,,,,4773,7.0,28.0,0.4007961449821915,0.11678333333333334,0.46713333333333334,0,0
mlb_2026-08-30_10893dca,mlb,comparable,,0,['player'],['observed'],32380,0,,,,,,2584,8.0,29.0,0.33862229102167185,0.13346666666666668,0.4838166666666667,0,0
mlb_2026-08-30_1c6706c6,mlb,comparable,,0,['player'],['observed'],42691,0,,,,,,2728,10.0,36.0,0.3101173020527859,0.16683333333333333,0.6006,0,0
mlb_2026-08-30_2143de43,mlb,comparable,,0,['player'],['observed'],46570,0,,,,,,3721,8.0,30.0,0.3705993012631013,0.13346666666666668,0.5005000000000001,0,0
