game,cluster_id,timestamp,n_ticks,loss_recal_null,loss_simulator,paired_loss_recal_null_minus_simulator
401809798,401809798,401809798:120,6,0.5588456903779305,0.2731526692708333,0.28569302110709716
401810022,401810022,401810022:120,6,0.6619666257225997,0.2525227864583333,0.4094438392642663
401810042,401810042,401810042:120,6,0.2516167823471587,0.2066650390625,0.04495174328465865
401810056,401810056,401810056:120,6,0.3546301808587408,0.24507649739583334,0.10955368346290745
401810130,401810130,401810130:120,6,0.13209940231777673,0.2659505208333333,-0.13385111851555662
401810156,401810156,401810156:120,6,0.010130995597928232,0.24336751302083334,-0.2332365174229051
401810179,401810179,401810179:120,6,0.4187111803497423,0.2578531901041667,0.16085799024557562
401810183,401810183,401810183:120,6,0.017109796158472416,0.2642008463541667,-0.24709105019569425
401810233,401810233,401810233:120,6,0.33261186202500387,0.24930826822916666,0.0833035937958372
401810249,401810249,401810249:120,6,0.1156307988104831,0.22599283854166666,-0.11036203973118357
401810253,401810253,401810253:120,6,0.10885931526560559,0.23250325520833334,-0.12364393994272775
401810255,401810255,401810255:120,6,0.09522662587045112,0.2352294921875,-0.14000286631704886
401810386,401810386,401810386:120,6,0.30920911687807817,0.24674479166666666,0.06246432521141151
401810388,401810388,401810388:120,6,0.16552049587695467,0.3227132161458333,-0.15719272026887868
401810398,401810398,401810398:120,6,0.12220784405146062,0.2577718098958333,-0.1355639658443727
401810410,401810410,401810410:120,6,0.008270498115241609,0.20438639322916666,-0.19611589511392505
401810533,401810533,401810533:120,6,0.02401411547546826,0.18379720052083334,-0.15978308504536506
401810539,401810539,401810539:120,6,0.07639186039586492,0.1630859375,-0.08669407710413508
401810541,401810541,401810541:120,6,0.1054944034833269,0.2755940755208333,-0.17009967203750642
401810549,401810549,401810549:120,6,0.2461745951261627,0.2848307291666667,-0.038656134040504
401810570,401810570,401810570:120,6,0.058362561395825956,0.2587076822916667,-0.20034512089584075
401810628,401810628,401810628:120,6,0.01600009064407266,0.2657470703125,-0.24974697966842732
401810663,401810663,401810663:120,6,0.007784604875249752,0.2522786458333333,-0.24449404095808358
401810771,401810771,401810771:120,6,0.9126637222589253,0.3114420572916667,0.6012216649672587
401810811,401810811,401810811:120,6,0.011766113648110544,0.2816569010416667,-0.26989078739355615
401810831,401810831,401810831:120,6,0.06252051837037735,0.2164306640625,-0.15391014569212266
401810930,401810930,401810930:120,6,0.007946565655701392,0.1749267578125,-0.1669801921567986
401810966,401810966,401810966:120,6,0.04302801486472544,0.296630859375,-0.25360284451027454
401810972,401810972,401810972:120,6,0.056586666058360456,0.2899169921875,-0.23333032612913954
401836800,401836800,401836800:120,6,0.06410302994573717,0.2520751953125,-0.18797216536676284
