frame_approx,video_sec,game_clock_sec,period,score_home,score_away,score_margin,shot_clock_est
0,0,388,1,21,15,6,20.0
29,1,389,1,21,15,6,19.0
59,2,390,1,21,15,6,18.0
89,3,391,1,21,15,6,17.0
119,4,392,1,21,15,6,16.0
149,5,393,1,21,15,6,15.0
179,6,394,1,21,17,4,24.0
209,7,395,1,21,17,4,23.0
239,8,396,1,21,17,4,22.0
269,9,397,1,21,17,4,21.0
299,10,398,1,21,17,4,20.0
329,11,399,1,21,17,4,19.0
359,12,400,1,21,17,4,18.0
389,13,401,1,21,17,4,17.0
419,14,402,1,21,17,4,16.0
449,15,403,1,21,17,4,15.0
479,16,404,1,21,17,4,14.0
509,17,405,1,21,17,4,13.0
539,18,406,1,21,17,4,12.0
569,19,407,1,21,17,4,11.0
599,20,408,1,21,17,4,10.0
629,21,409,1,21,17,4,9.0
659,22,410,1,21,17,4,8.0
689,23,411,1,21,17,4,7.0
719,24,412,1,21,17,4,6.0
749,25,413,1,21,17,4,5.0
779,26,414,1,21,17,4,4.0
809,27,415,1,21,17,4,3.0
839,28,416,1,24,17,7,24.0
869,29,417,1,24,17,7,23.0
899,30,418,1,24,17,7,22.0
929,31,419,1,24,17,7,21.0
959,32,420,1,24,17,7,20.0
989,33,421,1,24,17,7,19.0
1018,34,422,1,24,17,7,18.0
1048,35,423,1,24,17,7,17.0
1078,36,424,1,24,17,7,16.0
1108,37,425,1,24,17,7,15.0
1138,38,426,1,24,17,7,14.0
1168,39,427,1,24,17,7,13.0
1198,40,428,1,24,17,7,12.0
1228,41,429,1,24,17,7,11.0
1258,42,430,1,24,17,7,14.0
1288,43,431,1,24,17,7,13.0
1318,44,432,1,24,17,7,12.0
1348,45,433,1,24,17,7,11.0
1378,46,434,1,24,17,7,10.0
1408,47,435,1,24,17,7,9.0
1438,48,436,1,24,17,7,8.0
1468,49,437,1,24,17,7,7.0
1498,50,438,1,24,17,7,6.0
1528,51,439,1,24,17,7,5.0
1558,52,440,1,24,17,7,14.0
1588,53,441,1,24,17,7,13.0
1618,54,442,1,24,17,7,14.0
1648,55,443,1,24,17,7,13.0
1678,56,444,1,24,17,7,12.0
1708,57,445,1,24,17,7,11.0
1738,58,446,1,24,17,7,10.0
1768,59,447,1,24,17,7,9.0
1798,60,448,1,24,17,7,8.0
1828,61,449,1,24,17,7,7.0
1858,62,450,1,24,17,7,6.0
1888,63,451,1,24,17,7,5.0
1918,64,452,1,24,17,7,4.0
1948,65,453,1,24,17,7,3.0
1978,66,454,1,24,17,7,2.0
2007,67,455,1,24,17,7,1.0
2037,68,456,1,24,17,7,0.0
2067,69,457,1,24,17,7,0.0
2097,70,458,1,24,17,7,0.0
2127,71,459,1,24,17,7,0.0
2157,72,460,1,24,17,7,24.0
2187,73,461,1,24,17,7,23.0
2217,74,462,1,24,17,7,22.0
2247,75,463,1,24,19,5,24.0
2277,76,464,1,24,19,5,23.0
2307,77,465,1,24,19,5,22.0
2337,78,466,1,24,19,5,21.0
2367,79,467,1,24,19,5,20.0
2397,80,468,1,24,19,5,19.0
2427,81,469,1,24,19,5,18.0
2457,82,470,1,24,19,5,17.0
2487,83,471,1,24,19,5,16.0
2517,84,472,1,24,19,5,15.0
2547,85,473,1,24,19,5,14.0
2577,86,474,1,24,19,5,13.0
2607,87,475,1,24,19,5,12.0
2637,88,476,1,24,19,5,14.0
2667,89,477,1,24,19,5,13.0
2697,90,478,1,24,19,5,12.0
2727,91,479,1,24,19,5,11.0
2757,92,480,1,24,19,5,10.0
2787,93,481,1,24,19,5,9.0
2817,94,482,1,24,19,5,8.0
2847,95,483,1,24,19,5,7.0
2877,96,484,1,24,19,5,6.0
2907,97,485,1,24,19,5,5.0
2937,98,486,1,24,19,5,4.0
2967,99,487,1,24,19,5,3.0
2997,100,488,1,24,19,5,2.0
3026,101,489,1,24,19,5,1.0
3056,102,490,1,24,19,5,0.0
3086,103,491,1,24,19,5,0.0
3116,104,492,1,24,19,5,14.0
3146,105,493,1,24,19,5,13.0
3176,106,494,1,24,19,5,12.0
3206,107,495,1,24,19,5,11.0
3236,108,496,1,24,19,5,10.0
3266,109,497,1,24,19,5,9.0
3296,110,498,1,24,19,5,8.0
3326,111,499,1,24,19,5,7.0
3356,112,500,1,24,19,5,14.0
3386,113,501,1,24,19,5,13.0
3416,114,502,1,24,19,5,12.0
3446,115,503,1,24,19,5,11.0
3476,116,504,1,24,19,5,10.0
3506,117,505,1,24,19,5,9.0
3536,118,506,1,24,19,5,8.0
3566,119,507,1,24,19,5,7.0
3596,120,508,1,24,19,5,6.0
3626,121,509,1,24,19,5,5.0
3656,122,510,1,24,22,2,24.0
3686,123,511,1,24,22,2,23.0
3716,124,512,1,24,22,2,22.0
3746,125,513,1,24,22,2,21.0
3776,126,514,1,24,22,2,20.0
3806,127,515,1,24,22,2,19.0
3836,128,516,1,24,22,2,18.0
3866,129,517,1,24,22,2,17.0
3896,130,518,1,24,22,2,16.0
3926,131,519,1,24,22,2,15.0
3956,132,520,1,24,22,2,14.0
3986,133,521,1,24,22,2,13.0
4015,134,522,1,24,22,2,12.0
4045,135,523,1,24,22,2,11.0
4075,136,524,1,24,22,2,10.0
4105,137,525,1,24,22,2,9.0
4135,138,526,1,24,22,2,8.0
4165,139,527,1,24,22,2,7.0
4195,140,528,1,24,22,2,6.0
4225,141,529,1,24,22,2,5.0
4255,142,530,1,24,22,2,4.0
4285,143,531,1,24,22,2,14.0
4315,144,532,1,24,22,2,13.0
4345,145,533,1,24,22,2,12.0
4375,146,534,1,24,22,2,11.0
4405,147,535,1,24,22,2,10.0
4435,148,536,1,24,22,2,9.0
4465,149,537,1,24,22,2,8.0
4495,150,538,1,24,22,2,7.0
4525,151,539,1,24,22,2,6.0
4555,152,540,1,24,22,2,5.0
4585,153,541,1,24,22,2,4.0
4615,154,542,1,24,22,2,3.0
4645,155,543,1,24,22,2,24.0
4675,156,544,1,24,22,2,23.0
4705,157,545,1,24,22,2,22.0
4735,158,546,1,24,22,2,21.0
4765,159,547,1,24,22,2,20.0
4795,160,548,1,24,22,2,19.0
4825,161,549,1,24,22,2,18.0
4855,162,550,1,24,22,2,17.0
4885,163,551,1,24,22,2,16.0
4915,164,552,1,24,22,2,15.0
4945,165,553,1,24,22,2,14.0
4975,166,554,1,24,22,2,13.0
5004,167,555,1,24,22,2,12.0
5034,168,556,1,24,22,2,11.0
5064,169,557,1,24,22,2,10.0
5094,170,558,1,24,22,2,9.0
5124,171,559,1,24,22,2,8.0
5154,172,560,1,24,22,2,7.0
5184,173,561,1,24,22,2,6.0
5214,174,562,1,24,22,2,14.0
5244,175,563,1,24,22,2,13.0
5274,176,564,1,24,22,2,12.0
5304,177,565,1,24,22,2,11.0
5334,178,566,1,24,22,2,10.0
5364,179,567,1,24,22,2,9.0
5394,180,568,1,24,22,2,8.0
5424,181,569,1,24,22,2,7.0
5454,182,570,1,24,22,2,6.0
5484,183,571,1,24,22,2,5.0
5514,184,572,1,24,22,2,4.0
5544,185,573,1,24,22,2,3.0
5574,186,574,1,24,22,2,2.0
5604,187,575,1,24,22,2,14.0
5634,188,576,1,24,22,2,13.0
5664,189,577,1,24,24,0,24.0
5694,190,578,1,24,24,0,23.0
5724,191,579,1,24,24,0,22.0
5754,192,580,1,24,24,0,21.0
5784,193,581,1,24,24,0,20.0
5814,194,582,1,24,24,0,19.0
5844,195,583,1,24,24,0,18.0
5874,196,584,1,24,24,0,17.0
5904,197,585,1,24,24,0,16.0
5934,198,586,1,24,24,0,15.0
5964,199,587,1,24,24,0,14.0
5994,200,588,1,24,24,0,13.0
6023,201,589,1,24,24,0,12.0
6053,202,590,1,24,24,0,11.0
6083,203,591,1,24,24,0,10.0
6113,204,592,1,24,24,0,9.0
6143,205,593,1,24,24,0,8.0
6173,206,594,1,24,24,0,7.0
6203,207,595,1,24,24,0,6.0
6233,208,596,1,24,24,0,5.0
6263,209,597,1,24,24,0,4.0
6293,210,598,1,24,24,0,3.0
6323,211,599,1,24,24,0,14.0
6353,212,600,1,24,24,0,13.0
6383,213,601,1,24,24,0,12.0
6413,214,602,1,24,27,-3,24.0
6443,215,603,1,24,27,-3,23.0
6473,216,604,1,24,27,-3,22.0
6503,217,605,1,24,27,-3,21.0
6533,218,606,1,24,27,-3,20.0
6563,219,607,1,24,27,-3,19.0
6593,220,608,1,24,27,-3,18.0
6623,221,609,1,24,27,-3,17.0
6653,222,610,1,24,27,-3,16.0
6683,223,611,1,24,27,-3,15.0
6713,224,612,1,24,27,-3,14.0
6743,225,613,1,24,27,-3,13.0
6773,226,614,1,24,27,-3,12.0
6803,227,615,1,24,27,-3,11.0
6833,228,616,1,24,27,-3,10.0
6863,229,617,1,24,27,-3,9.0
6893,230,618,1,24,27,-3,8.0
6923,231,619,1,24,27,-3,7.0
6953,232,620,1,24,27,-3,14.0
6983,233,621,1,24,27,-3,13.0
7012,234,622,1,24,27,-3,12.0
7042,235,623,1,24,27,-3,11.0
7072,236,624,1,24,27,-3,14.0
7102,237,625,1,26,27,-1,24.0
7132,238,626,1,26,27,-1,23.0
7162,239,627,1,26,27,-1,22.0
7192,240,628,1,26,27,-1,21.0
7222,241,629,1,26,27,-1,20.0
7252,242,630,1,26,27,-1,19.0
7282,243,631,1,26,27,-1,18.0
7312,244,632,1,26,27,-1,17.0
7342,245,633,1,26,27,-1,16.0
7372,246,634,1,26,27,-1,15.0
7402,247,635,1,26,27,-1,14.0
7432,248,636,1,26,27,-1,13.0
7462,249,637,1,26,27,-1,12.0
7492,250,638,1,26,27,-1,11.0
7522,251,639,1,26,27,-1,10.0
7552,252,640,1,26,27,-1,9.0
7582,253,641,1,26,27,-1,8.0
7612,254,642,1,26,27,-1,7.0
7642,255,643,1,26,30,-4,24.0
7672,256,644,1,26,30,-4,23.0
7702,257,645,1,26,30,-4,22.0
7732,258,646,1,26,30,-4,21.0
7762,259,647,1,26,30,-4,20.0
7792,260,648,1,26,30,-4,19.0
7822,261,649,1,26,30,-4,18.0
7852,262,650,1,26,30,-4,17.0
7882,263,651,1,26,30,-4,16.0
7912,264,652,1,26,30,-4,15.0
7942,265,653,1,26,30,-4,14.0
7972,266,654,1,26,30,-4,13.0
8001,267,655,1,26,30,-4,12.0
8031,268,656,1,26,30,-4,11.0
8061,269,657,1,26,30,-4,10.0
