audit_id,source_path,source_bytes,resolution,league,named_landmarks,raw_contours,contours_perimeter_ge_120,four_vertex_contours,largest_contour_perimeter_px,largest_contour_perimeter_fraction_of_bar,outline_quads,physical_quads,supported_quads,area_bar_px2,side_bar_px,largest_area_px2,largest_area_fraction_of_bar,longest_shortest_side_px,longest_shortest_side_fraction_of_bar,highest_line_support,line_support_fraction_of_bar,first_rejecting_gate,closest_fraction_of_rejected_gate_bar
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973.jpg,605623,1920x1080,ncaa_basketball,none,1970,594,45,2592.1921133995056,21.60160094499588,2,0,0,12441.6,162.0,2325.0,0.18687307098765432,39.293766021728516,0.24255411124523776,,,2. _paint area and shortest-side,0.18687307098765432
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,584472,1920x1080,ncaa_basketball,none,1955,570,34,5314.47935295105,44.287327941258745,6,0,0,12441.6,162.0,112709.0,9.059043852880658,76.0,0.4691358024691358,,,2. _paint area and shortest-side,0.4691358024691358
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171.jpg,106044,640x360,ncaa_basketball,none,817,115,9,1549.5016560554504,12.912513800462087,0,0,0,1382.3999999999999,54.0,,,,,,,1. _candidate_quads,0.0
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,689352,1920x1080,ncaa_basketball,none,2779,549,43,5124.985507488251,42.70821256240209,2,0,0,12441.6,162.0,15290.0,1.2289416152263375,11.661903381347656,0.07198705790955344,,,2. _paint area and shortest-side,0.07198705790955344
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,297020,1280x720,ncaa_basketball,none,1291,277,15,2415.4915475845337,20.129096229871113,5,0,0,5529.599999999999,108.0,7964.0,1.4402488425925928,57.706153869628906,0.534316239533601,,,2. _paint area and shortest-side,0.534316239533601
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,308901,1280x720,ncaa_basketball,none,1504,305,21,2824.763624191284,23.5396968682607,5,0,0,5529.599999999999,108.0,3654.5,0.6608977141203705,57.245086669921875,0.5300470987955729,,,2. _paint area and shortest-side,0.41503906250000006
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,679804,1920x1080,ncaa_basketball,none,3090,495,21,6048.240887641907,50.402007397015886,3,0,0,12441.6,162.0,6696.0,0.5381944444444444,31.14482307434082,0.19225199428605444,,,2. _paint area and shortest-side,0.19225199428605444
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,531457,1920x1080,ncaa_basketball,none,1848,345,25,5870.8683042526245,48.923902535438536,9,0,0,12441.6,162.0,13274.0,1.0669045781893003,78.58753204345703,0.4851082224904755,,,2. _paint area and shortest-side,0.4851082224904755
wnba__wnba_01_1080p__s01__f001600,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s01__f001600.jpg,621798,1920x1080,wnba,none,3254,651,35,4741.581944346428,39.51318286955357,4,0,0,12441.6,162.0,4774.5,0.3837528935185185,44.0113639831543,0.27167508631576726,,,2. _paint area and shortest-side,0.23586386221426506
wnba__wnba_01_1080p__s03__f004062,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s03__f004062.jpg,629254,1920x1080,wnba,none,3096,662,51,3845.804377913475,32.04836981594563,4,0,0,12441.6,162.0,13760.0,1.1059670781893003,75.80237579345703,0.4679158999596113,,,2. _paint area and shortest-side,0.4679158999596113
wnba__wnba_01_1080p__s06__f007539,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s06__f007539.jpg,535379,1920x1080,wnba,none,2132,517,50,5890.433006167412,49.086941718061766,1,0,0,12441.6,162.0,464.0,0.03729423868312757,8.5440034866333,0.052740762263168525,,,2. _paint area and shortest-side,0.03729423868312757
wnba__wnba_02__s11__f021983,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_02__s11__f021983.jpg,251244,1280x720,wnba,none,1060,277,20,1902.849847316742,15.85708206097285,2,0,0,5529.599999999999,108.0,6476.5,1.1712420428240742,42.10700607299805,0.389879685861093,,,2. _paint area and shortest-side,0.389879685861093
wnba__wnba_04__s06__f012223,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_04__s06__f012223.jpg,238301,1280x720,wnba,none,680,229,28,2045.2274825572968,17.04356235464414,3,0,0,5529.599999999999,108.0,9256.5,1.6739908854166667,40.31128692626953,0.37325265672471786,,,2. _paint area and shortest-side,0.37325265672471786
wnba__wnba_06__s03__f007237,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s03__f007237.jpg,598645,1920x1080,wnba,none,3041,520,30,3282.764834165573,27.356373618046444,7,0,0,12441.6,162.0,6135.0,0.49310378086419754,46.3249397277832,0.2859564180727358,,,2. _paint area and shortest-side,0.2859564180727358
wnba__wnba_06__s07__f014099,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s07__f014099.jpg,530179,1920x1080,wnba,none,2163,448,29,3158.1576256752014,26.317980213960013,2,0,0,12441.6,162.0,501.0,0.040268132716049385,8.602325439453125,0.053100774317611885,,,2. _paint area and shortest-side,0.040268132716049385
wnba__wnba_06__s09__f018997,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_06__s09__f018997.jpg,622191,1920x1080,wnba,none,3220,538,33,3501.0175788402557,29.175146490335464,3,0,0,12441.6,162.0,22090.0,1.7754951131687242,23.021728515625,0.1421094352816358,,,2. _paint area and shortest-side,0.13294110082304528
wnba__wnba_07__s08__f016801,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_07__s08__f016801.jpg,504523,1920x1080,wnba,none,1788,431,33,4387.703875660896,36.5641989638408,4,0,0,12441.6,162.0,1027.5,0.08258584104938271,30.5941162109375,0.1888525692033179,,,2. _paint area and shortest-side,0.06203626703332971
