audit_id,clip,source_frame,side,paint_depth_px,paint_depth_feet_assumed,tolerance_px,tolerance_feet_along_paint_depth
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,left,197.463921,19.0,12.0,1.154641
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,3973,right,115.394974,19.0,12.0,1.975823
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,left,153.730283,19.0,12.0,1.483117
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,15785,right,137.640837,19.0,12.0,1.656485
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,left,236.002119,19.0,12.0,0.966093
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28171,right,234.104677,19.0,12.0,0.973923
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,left,260.768096,19.0,12.0,0.87434
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball__ncaa_basketball_mRkuGgeECak,16871,right,255.196003,19.0,12.0,0.893431
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,left,475.329359,19.0,12.0,0.479667
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,6925,right,463.191105,19.0,12.0,0.492237
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,left,443.226804,19.0,12.0,0.514409
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,2920,right,437.579707,19.0,12.0,0.521048
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,left,501.522681,19.0,12.0,0.454616
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,5760,right,442.431916,19.0,12.0,0.515334
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,left,741.114026,19.0,12.0,0.307645
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,20340,right,720.277724,19.0,12.0,0.316545
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,left,298.690475,19.0,12.0,0.763332
wnba__wnba_01_1080p__s01__f001600,wnba__wnba_01_1080p,1600,right,346.590537,19.0,12.0,0.657837
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,left,751.870335,19.0,12.0,0.303244
wnba__wnba_01_1080p__s03__f004062,wnba__wnba_01_1080p,4062,right,690.163024,19.0,12.0,0.330357
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,left,711.506149,19.0,12.0,0.320447
wnba__wnba_01_1080p__s06__f007539,wnba__wnba_01_1080p,7539,right,720.000694,19.0,12.0,0.316666
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,left,366.230802,19.0,12.0,0.622558
wnba__wnba_02__s11__f021983,wnba__wnba_02,21983,right,389.647276,19.0,12.0,0.585145
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,left,322.49031,19.0,12.0,0.706998
wnba__wnba_04__s06__f012223,wnba__wnba_04,12223,right,320.624391,19.0,12.0,0.711112
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,left,751.681448,19.0,12.0,0.30332
wnba__wnba_06__s03__f007237,wnba__wnba_06,7237,right,730.616178,19.0,12.0,0.312065
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,left,771.621669,19.0,12.0,0.295482
wnba__wnba_06__s07__f014099,wnba__wnba_06,14099,right,780.400538,19.0,12.0,0.292158
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,left,1065.692263,19.0,12.0,0.213945
wnba__wnba_06__s09__f018997,wnba__wnba_06,18997,right,1060.188662,19.0,12.0,0.215056
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,left,900.88845,19.0,12.0,0.253083
wnba__wnba_07__s08__f016801,wnba__wnba_07,16801,right,900.055554,19.0,12.0,0.253318
