audit_id,rank,x_px,y_px
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,1,392,322
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,2,227,322
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,3,443,332
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,4,227,333
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,5,217,322
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,6,381,323
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,7,132,319
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,8,412,326
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,9,118,325
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,10,485,328
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,11,456,331
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,12,521,333
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,13,557,334
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,14,56,328
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,15,148,319
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,16,422,328
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,17,227,303
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,18,526,324
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,19,571,331
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,20,534,333
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,21,392,334
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,22,546,324
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,23,261,307
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,24,244,303
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,25,263,354
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,26,554,137
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,27,80,329
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,28,215,308
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,29,87,306
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,30,109,302
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,31,119,303
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,32,58,178
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,33,545,334
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,34,106,324
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,35,90,329
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,36,558,322
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,37,538,136
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,38,300,358
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,39,579,343
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,40,50,165
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,41,428,343
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,42,46,331
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,43,69,166
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,44,210,340
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,45,351,130
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,46,373,330
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,47,401,146
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,48,32,93
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,49,302,137
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,50,390,179
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,51,88,195
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,52,435,357
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,53,70,182
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,54,219,145
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,55,400,156
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,56,48,177
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,57,575,137
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,58,129,335
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,59,49,207
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,60,17,342
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,61,364,130
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,62,540,310
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,63,239,107
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,64,518,137
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,65,588,310
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,66,91,167
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,67,603,311
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,68,589,26
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,69,231,101
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,70,37,342
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,71,324,186
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,72,42,81
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,73,552,30
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,74,422,270
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,75,609,137
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,76,403,133
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,77,48,138
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,78,563,126
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,79,577,91
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,80,486,310
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,81,625,254
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,82,386,301
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,83,633,144
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,84,430,220
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,85,485,144
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,86,216,166
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,87,401,312
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,88,78,342
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,89,206,167
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,90,563,27
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,91,402,302
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,92,592,144
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,93,27,182
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,94,578,26
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,95,597,215
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,96,17,231
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,97,378,149
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,98,325,169
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,99,380,77
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,100,422,234
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,1,1713,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,2,1622,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,3,1577,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,4,1701,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,5,1618,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,6,1633,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,7,1269,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,8,1685,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,9,1239,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,10,1656,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,11,1689,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,12,1359,999
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,13,1599,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,14,1671,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,15,1378,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,16,1633,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,17,1324,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,18,1577,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,19,1701,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,20,1178,973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,21,676,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,22,1675,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,23,1594,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,24,1154,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,25,1681,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,26,1605,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,27,1360,983
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,28,1336,997
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,29,1251,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,30,363,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,31,1665,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,32,1658,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,33,1562,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,34,1644,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,35,1588,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,36,1579,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,37,1235,980
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,38,1317,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,39,1648,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,40,1705,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,41,1616,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,42,1554,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,43,321,961
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,44,1658,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,45,1631,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,46,439,955
