frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
0,True,calibration_unavailable,unavailable,0,0,0,,0
1,True,calibration_unavailable,unavailable,0,0,0,,0
2,True,calibration_unavailable,unavailable,0,0,0,,0
3,True,calibration_unavailable,unavailable,0,0,0,,0
4,True,calibration_unavailable,unavailable,0,0,0,,0
5,True,calibration_unavailable,unavailable,0,0,0,,0
6,True,calibration_unavailable,unavailable,0,0,0,,0
7,True,calibration_unavailable,unavailable,0,0,0,,0
8,True,calibration_unavailable,unavailable,0,0,0,,0
9,True,calibration_unavailable,unavailable,0,0,0,,0
10,True,emitted_players,solved,2,0,1,0.0,4
11,True,calibration_unavailable,unavailable,0,0,1,,0
12,True,emitted_players,solved,2,0,2,0.0,4
13,True,calibration_unavailable,unavailable,0,0,2,,0
14,True,emitted_players,solved,2,0,3,4.966988563537598,4
15,True,emitted_players,camera_lock_drift_checked,2,0,3,1.8815564513206482,6
16,True,emitted_players,camera_lock_drift_checked,2,0,3,2.4973974227905273,6
17,True,emitted_players,solved,2,1,1,7.798839092254639,4
18,True,emitted_players,solved,2,1,2,0.34423553943634033,4
19,True,emitted_players,solved,2,1,3,3.5214462280273438,4
20,True,emitted_players,solved,2,1,4,3.961062431335449,4
21,True,emitted_players,solved,2,1,5,2.202374219894409,4
22,True,emitted_players,solved,2,1,6,5.267340660095215,4
23,True,emitted_players,solved,2,1,7,6.400960922241211,4
24,True,emitted_players,solved,2,2,1,8.621849060058594,4
25,True,emitted_players,solved,2,2,2,1.086327314376831,4
26,True,calibration_unavailable,unavailable,0,2,2,,0
27,True,emitted_players,solved,2,2,3,1.0706820487976074,4
28,True,emitted_players,solved,2,2,4,2.751181125640869,4
29,True,emitted_players,solved,2,2,5,4.807822227478027,4
30,True,emitted_players,solved,2,2,6,6.148425579071045,4
31,True,emitted_players,solved,2,3,1,9.098058700561523,4
32,True,emitted_players,solved,2,3,2,0.5353548526763916,4
33,True,emitted_players,solved,2,3,3,2.8205580711364746,4
34,True,emitted_players,solved,2,3,4,4.26759147644043,4
35,True,emitted_players,solved,2,3,5,5.558931827545166,4
36,True,emitted_players,solved,2,3,6,5.535046577453613,4
37,True,emitted_players,solved,2,3,7,5.095670223236084,4
38,True,emitted_players,solved,2,3,8,6.9499688148498535,4
39,True,emitted_players,solved,2,4,1,9.738125801086426,4
40,True,emitted_players,solved,2,4,2,0.3393092453479767,4
41,True,emitted_players,solved,2,4,3,2.630871295928955,4
42,True,emitted_players,solved,2,4,4,3.242713212966919,4
43,True,emitted_players,solved,2,4,5,3.691287040710449,4
44,True,emitted_players,solved,2,4,6,3.760694980621338,4
45,True,emitted_players,solved,2,4,7,5.069522857666016,4
46,True,emitted_players,solved,2,4,8,6.458770751953125,4
47,True,emitted_players,solved,2,5,1,7.5954389572143555,4
48,True,emitted_players,solved,2,5,2,0.11831001192331314,4
49,True,emitted_players,solved,2,5,3,5.751338958740234,4
50,True,emitted_players,solved,2,5,4,2.451699733734131,4
51,True,emitted_players,solved,2,5,5,1.8320600986480713,4
52,True,emitted_players,solved,2,5,6,4.085111618041992,4
53,True,emitted_players,solved,2,6,1,12.28609848022461,4
54,True,emitted_players,solved,2,6,2,0.16464805603027344,4
55,True,emitted_players,solved,2,6,3,2.3793857097625732,4
56,True,emitted_players,solved,2,6,4,2.7886688709259033,4
57,True,emitted_players,solved,2,6,5,5.201593399047852,4
58,True,emitted_players,solved,2,6,6,4.595667839050293,4
59,True,emitted_players,solved,2,6,7,4.6243414878845215,4
60,True,emitted_players,solved,2,7,1,8.236083984375,4
61,True,emitted_players,solved,2,7,2,0.4032588601112366,4
62,True,emitted_players,solved,2,7,3,0.3806267976760864,4
63,True,emitted_players,solved,2,7,4,2.843230724334717,4
64,True,emitted_players,solved,2,7,5,4.327681064605713,4
65,True,emitted_players,solved,2,7,6,6.090728282928467,4
66,True,emitted_players,solved,2,7,7,6.451859951019287,4
67,True,emitted_players,solved,2,7,8,6.3564934730529785,4
68,True,emitted_players,solved,2,8,1,7.966678142547607,4
69,True,emitted_players,solved,2,8,2,0.1715116947889328,4
70,True,emitted_players,solved,2,8,3,1.5209896564483643,4
