arm,split,inherits,n_frames,n_visible,n_absent,n_unknown,tp,fp,coverage,precision,precision_wilson_lo,precision_wilson_hi,fp_per_absent,fp_on_absent_per_absent,recall_on_visible,abstention,games,paired_delta_mean,paired_delta_min,paired_delta_max,games_improved
A0,development,,332,156,159,17,0,1,0.0,0.0,0.0,0.7934506856227626,0.006289308176100629,0.006289308176100629,0.0,0.9969879518072289,28,0.0,0.0,0.0,0
A1,development,,332,156,159,17,0,35,0.0,0.0,6.938893903907228e-18,0.09890099232440402,0.22012578616352202,0.06918238993710692,0.0,0.8945783132530121,28,0.0,0.0,0.0,0
A2,development,,332,156,159,17,0,15,0.0,0.0,0.0,0.20388330103584862,0.09433962264150944,0.025157232704402517,0.0,0.9548192771084337,28,0.0,0.0,0.0,0
A3,development,,332,156,159,17,0,2,0.0,0.0,0.0,0.6576197724933469,0.012578616352201259,0.006289308176100629,0.0,0.9939759036144579,28,0.0,0.0,0.0,0
A4,development,,332,156,159,17,1,99,0.0030120481927710845,0.01,0.0017674320641406505,0.054486196178705315,0.6226415094339622,0.2641509433962264,0.00641025641025641,0.6987951807228916,28,0.003246753246753247,0.0,0.09090909090909091,1
A5,development,,332,156,159,17,0,63,0.0,0.0,3.469446951953614e-18,0.05747119958885172,0.39622641509433965,0.18238993710691823,0.0,0.8102409638554217,28,0.0,0.0,0.0,0
A6,development,,332,156,159,17,1,138,0.0030120481927710845,0.007194244604316547,0.001271091705159308,0.03962360979762208,0.8679245283018868,0.3710691823899371,0.00641025641025641,0.5813253012048193,28,0.002976190476190476,0.0,0.08333333333333333,1
A7,development,A4,332,156,159,17,1,79,0.0030120481927710845,0.0125,0.0022099755204522745,0.06746270077668665,0.4968553459119497,0.20125786163522014,0.00641025641025641,0.7590361445783133,28,0.003246753246753247,0.0,0.09090909090909091,1
A0,heldout,,549,285,243,21,0,8,0.0,0.0,0.0,0.32440756488388023,0.03292181069958848,0.01646090534979424,0.0,0.9854280510018215,32,0.0,0.0,0.0,0
A7,heldout,A4,549,285,243,21,2,178,0.0036429872495446266,0.011111111111111112,0.0030523748459926198,0.03960100089958458,0.7325102880658436,0.27983539094650206,0.007017543859649123,0.6721311475409836,32,0.00390625,0.0,0.0625,2
