clip,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14
wnba__wnba_05,,,,,,,,,,0,,,,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,,0,,,,,,,0,,,0,,4
wnba__wnba_01,,,0,,,,,,,,,0,,0,
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,,4,,,,0,,0,,,,,,,0
wnba__wnba_01_1080p,,4,,4,,,4,,,,,,,0,
ncaa_basketball__ncaa_basketball_mRkuGgeECak,,,,,,,,4,,,0,,,
wnba__wnba_04,0,0,0,,, ,4,,,,,,,,
wnba__wnba_02,,,,0,,0,,,,,,4,,,
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,,,4,,,,,,0,,4,,0,,
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,,,,4,,,0,,,,,,,4,
wnba__wnba_07,0,,,,,,,,4,0,,,,,
wnba__wnba_06,,,,4,,,,4,,4,,,,,
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,,,,,,, ,0,,0,,,,,
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,,,,4,0,,,,,,,,,,
