ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
9,kbo__kbo_FDSWjM_OaTs.mp4,kbo,2,0.35,0.65,28855,13637,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_FDSWjM_OaTs__s2_f013637.jpg
9,kbo__kbo_FDSWjM_OaTs.mp4,kbo,3,0.65,0.9,28855,23317,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_FDSWjM_OaTs__s3_f023317.jpg
10,kbo__kbo_Lh8n_DUXyGE.mp4,kbo,1,0.1,0.35,28881,7834,30.00000000,1280,720,decoded,renders/kbo/kbo__kbo_Lh8n_DUXyGE__s1_f007834.jpg
10,kbo__kbo_Lh8n_DUXyGE.mp4,kbo,2,0.35,0.65,28881,11060,30.00000000,1280,720,decoded,renders/kbo/kbo__kbo_Lh8n_DUXyGE__s2_f011060.jpg
10,kbo__kbo_Lh8n_DUXyGE.mp4,kbo,3,0.65,0.9,28881,22495,30.00000000,1280,720,decoded,renders/kbo/kbo__kbo_Lh8n_DUXyGE__s3_f022495.jpg
11,kbo__kbo_W-tKSex-WPU.mp4,kbo,1,0.1,0.35,28854,7951,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_W-tKSex-WPU__s1_f007951.jpg
11,kbo__kbo_W-tKSex-WPU.mp4,kbo,2,0.35,0.65,28854,11704,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_W-tKSex-WPU__s2_f011704.jpg
11,kbo__kbo_W-tKSex-WPU.mp4,kbo,3,0.65,0.9,28854,24152,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_W-tKSex-WPU__s3_f024152.jpg
12,kbo__kbo_ahHGpSJWcIU.mp4,kbo,1,0.1,0.35,28780,4866,29.97002997,1280,720,decoded,renders/kbo/kbo__kbo_ahHGpSJWcIU__s1_f004866.jpg
12,kbo__kbo_ahHGpSJWcIU.mp4,kbo,2,0.35,0.65,28780,17863,29.97002997,1280,720,decoded,renders/kbo/kbo__kbo_ahHGpSJWcIU__s2_f017863.jpg
12,kbo__kbo_ahHGpSJWcIU.mp4,kbo,3,0.65,0.9,28780,19286,29.97002997,1280,720,decoded,renders/kbo/kbo__kbo_ahHGpSJWcIU__s3_f019286.jpg
13,kbo__kbo_bGQwZl43E9Y.mp4,kbo,1,0.1,0.35,28880,3972,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_bGQwZl43E9Y__s1_f003972.jpg
13,kbo__kbo_bGQwZl43E9Y.mp4,kbo,2,0.35,0.65,28880,11503,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_bGQwZl43E9Y__s2_f011503.jpg
13,kbo__kbo_bGQwZl43E9Y.mp4,kbo,3,0.65,0.9,28880,20679,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_bGQwZl43E9Y__s3_f020679.jpg
