ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
46,soccer__football_34GmmlakBYU.mp4,soccer,2,0.35,0.65,28810,13081,29.95400000,640,360,decoded,renders/soccer/soccer__football_34GmmlakBYU__s2_f013081.jpg
46,soccer__football_34GmmlakBYU.mp4,soccer,3,0.65,0.9,28810,24551,29.95400000,640,360,decoded,renders/soccer/soccer__football_34GmmlakBYU__s3_f024551.jpg
47,soccer__football_B7znSVfBnM4.mp4,soccer,1,0.1,0.35,28910,3908,29.95422031,640,360,decoded,renders/soccer/soccer__football_B7znSVfBnM4__s1_f003908.jpg
47,soccer__football_B7znSVfBnM4.mp4,soccer,2,0.35,0.65,28910,10840,29.95422031,640,360,decoded,renders/soccer/soccer__football_B7znSVfBnM4__s2_f010840.jpg
47,soccer__football_B7znSVfBnM4.mp4,soccer,3,0.65,0.9,28910,18906,29.95422031,640,360,decoded,renders/soccer/soccer__football_B7znSVfBnM4__s3_f018906.jpg
48,soccer__football_gek9fXGlwas.mp4,soccer,1,0.1,0.35,28910,3334,29.95452635,640,360,decoded,renders/soccer/soccer__football_gek9fXGlwas__s1_f003334.jpg
48,soccer__football_gek9fXGlwas.mp4,soccer,2,0.35,0.65,28910,16273,29.95452635,640,360,decoded,renders/soccer/soccer__football_gek9fXGlwas__s2_f016273.jpg
48,soccer__football_gek9fXGlwas.mp4,soccer,3,0.65,0.9,28910,25127,29.95452635,640,360,decoded,renders/soccer/soccer__football_gek9fXGlwas__s3_f025127.jpg
49,soccer__football_h-_3BmAh9po.mp4,soccer,1,0.1,0.35,28819,8133,29.97000000,640,360,decoded,renders/soccer/soccer__football_h-_3BmAh9po__s1_f008133.jpg
49,soccer__football_h-_3BmAh9po.mp4,soccer,2,0.35,0.65,28819,14758,29.97000000,640,360,decoded,renders/soccer/soccer__football_h-_3BmAh9po__s2_f014758.jpg
49,soccer__football_h-_3BmAh9po.mp4,soccer,3,0.65,0.9,28819,19790,29.97000000,640,360,decoded,renders/soccer/soccer__football_h-_3BmAh9po__s3_f019790.jpg
50,soccer__soccer_AgspyOj5BPk.mp4,soccer,1,0.1,0.35,28805,5269,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_AgspyOj5BPk__s1_f005269.jpg
50,soccer__soccer_AgspyOj5BPk.mp4,soccer,2,0.35,0.65,28805,14672,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_AgspyOj5BPk__s2_f014672.jpg
50,soccer__soccer_AgspyOj5BPk.mp4,soccer,3,0.65,0.9,28805,19405,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_AgspyOj5BPk__s3_f019405.jpg
51,soccer__soccer_DdnvC6-PGYY.mp4,soccer,1,0.1,0.35,28951,9498,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_DdnvC6-PGYY__s1_f009498.jpg
51,soccer__soccer_DdnvC6-PGYY.mp4,soccer,2,0.35,0.65,28951,18781,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_DdnvC6-PGYY__s2_f018781.jpg
51,soccer__soccer_DdnvC6-PGYY.mp4,soccer,3,0.65,0.9,28951,26022,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_DdnvC6-PGYY__s3_f026022.jpg
52,soccer__soccer_EKhrdU9bVZA.mp4,soccer,1,0.1,0.35,28821,9272,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_EKhrdU9bVZA__s1_f009272.jpg
52,soccer__soccer_EKhrdU9bVZA.mp4,soccer,2,0.35,0.65,28821,14602,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_EKhrdU9bVZA__s2_f014602.jpg
52,soccer__soccer_EKhrdU9bVZA.mp4,soccer,3,0.65,0.9,28821,23805,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_EKhrdU9bVZA__s3_f023805.jpg
53,soccer__soccer_cKXZysISV4w.mp4,soccer,1,0.1,0.35,28951,4455,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cKXZysISV4w__s1_f004455.jpg
53,soccer__soccer_cKXZysISV4w.mp4,soccer,2,0.35,0.65,28951,13932,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cKXZysISV4w__s2_f013932.jpg
53,soccer__soccer_cKXZysISV4w.mp4,soccer,3,0.65,0.9,28951,19282,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cKXZysISV4w__s3_f019282.jpg
54,soccer__soccer_cS4OpYJ0Pps.mp4,soccer,1,0.1,0.35,39001,11206,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cS4OpYJ0Pps__s1_f011206.jpg
54,soccer__soccer_cS4OpYJ0Pps.mp4,soccer,2,0.35,0.65,39001,23096,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cS4OpYJ0Pps__s2_f023096.jpg
54,soccer__soccer_cS4OpYJ0Pps.mp4,soccer,3,0.65,0.9,39001,26977,30.00000000,1280,720,decoded,renders/soccer/soccer__soccer_cS4OpYJ0Pps__s3_f026977.jpg
55,soccer__soccer_kSgNjoaqCpI_1080p.mp4,soccer,1,0.1,0.35,18150,3122,30.00000000,1920,1080,decoded,renders/soccer/soccer__soccer_kSgNjoaqCpI_1080p__s1_f003122.jpg
55,soccer__soccer_kSgNjoaqCpI_1080p.mp4,soccer,2,0.35,0.65,18150,11441,30.00000000,1920,1080,decoded,renders/soccer/soccer__soccer_kSgNjoaqCpI_1080p__s2_f011441.jpg
55,soccer__soccer_kSgNjoaqCpI_1080p.mp4,soccer,3,0.65,0.9,18150,12656,30.00000000,1920,1080,decoded,renders/soccer/soccer__soccer_kSgNjoaqCpI_1080p__s3_f012656.jpg
56,tennis__tennis_06.mp4,tennis,1,0.1,0.35,24085,8010,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_06__s1_f008010.jpg
56,tennis__tennis_06.mp4,tennis,2,0.35,0.65,24085,11811,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_06__s2_f011811.jpg
56,tennis__tennis_06.mp4,tennis,3,0.65,0.9,24085,16763,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_06__s3_f016763.jpg
57,tennis__tennis_07.mp4,tennis,1,0.1,0.35,7546,1931,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_07__s1_f001931.jpg
57,tennis__tennis_07.mp4,tennis,2,0.35,0.65,7546,4770,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_07__s2_f004770.jpg
57,tennis__tennis_07.mp4,tennis,3,0.65,0.9,7546,6763,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_07__s3_f006763.jpg
58,tennis__tennis_08.mp4,tennis,1,0.1,0.35,7616,2366,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_08__s1_f002366.jpg
58,tennis__tennis_08.mp4,tennis,2,0.35,0.65,7616,3810,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_08__s2_f003810.jpg
58,tennis__tennis_08.mp4,tennis,3,0.65,0.9,7616,6402,25.00000000,1280,720,decoded,renders/tennis/tennis__tennis_08__s3_f006402.jpg
59,tennis__tennis_09.mp4,tennis,1,0.1,0.35,7507,2576,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_09__s1_f002576.jpg
59,tennis__tennis_09.mp4,tennis,2,0.35,0.65,7507,3625,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_09__s2_f003625.jpg
59,tennis__tennis_09.mp4,tennis,3,0.65,0.9,7507,6146,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_09__s3_f006146.jpg
60,tennis__tennis_10.mp4,tennis,1,0.1,0.35,7252,937,23.97602486,1920,1080,decoded,renders/tennis/tennis__tennis_10__s1_f000937.jpg
60,tennis__tennis_10.mp4,tennis,2,0.35,0.65,7252,3736,23.97602486,1920,1080,decoded,renders/tennis/tennis__tennis_10__s2_f003736.jpg
60,tennis__tennis_10.mp4,tennis,3,0.65,0.9,7252,6258,23.97602486,1920,1080,decoded,renders/tennis/tennis__tennis_10__s3_f006258.jpg
61,tennis__tennis_3x3eEWCZmWQ.mp4,tennis,1,0.1,0.35,24024,8025,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_3x3eEWCZmWQ__s1_f008025.jpg
61,tennis__tennis_3x3eEWCZmWQ.mp4,tennis,2,0.35,0.65,24024,8564,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_3x3eEWCZmWQ__s2_f008564.jpg
61,tennis__tennis_3x3eEWCZmWQ.mp4,tennis,3,0.65,0.9,24024,18814,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_3x3eEWCZmWQ__s3_f018814.jpg
62,tennis__tennis_459iho5_AFs.mp4,tennis,1,0.1,0.35,7568,1433,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_459iho5_AFs__s1_f001433.jpg
62,tennis__tennis_459iho5_AFs.mp4,tennis,2,0.35,0.65,7568,2703,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_459iho5_AFs__s2_f002703.jpg
62,tennis__tennis_459iho5_AFs.mp4,tennis,3,0.65,0.9,7568,5148,25.00000000,1920,1080,decoded,renders/tennis/tennis__tennis_459iho5_AFs__s3_f005148.jpg
63,tennis__tennis_nyYk2nPZAwY.mp4,tennis,1,0.1,0.35,24024,8275,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY__s1_f008275.jpg
63,tennis__tennis_nyYk2nPZAwY.mp4,tennis,2,0.35,0.65,24024,11066,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY__s2_f011066.jpg
63,tennis__tennis_nyYk2nPZAwY.mp4,tennis,3,0.65,0.9,24024,21086,25.00000000,640,360,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY__s3_f021086.jpg
64,tennis__tennis_nyYk2nPZAwY_720p.mp4,tennis,1,0.1,0.35,48048,15495,50.00000000,1280,720,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY_720p__s1_f015495.jpg
64,tennis__tennis_nyYk2nPZAwY_720p.mp4,tennis,2,0.35,0.65,48048,27614,50.00000000,1280,720,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY_720p__s2_f027614.jpg
64,tennis__tennis_nyYk2nPZAwY_720p.mp4,tennis,3,0.65,0.9,48048,31611,50.00000000,1280,720,decoded,renders/tennis/tennis__tennis_nyYk2nPZAwY_720p__s3_f031611.jpg
65,wnba__wnba_01.mp4,wnba,1,0.1,0.35,28861,3111,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_01__s1_f003111.jpg
65,wnba__wnba_01.mp4,wnba,2,0.35,0.65,28861,12631,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_01__s2_f012631.jpg
65,wnba__wnba_01.mp4,wnba,3,0.65,0.9,28861,22685,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_01__s3_f022685.jpg
66,wnba__wnba_01_1080p.mp4,wnba,1,0.1,0.35,18060,4744,30.00000000,1920,1080,decoded,renders/wnba/wnba__wnba_01_1080p__s1_f004744.jpg
66,wnba__wnba_01_1080p.mp4,wnba,2,0.35,0.65,18060,7576,30.00000000,1920,1080,decoded,renders/wnba/wnba__wnba_01_1080p__s2_f007576.jpg
66,wnba__wnba_01_1080p.mp4,wnba,3,0.65,0.9,18060,14020,30.00000000,1920,1080,decoded,renders/wnba/wnba__wnba_01_1080p__s3_f014020.jpg
67,wnba__wnba_02.mp4,wnba,1,0.1,0.35,28808,6761,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_02__s1_f006761.jpg
67,wnba__wnba_02.mp4,wnba,2,0.35,0.65,28808,15723,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_02__s2_f015723.jpg
67,wnba__wnba_02.mp4,wnba,3,0.65,0.9,28808,23920,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_02__s3_f023920.jpg
68,wnba__wnba_04.mp4,wnba,1,0.1,0.35,28819,9809,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_04__s1_f009809.jpg
68,wnba__wnba_04.mp4,wnba,2,0.35,0.65,28819,13757,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_04__s2_f013757.jpg
68,wnba__wnba_04.mp4,wnba,3,0.65,0.9,28819,23252,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_04__s3_f023252.jpg
69,wnba__wnba_05.mp4,wnba,1,0.1,0.35,28815,4724,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_05__s1_f004724.jpg
69,wnba__wnba_05.mp4,wnba,2,0.35,0.65,28815,13269,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_05__s2_f013269.jpg
69,wnba__wnba_05.mp4,wnba,3,0.65,0.9,28815,19407,30.00000000,1280,720,decoded,renders/wnba/wnba__wnba_05__s3_f019407.jpg
