ordinal,file_name,sport,frame_count,fps,width,height,bytes
1,football__football_20pezoC5jRQ.mp4,football,28888,29.97002997,640,360,70910489
2,football__football_5x9vPq9HsTI.mp4,football,28839,29.97002997,640,360,86738254
3,football__football_wHZt1eY3A9s.mp4,football,28904,29.97002997,1280,720,244322096
4,football__football_wHZt1eY3A9s_1080p.mp4,football,9124,29.97002997,1920,1080,148362741
5,football__giants_jets_format96_1080p.mp4,football,9124,29.97002997,1920,1080,148362741
6,kbo__kbo_2WqtNa-uUZU.mp4,kbo,57601,60.00000000,1280,720,181212442
7,kbo__kbo_8yxSFxuR2Lk.mp4,kbo,28890,30.00000000,640,360,35218335
8,kbo__kbo_9Hv-cd-BmSY.mp4,kbo,28880,30.00000000,640,360,49252274
9,kbo__kbo_FDSWjM_OaTs.mp4,kbo,28855,30.00000000,640,360,46209490
10,kbo__kbo_Lh8n_DUXyGE.mp4,kbo,28881,30.00000000,1280,720,39201118
11,kbo__kbo_W-tKSex-WPU.mp4,kbo,28854,30.00000000,640,360,43553863
12,kbo__kbo_ahHGpSJWcIU.mp4,kbo,28780,29.97002997,1280,720,66378779
13,kbo__kbo_bGQwZl43E9Y.mp4,kbo,28880,30.00000000,640,360,35288716
14,kbo__kbo_lIxmDQyQDtc.mp4,kbo,28890,30.00000000,640,360,34893710
15,kbo__kbo_lrK_Hv6BEE0.mp4,kbo,57781,60.00000000,1280,720,93863930
16,kbo__kbo_qLQbGFQ0-EQ.mp4,kbo,28804,30.00000000,640,360,33284423
17,kbo__kbo_tHih8xD7MSY.mp4,kbo,28773,29.97002997,640,360,49649191
18,kbo__kbo_tzC71aneg9c.mp4,kbo,28843,30.00000000,640,360,32998320
19,mlb__mlb_231Mmqijar8.mp4,mlb,28801,30.00000000,640,360,68992637
20,mlb__mlb_2iosUkpL0Bc.mp4,mlb,18059,29.97002997,1280,720,148216834
21,mlb__mlb_3Oc4S_1np98.mp4,mlb,36099,59.94006049,1280,720,89607938
22,mlb__mlb_5IA4jaKNOYg.mp4,mlb,28870,30.00000000,640,360,33537872
23,mlb__mlb_7T-rpI5l0ro.mp4,mlb,28901,30.00000000,640,360,40491676
24,mlb__mlb_ARtRmUHC7dw.mp4,mlb,18153,29.97002997,1280,720,125624139
25,mlb__mlb_FGtFanovws4.mp4,mlb,57807,59.94006029,1280,720,23277425
26,mlb__mlb_NiSezRTvsew.mp4,mlb,28921,30.00000000,640,360,49834489
27,mlb__mlb_PPj97yvNGOo.mp4,mlb,36387,59.94006049,1280,720,71064787
28,mlb__mlb_dVNOESziFWQ.mp4,mlb,28944,30.00000000,1280,720,104322898
29,mlb__mlb_gMm3EODDb6w.mp4,mlb,36163,59.94006049,1280,720,90963688
30,mlb__mlb_ptIBgr6U1Y8.mp4,mlb,36073,59.94006049,1280,720,193962690
31,mlb__mlb_x6YpMlNYbrU.mp4,mlb,28832,30.00000000,1280,720,54729234
32,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,ncaa_basketball,28905,29.97002997,640,360,76083183
33,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,ncaa_basketball,18115,29.97002997,1920,1080,328260234
34,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,ncaa_basketball,25194,29.97002997,1920,1080,449217352
35,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,ncaa_basketball,28904,29.97002997,1280,720,243724897
36,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,ncaa_basketball,28904,29.97002997,1280,720,247513963
37,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,ncaa_basketball,28939,29.97002997,1920,1080,467936551
38,npb__npb_01_720p.mp4,npb,18170,30.00000000,1280,720,111980573
39,npb__npb_3PwJwWdTMek.mp4,npb,28796,29.97002997,1280,720,211204675
40,npb__npb_HQfhD5Iwm7U.mp4,npb,28816,29.97002997,640,360,63495247
41,npb__npb_V3FrwLVwCpA.mp4,npb,28816,30.00000000,640,360,74480340
42,npb__npb_cHZcTsFreJY.mp4,npb,28928,29.97002997,1920,1080,342054341
43,npb__npb_jm2Ocr-LAtc.mp4,npb,28865,30.00000000,640,360,63557242
44,npb__npb_kqPv-_WwWLk.mp4,npb,28863,29.97002997,640,360,53239325
45,npb__npb_ul7Kq_Km7eA.mp4,npb,28807,29.97002997,1280,720,183388194
46,soccer__football_34GmmlakBYU.mp4,soccer,28810,29.95400000,640,360,64276116
47,soccer__football_B7znSVfBnM4.mp4,soccer,28910,29.95422031,640,360,56970280
48,soccer__football_gek9fXGlwas.mp4,soccer,28910,29.95452635,640,360,66099366
49,soccer__football_h-_3BmAh9po.mp4,soccer,28819,29.97000000,640,360,60682116
50,soccer__soccer_AgspyOj5BPk.mp4,soccer,28805,30.00000000,1280,720,140128942
51,soccer__soccer_DdnvC6-PGYY.mp4,soccer,28951,30.00000000,1280,720,153808983
52,soccer__soccer_EKhrdU9bVZA.mp4,soccer,28821,30.00000000,1280,720,140233870
53,soccer__soccer_cKXZysISV4w.mp4,soccer,28951,30.00000000,1280,720,133072998
54,soccer__soccer_cS4OpYJ0Pps.mp4,soccer,39001,30.00000000,1280,720,196344192
55,soccer__soccer_kSgNjoaqCpI_1080p.mp4,soccer,18150,30.00000000,1920,1080,264791209
56,tennis__tennis_06.mp4,tennis,24085,25.00000000,1280,720,120849427
57,tennis__tennis_07.mp4,tennis,7546,25.00000000,1280,720,30906857
58,tennis__tennis_08.mp4,tennis,7616,25.00000000,1280,720,30729994
