box_id,card_id,section_id,frame,player_id,event_key,join_status,raw_table,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,masked_bbox_x1,masked_bbox_y1,masked_bbox_x2,masked_bbox_y2,coordinates_equal
1080p30_00_r00,1080p30_00,9sq-YMlIo9Q_s2346,118,1,9sq-YMlIo9Q_s2346/118/1/1275.0/225.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,1275.0,225.0,1377.0,457.0,1275.0,225.0,1377.0,457.0,1
1080p30_00_r01,1080p30_00,9sq-YMlIo9Q_s2346,118,3,9sq-YMlIo9Q_s2346/118/3/647.0/211.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,647.0,211.0,737.0,421.0,647.0,211.0,737.0,421.0,1
1080p30_00_r02,1080p30_00,9sq-YMlIo9Q_s2346,118,4,9sq-YMlIo9Q_s2346/118/4/820.0/365.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,820.0,365.0,988.0,607.0,820.0,365.0,988.0,607.0,1
1080p30_00_r03,1080p30_00,9sq-YMlIo9Q_s2346,118,5,9sq-YMlIo9Q_s2346/118/5/1527.0/184.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,1527.0,184.0,1641.0,399.0,1527.0,184.0,1641.0,399.0,1
1080p30_01_r00,1080p30_01,9sq-YMlIo9Q_s2346,376,4,9sq-YMlIo9Q_s2346/376/4/757.0/417.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,757.0,417.0,916.0,732.0,757.0,417.0,916.0,732.0,1
1080p30_01_r01,1080p30_01,9sq-YMlIo9Q_s2346,376,8,9sq-YMlIo9Q_s2346/376/8/730.0/145.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,730.0,145.0,868.0,416.0,730.0,145.0,868.0,416.0,1
1080p30_01_r02,1080p30_01,9sq-YMlIo9Q_s2346,376,9,9sq-YMlIo9Q_s2346/376/9/1084.0/200.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,1084.0,200.0,1224.0,546.0,1084.0,200.0,1224.0,546.0,1
1080p30_01_r03,1080p30_01,9sq-YMlIo9Q_s2346,376,10,9sq-YMlIo9Q_s2346/376/10/1005.0/176.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/9sq-YMlIo9Q_s2346/tracking_data.csv,1005.0,176.0,1116.0,422.0,1005.0,176.0,1116.0,422.0,1
1080p30_02_r00,1080p30_02,UCVSlzgun0o_s2298,474,5,UCVSlzgun0o_s2298/474/5/1320.0/-13.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s2298/tracking_data.csv,1320.0,-13.0,1935.0,1019.0,1320.0,-13.0,1935.0,1019.0,1
1080p30_02_r01,1080p30_02,UCVSlzgun0o_s2298,474,4,UCVSlzgun0o_s2298/474/4/1713.0/-15.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s2298/tracking_data.csv,1713.0,-15.0,1935.0,504.0,1713.0,-15.0,1935.0,504.0,1
1080p30_03_r00,1080p30_03,UCVSlzgun0o_s2298,735,2,UCVSlzgun0o_s2298/735/2/149.0/259.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s2298/tracking_data.csv,149.0,259.0,257.0,477.0,149.0,259.0,257.0,477.0,1
1080p30_03_r01,1080p30_03,UCVSlzgun0o_s2298,735,5,UCVSlzgun0o_s2298/735/5/1197.0/729.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s2298/tracking_data.csv,1197.0,729.0,1311.0,863.0,1197.0,729.0,1311.0,863.0,1
1080p30_03_r02,1080p30_03,UCVSlzgun0o_s2298,735,4,UCVSlzgun0o_s2298/735/4/759.43353/308.41528,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s2298/tracking_data.csv,759.43353,308.41528,876.71564,554.8299,759.43353,308.41528,876.71564,554.8299,1
1080p30_04_r00,1080p30_04,UCVSlzgun0o_s90,820,2,UCVSlzgun0o_s90/820/2/580.0/196.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s90/tracking_data.csv,580.0,196.0,671.0,390.0,580.0,196.0,671.0,390.0,1
1080p30_04_r01,1080p30_04,UCVSlzgun0o_s90,820,9,UCVSlzgun0o_s90/820/9/588.0/197.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s90/tracking_data.csv,588.0,197.0,681.0,385.0,588.0,197.0,681.0,385.0,1
1080p30_04_r02,1080p30_04,UCVSlzgun0o_s90,820,1,UCVSlzgun0o_s90/820/1/601.0/252.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UCVSlzgun0o_s90/tracking_data.csv,601.0,252.0,707.0,381.0,601.0,252.0,707.0,381.0,1
1080p30_05_r00,1080p30_05,UzaYBYy3GZg_s90,908,3,UzaYBYy3GZg_s90/908/3/1527.0/727.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UzaYBYy3GZg_s90/tracking_data.csv,1527.0,727.0,1665.0,909.0,1527.0,727.0,1665.0,909.0,1
