tick,frame_index,native_shape,crop_shape,archived_crop_hash,recomputed_crop_hash,match
1080p30_00,118,1080x1920x3,1020x1920x3,87c4a01d53d50ee6f447272b322f16d09d28299708a10f55367706fc8920e9c7,87c4a01d53d50ee6f447272b322f16d09d28299708a10f55367706fc8920e9c7,yes
1080p30_01,376,1080x1920x3,1020x1920x3,d7be9be01581b150b6df8bfa2e0065d0a73547013499eeb32d65fb767d9cd21f,d7be9be01581b150b6df8bfa2e0065d0a73547013499eeb32d65fb767d9cd21f,yes
1080p30_02,474,1080x1920x3,1020x1920x3,56592e7d7851d46369c55989d2fc8dcb0e9901e51b590a83dab413042db2f92a,56592e7d7851d46369c55989d2fc8dcb0e9901e51b590a83dab413042db2f92a,yes
1080p30_03,735,1080x1920x3,1020x1920x3,87aed1775b478868d642e1cd1653211043bd59daa5c02359267274511355c462,87aed1775b478868d642e1cd1653211043bd59daa5c02359267274511355c462,yes
1080p30_04,820,1080x1920x3,1020x1920x3,ab282b03aabd9eeba980255fc477affcb57d4efb12ef8b70ccae956e94b7d039,ab282b03aabd9eeba980255fc477affcb57d4efb12ef8b70ccae956e94b7d039,yes
1080p30_05,908,1080x1920x3,1020x1920x3,d96e8739a8f9c682b83023d8786fce3f457387feec7d43b70fbec28c2279e045,d96e8739a8f9c682b83023d8786fce3f457387feec7d43b70fbec28c2279e045,yes
1080p30_06,960,1080x1920x3,1020x1920x3,6129cd8112fa8ccae1f03437171325c89507fa1311c92a86c1c81ad3a2d8a4eb,6129cd8112fa8ccae1f03437171325c89507fa1311c92a86c1c81ad3a2d8a4eb,yes
1080p30_07,1067,1080x1920x3,1020x1920x3,0cfac6451cbf43cc65621d5356cc1ebf03104b5a6f1d9eff401369c446b2253e,0cfac6451cbf43cc65621d5356cc1ebf03104b5a6f1d9eff401369c446b2253e,yes
1080p30_08,1145,1080x1920x3,1020x1920x3,e6c69a51c30fa852edbf07dd17dfcbdb8d39a934b5a66b68618d6e29804fe035,e6c69a51c30fa852edbf07dd17dfcbdb8d39a934b5a66b68618d6e29804fe035,yes
1080p30_09,1239,1080x1920x3,1020x1920x3,3950d9483fc07d8294f64cba4226f3798d760ac7f8c20cd346b0ee95a17fb006,3950d9483fc07d8294f64cba4226f3798d760ac7f8c20cd346b0ee95a17fb006,yes
1080p30_10,1337,1080x1920x3,1020x1920x3,a8d7282d93375c56f06fc584684f2c677135740cf005eb06f134b35b730267ca,a8d7282d93375c56f06fc584684f2c677135740cf005eb06f134b35b730267ca,yes
1080p30_11,1595,1080x1920x3,1020x1920x3,6f10e6dd728b13f5f336013de627e6815a8f4852a83abf45952accb8638cc8fd,6f10e6dd728b13f5f336013de627e6815a8f4852a83abf45952accb8638cc8fd,yes
1080p30_12,1586,1080x1920x3,1020x1920x3,3f323bcf9c6de92c0f8e1817e42ec29d031d9d9497d300bed560f24c565fd607,3f323bcf9c6de92c0f8e1817e42ec29d031d9d9497d300bed560f24c565fd607,yes
1080p30_13,1844,1080x1920x3,1020x1920x3,65d6e22b751bf958defb530ee91a7ee5ea462d74268d1df983f1b9cf10b33e19,65d6e22b751bf958defb530ee91a7ee5ea462d74268d1df983f1b9cf10b33e19,yes
1080p30_14,1936,1080x1920x3,1020x1920x3,c4c832ac3bf9ab26b15752666466e20ce6656971774ed1742e2df5a7e0fb1c44,c4c832ac3bf9ab26b15752666466e20ce6656971774ed1742e2df5a7e0fb1c44,yes
