card_id,render_path,render_bytes,render_sha256,stored_boxes,comparator_boxes,status
1080p30_00,renders/1080p30_00.jpg,492533,81d0920b728a3f16ef9a46e05c798718b22b31291a6ef3948a4ae32767091043,4,11,OK
1080p30_01,renders/1080p30_01.jpg,495507,027a4acaf277e05ecbda02c83434cff72fb5a8c9699f929b338019230539b55f,4,11,OK
1080p30_02,renders/1080p30_02.jpg,226628,f555a560a47663af2daf36f7c4cd73296f8ec942e6bbabe0759f5927c01e35c4,2,2,OK
1080p30_03,renders/1080p30_03.jpg,461681,55bc95e7375493f0cbfe6bd884d14345507f2e37e7ebd95cb6f6e0580d0d7ce8,3,9,OK
1080p30_04,renders/1080p30_04.jpg,478554,26cb39427c0949c3618a88be014d31f670486f7edf9bbed26cbcf43a6d43ecfc,3,14,OK
1080p30_05,renders/1080p30_05.jpg,475771,7cdd04a894bd564b980cf981a2740c92893f5678d44b4933efe74ce3054ce978,4,10,OK
1080p30_06,renders/1080p30_06.jpg,516933,3ca2ef51f07c8d8a8c14e814cef903889465dd8b54f05a95432ac2d4d50c2576,6,11,OK
1080p30_07,renders/1080p30_07.jpg,534667,a1ee81254401f348bf1df506c59e9e509402c276fcba875da90ecb7243120a89,6,11,OK
1080p30_08,renders/1080p30_08.jpg,524569,e0976e182502ec519aa4957495f6aa4ab75e17e1eb42063054adecf82aeed21b,1,15,OK
1080p30_09,renders/1080p30_09.jpg,333756,805a7c778f91c92e5531406dc020a6e805b6094d0c6048710459fe129ea1a2d7,0,9,OK
1080p30_10,renders/1080p30_10.jpg,334182,47b44835246f27484f04c66d90089d2da1c0da358ded01909c0713dbcbebc212,2,5,OK
1080p30_11,renders/1080p30_11.jpg,313231,46e0a123d12f7aa1d3a0f14ebb0bb23d45362280c2c4ab32ebfee8b7442195b8,5,11,OK
1080p30_12,renders/1080p30_12.jpg,364091,0aa3f28930da2f9420c57f57df5c8eafcf7b31f627e91890e95900ac0710cd98,6,13,OK
1080p30_13,renders/1080p30_13.jpg,434600,6d7df0e5c2053d3531db71135a0e188b730433afb4599a0f0ec3e370414aa045,4,13,OK
1080p30_14,renders/1080p30_14.jpg,367763,da9044e9aa0b61342b156fd345c5fc5119ba4b31c7fbfdea8b655c909c1367f6,4,4,OK
1080p30_15,renders/1080p30_15.jpg,350662,238b18aebf7d1030ad56358d102f2b9437d6db00f591bd793f6ee10e5a4760b0,5,4,OK
1080p30_16,renders/1080p30_16.jpg,355344,627d772faf72021418f1c4eb339fcf3d088f35924e669764d841be89eadf62ec,1,3,OK
1080p30_17,renders/1080p30_17.jpg,461492,513a857d544cd05cc34a47e9301537fe5a720c9877d5d2078359382a0b972a94,4,15,OK
1080p30_18,renders/1080p30_18.jpg,405784,2b1e06341ea06ab38f753de3eb522c280b82c2846822145ef93fb10be936b406,7,15,OK
1080p30_19,renders/1080p30_19.jpg,293136,1a095e3a829ab886e5f3399364ecafbe01705523f4c8f916e069f00dad60f65b,3,4,OK
1080p30_20,renders/1080p30_20.jpg,452957,241eb0ae4085ac67d086a345c6a2fe54266fdbfb72b7e9a21819cd059f53f987,2,6,OK
1080p30_21,renders/1080p30_21.jpg,424998,79abe85c4b69768d8317e1b816791043b2b07861c7860bd9e6935dcba4311ed3,4,14,OK
1080p30_22,renders/1080p30_22.jpg,374101,bc1c10d8e2fb693fcca92efbeff5ef4ac80735605e34b297fc8d557b57c3d3a2,3,12,OK
1080p30_23,renders/1080p30_23.jpg,319184,18318ef1481ff9c0e5b09180f44230c447971c0db371f25f3518ca9a270eb698,2,8,OK
1080p30_24,renders/1080p30_24.jpg,352326,3e1c5fe33de4d78a1b9e456910c781cb54d4a8aa26e9745510085c3869b5ddfd,6,11,OK
1080p30_25,renders/1080p30_25.jpg,418950,34e7527696c0b34f4ce3d08394a649f3681d6b391d34f6dc93827529af2df043,7,15,OK
1080p30_26,renders/1080p30_26.jpg,431985,0bade8ced2a7af8e42b40339ab99a97e7691a7f85e3e10e4a2b4e26ee10e4d76,3,11,OK
1080p30_27,renders/1080p30_27.jpg,290736,299336a498151383efbc2a21ec0d7751b6ff6a00d3b38518117899d06078b214,5,17,OK
1080p30_28,renders/1080p30_28.jpg,273203,3538bd3899d10a528ba88bb224a307ac988c5200434c30431733c7db0f3e0d22,3,7,OK
1080p30_29,renders/1080p30_29.jpg,276171,eebfe43464d5ea47105a3467673babb4f4020611ed81e79bb44ce920a54d6c33,2,14,OK
720p60_00,renders/720p60_00.jpg,200981,029d0f84edfa949a1c5d2d610d21d867a98897994310341255ba08e4a3474db1,0,11,OK
720p60_01,renders/720p60_01.jpg,204205,947aefa017892dd2467c3e75fa34fe9c0e0a99fe7c98e13693803030ac071607,2,12,OK
720p60_02,renders/720p60_02.jpg,180261,e7265f81d3b5c0221ab190d7ac37197bfd607a56abfa12e1409d79295dc2993e,2,6,OK
720p60_03,renders/720p60_03.jpg,243147,fab363741a3ab4dfe9d34775bb387b07fe9452bc1d14621ab8585b7e38383c00,2,13,OK
720p60_04,renders/720p60_04.jpg,207841,bcbf4d4c216eb7ecb20080d1fac0cbcc3619438b31996721d393ed07358e5302,4,11,OK
720p60_05,renders/720p60_05.jpg,225804,22a36d50fc96fa441feefe7ec7c961b364cd532dd239d188de297981ec6d261b,3,11,OK
720p60_06,renders/720p60_06.jpg,236496,603b65d8a4aa69e1d0a31ae6ba40f477c3113b4448f7182c50bf6d7eca2d0c8b,2,12,OK
720p60_07,renders/720p60_07.jpg,238942,d1f66fe5c4dd5c79c4270da8c922613752d7cc3d8fabf7ee1261c2d626514e42,5,12,OK
720p60_08,renders/720p60_08.jpg,123018,43aecd1f9a4d07a49de24accd9c1e6ef9509c5092860b55356ec96a2ed400683,3,2,OK
720p60_09,renders/720p60_09.jpg,139071,2044fdc7c5ed4554125bd23346a3c1e428dc14d21faf2c3327084bb536a23f7f,3,2,OK
720p60_10,renders/720p60_10.jpg,181476,faced8ece794d8b88cda82ae215a4b4285b8cf09ef01b6b37fce37323b70b54d,2,2,OK
720p60_11,renders/720p60_11.jpg,240054,4288c9b19d4190d994124e3d98141f799a12c0bb564120bc32faa731ca63d06d,6,16,OK
720p60_12,renders/720p60_12.jpg,235024,266aa395628f1b7b403dc586b3fd84f1f05cdb85caad22e8967ac36c8e7178bd,5,8,OK
720p60_13,renders/720p60_13.jpg,231980,2b376b4f15a58e95523afcf31bf2062232738ba810815433bde267eeadbd8ee9,1,8,OK
720p60_14,renders/720p60_14.jpg,229713,7a9a76ec25e3cfef2beef93745f1e429a0f09ec9df80f64a1860d1b66c23b46b,4,19,OK
720p60_15,renders/720p60_15.jpg,235583,ddc89090b31c7f5350759892da6667c6c4954e6ea91d0a1e20d8a14931241c7c,0,10,OK
720p60_16,renders/720p60_16.jpg,198754,227d709839fea38d6c9affd570df1bac5ee0827ae7782242f7436cbec9b4e6de,9,11,OK
720p60_17,renders/720p60_17.jpg,267740,a490319336867ca90072cd81950e21e2e30337fc97d81932baa47fe08db6263a,3,11,OK
720p60_18,renders/720p60_18.jpg,168412,6d978aa15159721342569a5f26f389d3f52bcc51f1df30df8f58ffa0fe1dbd8c,2,4,OK
720p60_19,renders/720p60_19.jpg,246494,08e29a896b68687698b0e4358f0411eafd0711d41a3c64fd7734de33f486846a,0,9,OK
720p60_20,renders/720p60_20.jpg,261305,03dcb2b766c95548db5dfa9b473657cfe9a60ae0902c1f75d1633dc60a15c053,6,10,OK
720p60_21,renders/720p60_21.jpg,260011,1b9360ffa9319462dfb1551459e7660b0e1416b945b1154f99884bdbf4d81886,2,8,OK
720p60_22,renders/720p60_22.jpg,164915,e2292c197d152804f60ff5e95b2938250b9a349b0a46e03c3696cb6f41b5aeb2,2,4,OK
720p60_23,renders/720p60_23.jpg,247938,f1809467d93ac886ac59fffb2636b3f81e38e312c5f4cf229a18d16f638ff58e,7,9,OK
720p60_24,renders/720p60_24.jpg,245278,4b7cbdea4c06cd0a594bf77a692c17e56f20586059f7193120ad6ab243b1bad1,5,12,OK
720p60_25,renders/720p60_25.jpg,234559,2ced9341e916897f11aada7e1d162c555e47285335ff866d3fdf06d2b8586e66,2,13,OK
720p60_26,renders/720p60_26.jpg,246431,a13238209d8090ed50e42e366e89ddb8afee9f3632f3e7799a7d602ecaa1b858,5,10,OK
720p60_27,renders/720p60_27.jpg,240761,86742f6c03638573260997c047de226ac431c6e34899c6a169f5c7a86fa56c49,0,13,OK
720p60_28,renders/720p60_28.jpg,255386,5a835209ce68452ecf2e49deb7be75a074b1cd00388f02615be45c9eb42aa151,4,11,OK
720p60_29,renders/720p60_29.jpg,231846,05b6b5aff40335d4201ad970a6a3620f6197277a78f396036068c50c2390446e,4,7,OK
