box_id,card_id,draw_kind,section_id,frame,position_source,native_width,native_height,stored_x1,stored_y1,stored_x2,stored_y2,mapped_x1,mapped_y1,mapped_x2,mapped_y2,stored_straddles_crop_line,blind_best_id_before,blind_best_iou_before,blind_best_id_after,blind_best_iou_after,blind_iou_improved,blind_hit_before,blind_hit_after,blind_completed_utc,overlay_opened_utc,transform
1080p30_00_r00,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,DETECTION,1920,1080,1275.0,225.0,1377.0,457.0,1275.0,285.0,1377.0,517.0,0,1080p30_00_m03,0.4118,1080p30_00_m03,0.5545,1,0,1,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_00_r01,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,DETECTION,1920,1080,647.0,211.0,737.0,421.0,647.0,271.0,737.0,481.0,0,1080p30_00_m01,0.4685,1080p30_00_m01,0.7493,1,0,1,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_00_r02,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,PREDICTION,1920,1080,820.0,365.0,988.0,607.0,820.0,425.0,988.0,667.0,0,1080p30_00_m05,0.3186,1080p30_00_m05,0.3595,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_00_r03,1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,DETECTION,1920,1080,1527.0,184.0,1641.0,399.0,1527.0,244.0,1641.0,459.0,0,1080p30_00_m12,0.3548,1080p30_00_m12,0.4497,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_01_r00,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,PREDICTION,1920,1080,757.0,417.0,916.0,732.0,757.0,477.0,916.0,792.0,0,1080p30_01_m05,0.3068,1080p30_01_m05,0.3068,0,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_01_r01,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,CLAMP,1920,1080,730.0,145.0,868.0,416.0,730.0,205.0,868.0,476.0,0,1080p30_01_m12,0.2457,1080p30_01_m12,0.1668,0,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_01_r02,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,DETECTION,1920,1080,1084.0,200.0,1224.0,546.0,1084.0,260.0,1224.0,606.0,0,1080p30_01_m09,0.4598,1080p30_01_m09,0.5574,1,0,1,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_01_r03,1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,CLAMP,1920,1080,1005.0,176.0,1116.0,422.0,1005.0,236.0,1116.0,482.0,0,1080p30_01_m14,0.3406,1080p30_01_m14,0.3406,0,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_02_r00,1080p30_02,1080p30,UCVSlzgun0o_s2298,474,PREDICTION,1920,1080,1320.0,-13.0,1935.0,1019.0,1320.0,47.0,1935.0,1079.0,1,1080p30_02_m01,0.749,1080p30_02_m01,0.7642,1,1,1,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_02_r01,1080p30_02,1080p30,UCVSlzgun0o_s2298,474,SUBPIXEL,1920,1080,1713.0,-15.0,1935.0,504.0,1713.0,45.0,1935.0,564.0,1,1080p30_02_m01,0.1808,1080p30_02_m01,0.2104,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
