card_id,draw_kind,window_id,frame,sealed_start_frame,sealed_end_frame_exclusive,source_sha256,producer_row_count,silence,comparator_box_count
1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,1708,2008,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,4,0,4
1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,1815,2115,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,5,0,4
1080p30_16,1080p30,yZ5u2sOpiNU_s3933,2031,1974,2274,352e09fc2a2ea29bd9b42ccb32d9c944d26de241880a7d7a9aa37cec0dbb6eed,1,0,3
1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,2089,2389,2ed233becd5ae41aa1762008c279fbbd66977741ee00dbe3e00405deb9b42f10,4,0,15
1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,2206,2506,1c98e777689a974d4fff1fa6f68f7c57cbfb072f293200e063d0b8173fc1b732,7,0,15
1080p30_19,1080p30,4JS090XPhmM_s2388,2373,2322,2622,89420d570a4a4c75ada21a1aee4a231ec8ba9b4fdb785ea8843f075691adfde9,3,0,4
1080p30_20,1080p30,4JS090XPhmM_s3537,2447,2438,2738,25a78d9554165483c59a08b5a4d42635ac5d30a0fcc4f9ba74b44f599126235d,2,0,6
1080p30_21,1080p30,4JS090XPhmM_s3537,2708,2438,2738,25a78d9554165483c59a08b5a4d42635ac5d30a0fcc4f9ba74b44f599126235d,4,0,14
1080p30_22,1080p30,4JS090XPhmM_s4686,2781,2553,2853,898fb2bcd40278b2707fe72e27bd1e098e857ba450ba0aa2abd569cea73a6006,3,0,12
1080p30_23,1080p30,3eeaJz1PJTM_s1331,2948,2672,2972,50c101c60ab17142c2952c0ccf5a84eb1f892c12cbdde497ea212612d0ba823e,2,0,8
1080p30_24,1080p30,3eeaJz1PJTM_s2572,3023,2789,3089,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,6,0,11
1080p30_25,1080p30,3eeaJz1PJTM_s3813,3098,2906,3206,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,7,0,15
1080p30_26,1080p30,3eeaJz1PJTM_s90,3286,3136,3436,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,3,0,11
1080p30_27,1080p30,J8pMOFvFlsU_s1384,3364,3253,3553,4c1d058692f70800de83c62d500663c409836f17583b63eee686417819291104,5,0,17
1080p30_28,1080p30,J8pMOFvFlsU_s3972,3439,3370,3670,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,3,0,7
1080p30_29,1080p30,J8pMOFvFlsU_s90,3783,3486,3786,59c10e316187abf81295f6d2c8310d6cfc9991b588f007aa59d9e8f2c29b4450,2,0,14
720p60_00,720p60,acb-jHcR5UxPGuE_s1393,232,232,832,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,0,1,11
720p60_01,720p60,acb-jHcR5UxPGuE_s90,537,465,1065,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,2,0,12
720p60_02,720p60,3gBeJyl7Szg_s2302,751,697,1297,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,2,0,6
720p60_03,720p60,3gBeJyl7Szg_s90,966,930,1530,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,2,0,13
720p60_04,720p60,Kh7Fj4ogPN4_s3606,1173,1161,1761,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,4,0,11
720p60_05,720p60,Kh7Fj4ogPN4_s3606,1755,1161,1761,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,3,0,11
720p60_06,720p60,Kh7Fj4ogPN4_s5950,1968,1392,1992,83fa214abc8f82813c17d35794bac5902578b0d74e12d943acde1b41e5675c23,2,0,12
720p60_07,720p60,Ktu6yFS9iMo_s2532,2183,1625,2225,b8a9ec95176c333ef6aa473c35b43a072f2c648efbb6d1a973c314b5c04a0e9c,5,0,12
720p60_08,720p60,Ktu6yFS9iMo_s6195,2397,1857,2457,dce9d31c4a8eec01d6c25d9121ef8ef5df2928241cad4634eedb5a1855d9c95a,3,0,2
720p60_09,720p60,L7o4UCIIqS4_s2656,2611,2089,2689,b1eebfff7d799fedb2a8f485ba98a6fa26021926e7da36bdb4b6a30f1e33d3b0,3,0,2
720p60_10,720p60,L7o4UCIIqS4_s5222,2885,2321,2921,683cc5b0c45ba119f7f545359536042468c67f351fbad50babbe5601f7fbc862,2,0,2
720p60_11,720p60,oL9Uaie2v2A_s5960,3175,2785,3385,973783b470a0e9999cb2cc543c966313b80a5a6b5c3a9e8c6bee80bd754c676f,6,0,16
720p60_12,720p60,6rQ2sV4upfc_s1509,3390,3018,3618,d10e7b95e85fbad71589d18da9098e31dfa312df913c1b701396038528056c0a,5,0,8
720p60_13,720p60,6rQ2sV4upfc_s90,3603,3249,3849,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,1,0,8
720p60_14,720p60,7blRl4zVfrY_s3489,3817,3481,4081,b5d027dbca93a647b4545a8a1e5b9f7da80e078b394f74fd504c5c0e8e7b31ea,4,0,19
720p60_15,720p60,7blRl4zVfrY_s90,4032,3714,4314,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,0,1,10
720p60_16,720p60,FyMWTVsJvv8_s4332,4515,3945,4545,378f11f7d00dc6c7f75b4c1ca6f7331b5950a3d6491d14fb254ef62f1bf9cf80,9,0,11
720p60_17,720p60,Ge4uewCFUFQ_s2382,4729,4177,4777,b175030e1237c857424b6d449d8138dde0f94f389227f0a4afa4dbda195a13de,3,0,11
720p60_18,720p60,Ge4uewCFUFQ_s4674,4944,4410,5010,081a5b8634af9e6ef013ebb6215c2fcf698308f6e35ca8e045daf1c4a5d69932,2,0,4
720p60_19,720p60,IpR4pT8iN0Y_s2432,5152,4642,5242,d2e9618fca2988d0e74654b65178e7b219551eeb90c17275e5f2e5f8a94765fe,0,1,9
720p60_20,720p60,KZK9rv9TnGE_s1474,5365,4873,5473,4c74ce17817b717b4daa4b06b745f47b1c3ac745799a586c20bf074168caf7d1,6,0,10
720p60_21,720p60,KZK9rv9TnGE_s4242,5579,5105,5705,89f5a7ef57147b8f06215865b7c502a0334f39dd7e52519815af4b407d3f1060,2,0,8
720p60_22,720p60,KZK9rv9TnGE_s90,5793,5337,5937,b66f1198f2b4c2e10e6c195e15717ef045775ad12d35aa5d582997f5298debdd,2,0,4
720p60_23,720p60,dAy3tnlu3EQ_s4326,6008,5570,6170,4b29aa56d687868bea366ecde8382fff8eac24f2dce52041ef01edca2ccb92ea,7,0,9
720p60_24,720p60,qTXrSRHHR2M_s2262,6313,5803,6403,7f076a1a4b3935c5912f35f831aada9b130f176f40736535837f96917162894b,5,0,12
720p60_25,720p60,s-0Y7aLxXgM_s1275,6338,6266,6866,f237a5cb4ab3e88218e632df9961a586bff4d955d7721926152028501a271b84,2,0,13
720p60_26,720p60,s-0Y7aLxXgM_s4830,6547,6499,7099,57712e03d9af9728fa4927f3e8d2ade44d855fb2abc719e86d8c64d4c883d0b2,5,0,10
720p60_27,720p60,xv0WyG7_99c_s1200,6761,6731,7331,19161e47d3317d67f754340c00c03406830879b772e2d41c2fc00913dc894b53,0,1,13
720p60_28,720p60,xv0WyG7_99c_s4530,6975,6963,7563,5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c,4,0,11
720p60_29,720p60,xv0WyG7_99c_s4530,7557,6963,7563,5398cdc3ed36f2123eef01738d010d8234294e1e15d7bb3246a245054929b45c,4,0,7
