card_id,draw_kind,window_id,frame,sealed_start_frame,sealed_end_frame_exclusive,source_sha256,producer_row_count,silence,comparator_box_count
1080p30_00,1080p30,9sq-YMlIo9Q_s2346,118,118,418,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,4,0,11
1080p30_01,1080p30,9sq-YMlIo9Q_s2346,376,118,418,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,4,0,11
1080p30_02,1080p30,UCVSlzgun0o_s2298,474,468,768,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,2,0,2
1080p30_03,1080p30,UCVSlzgun0o_s2298,735,468,768,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,3,0,9
1080p30_04,1080p30,UCVSlzgun0o_s90,820,595,895,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,3,0,14
1080p30_05,1080p30,UzaYBYy3GZg_s90,908,725,1025,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,4,0,10
1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,819,1119,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,6,0,11
1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,968,1268,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,6,0,11
1080p30_08,1080p30,X5w3V6rh26s_s90,1145,1088,1388,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1,0,15
1080p30_09,1080p30,Y1cgaIWW8gk_s1437,1239,1191,1491,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,0,1,9
1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,1331,1631,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,2,0,5
1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,1331,1631,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,5,0,11
1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,1574,1874,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,6,0,13
1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,1574,1874,989b21a52bd79e7ae078f3ce3b366fdc093a5ac95997fa20a764abfebf945350,4,0,13
