section_id,draw_kind,receiver_path,g406_sha256,width,height,avg_fps,codec_name,receiver_bytes,g409_rehash_sha256,rehash_equal,status
9sq-YMlIo9Q_s2346,1080p30,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1920,1080,29.97003,h264,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1,RETAINED
9sq-YMlIo9Q_s90,1080p30,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s90.mp4,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,1920,1080,29.97003,h264,65354306,9d6a95e5001c31e1e08177dd628908db74e2eeafc81d1f0a9aa9d44b5775ba8e,1,RETAINED
RIrGQJ_jsGQ_s90,1080p30,C:/Users/neelj/g402_receiver/RIrGQJ_jsGQ_s90.mp4,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,1920,1080,30.0,h264,57018293,847cbd82427b01f791a16da4498160ac6e16495eae86219a743fc872cf9fd7ad,1,RETAINED
UCVSlzgun0o_s2298,1080p30,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1920,1080,29.97003,h264,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1,RETAINED
UCVSlzgun0o_s90,1080p30,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s90.mp4,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1920,1080,29.97003,h264,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1,RETAINED
UzaYBYy3GZg_s90,1080p30,C:/Users/neelj/g402_receiver/UzaYBYy3GZg_s90.mp4,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1920,1080,29.97003,h264,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1,RETAINED
Vm0FqeGo-8g_s1317,1080p30,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s1317.mp4,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1920,1080,29.97003,h264,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1,RETAINED
Vm0FqeGo-8g_s90,1080p30,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s90.mp4,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1920,1080,29.97003,h264,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1,RETAINED
X5w3V6rh26s_s90,1080p30,C:/Users/neelj/g402_receiver/X5w3V6rh26s_s90.mp4,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1920,1080,29.97003,h264,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1,RETAINED
Y1cgaIWW8gk_s1437,1080p30,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s1437.mp4,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1920,1080,30.0,h264,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1,RETAINED
