pair_id,card_id,frame,position_source,iou,stored_x1,stored_y1,stored_x2,stored_y2,mapped_x1,mapped_y1,mapped_x2,mapped_y2,comparator_x1,comparator_y1,comparator_x2,comparator_y2,dx_before,dy_before,dx_after,dy_after,transform
1080p30_01_r02#1080p30_01_d01,1080p30_01,376,DETECTION,0.566571,1084.0,200.0,1224.0,546.0,1084.0,260.0,1224.0,606.0,1098.000,265.500,1203.000,579.750,3.5,-49.625,3.5,10.375,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_02_r00#1080p30_02_d00,1080p30_02,474,PREDICTION,0.856033,1320.0,-13.0,1935.0,1019.0,1320.0,47.0,1935.0,1079.0,1335.000,50.250,1920.000,1065.750,0.0,-55.0,0.0,5.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_06_r02#1080p30_06_d03,1080p30_06,960,DETECTION,0.501982,528.0,609.0,654.0,874.0,528.0,669.0,654.0,934.0,530.625,684.000,635.625,934.500,7.875,-67.75,7.875,-7.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_07_r05#1080p30_07_d04,1080p30_07,1067,SUBPIXEL,0.5042,193.0,552.0,313.0,806.0,193.0,612.0,313.0,866.0,222.000,609.000,318.750,846.750,-17.375,-48.875,-17.375,11.125,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_08_r00#1080p30_08_d03,1080p30_08,1145,CLAMP,0.533138,468.0,598.0,599.0,907.0,468.0,658.0,599.0,967.0,461.250,676.875,576.750,949.500,14.5,-60.6875,14.5,-0.6875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_10_r00#1080p30_10_d01,1080p30_10,1337,DETECTION,0.779467,1198.0,341.0,1873.0,1027.0,1198.0,401.0,1873.0,1087.0,1242.000,416.625,1866.000,1068.000,-18.5,-58.3125,-18.5,1.6875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_12_r02#1080p30_12_d07,1080p30_12,1586,PREDICTION,0.544236,862.0,449.0,1018.0,716.0,862.0,509.0,1018.0,776.0,865.500,510.750,988.500,754.500,13.0,-50.125,13.0,9.875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_12_r03#1080p30_12_d01,1080p30_12,1586,DETECTION,0.511471,1677.0,574.0,1863.0,879.0,1677.0,634.0,1863.0,939.0,1690.500,652.500,1831.500,919.500,9.0,-59.5,9.0,0.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_13_r00#1080p30_13_d05,1080p30_13,1844,CLAMP,0.581794,1608.0,537.0,1740.0,880.0,1608.0,597.0,1740.0,940.0,1620.000,610.500,1728.000,924.000,0.0,-58.75,0.0,1.25,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_13_r02#1080p30_13_d07,1080p30_13,1844,DETECTION,0.542854,619.0,367.0,748.0,703.0,619.0,427.0,748.0,763.0,633.000,438.000,731.250,750.000,1.375,-59.0,1.375,1.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
