unit_id,basename,recovery,format_id,fetch_utc,recorded_sha256,new_sha256,recorded_bytes,new_bytes,bytes_match,recorded_w,recorded_h,new_w,new_h,avg_frame_rate,nb_frames,container_start_time,requested_section_start,frame_index,eye_check
025dba74b2b4a83a56808a3f6f69c97bf498d61c619ed264e304b20360dae500:000006,wnba__-5l407QKuVk_s478.mp4,YTDLP_REFETCH_2026-09-09,hls-270,2026-09-09T17:54:39Z,025dba74b2b4a83a56808a3f6f69c97bf498d61c619ed264e304b20360dae500,72df5f2b96bac72c97146966d15418ef1017d2d680240df2d790e670ae5a027c,000068833271,000068833271,YES,1920,1080,1920,1080,30000/1001,004021,0.000000,478,3516,MATCH
2ac4360d250a9a4cae7ffec3726b691acf56f32c8df36e9fbf4f8a73de1ba534:000010,basketball__fiba-58p-Cj2gY7I_s2710.mp4,YTDLP_REFETCH_2026-09-09,hls-312,2026-09-09T17:55:54Z,2ac4360d250a9a4cae7ffec3726b691acf56f32c8df36e9fbf4f8a73de1ba534,5dfdea16d9839a91521db7be8e509cdffcb82282365a96d7a09980e04dbc8807,000091032577,000091032577,YES,1920,1080,1920,1080,50/1,006577,0.000000,2710,1120,MATCH
2ac4360d250a9a4cae7ffec3726b691acf56f32c8df36e9fbf4f8a73de1ba534:000024,basketball__fiba-58p-Cj2gY7I_s2710.mp4,YTDLP_REFETCH_2026-09-09,hls-312,2026-09-09T17:55:54Z,2ac4360d250a9a4cae7ffec3726b691acf56f32c8df36e9fbf4f8a73de1ba534,5dfdea16d9839a91521db7be8e509cdffcb82282365a96d7a09980e04dbc8807,000091032577,000091032577,YES,1920,1080,1920,1080,50/1,006577,0.000000,2710,5390,MATCH
4c4a02a8c937bb335284477bc4c5bed0175236091d51106511cb72e4ab3798ea:000003,basketball__fiba-A2W5ZjAgr7M_s90.mp4,YTDLP_REFETCH_2026-09-09,hls-270,2026-09-09T17:56:25Z,4c4a02a8c937bb335284477bc4c5bed0175236091d51106511cb72e4ab3798ea,f7f918b30986638053fc9ef61b6b18c3a6396d0daf476b07a45544ec832149dd,000072089735,000072089735,YES,1920,1080,1920,1080,30/1,004051,0.000000,90,516,MATCH
648e9547ccaec03a174a68f2f7748e239b75100decce2caadf60f12c423dee2d:000004,basketball__ncaaw-2u7_bVcenTg_s5074.mp4,YTDLP_REFETCH_2026-09-09,hls-312,2026-09-09T17:59:23Z,648e9547ccaec03a174a68f2f7748e239b75100decce2caadf60f12c423dee2d,2df31d3b5996a9d0751261ea3470164b9d677b727edbfcc9e99ab9b33983b225,000094325881,000094325881,YES,1920,1080,1920,1080,725400000/12102089,008060,0.000000,5074,2004,MATCH
9e89aa81d1317c21e0210f2369d5316232e9028caef5379f85669d425a832adc:000005,nba__hOtf1-DI88w_s2726.mp4,YTDLP_REFETCH_2026-09-09,hls-312,2026-09-09T17:59:58Z,9e89aa81d1317c21e0210f2369d5316232e9028caef5379f85669d425a832adc,8ea2e5febc9d2fdbf0db5973edf50a791ee193a6657b66671c05592d8c316c82,000082279821,000082279821,YES,1920,1080,1920,1080,44673750/745307,007942,0.000000,2726,6456,MATCH
a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250:000000,basketball__eurocup-mhi_fuXUPRE_s90.mp4,LOCAL_STAGED_BYTE_IDENTICAL,n/a,n/a,a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250,a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250,000037599048,000037599048,YES,1920,1080,1920,1080,30/1,n/a,0.000000,90,168,MATCH
a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250:000003,basketball__eurocup-mhi_fuXUPRE_s90.mp4,LOCAL_STAGED_BYTE_IDENTICAL,n/a,n/a,a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250,a32cefcd269c30ddf3a6dd9d6e6dc8d585bf2214d9e8c7715f591c9f8886d250,000037599048,000037599048,YES,1920,1080,1920,1080,30/1,n/a,0.000000,90,3294,MATCH
b5cac62e947864dad1786fd27f86be46c8accd5058b3ca94a29dc26dddaea417:000001,basketball__fiba-Y1cgaIWW8gk_s90.mp4,YTDLP_REFETCH_2026-09-09,hls-270,2026-09-09T18:00:23Z,b5cac62e947864dad1786fd27f86be46c8accd5058b3ca94a29dc26dddaea417,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,000058883653,000058883653,YES,1920,1080,1920,1080,30/1,004051,0.000000,90,462,MATCH
b5cac62e947864dad1786fd27f86be46c8accd5058b3ca94a29dc26dddaea417:000003,basketball__fiba-Y1cgaIWW8gk_s90.mp4,YTDLP_REFETCH_2026-09-09,hls-270,2026-09-09T18:00:23Z,b5cac62e947864dad1786fd27f86be46c8accd5058b3ca94a29dc26dddaea417,2a8931de71495dd5ec186b9f204b3d3fbe90a82f240995aa7d3a3fb016e7db37,000058883653,000058883653,YES,1920,1080,1920,1080,30/1,004051,0.000000,90,1998,MATCH
