section_id,video_id,competition,sampled_ticks,reference_play,reference_definite_nonplay,reference_unknown,shadow_masked
-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,12,9,3,0,2
09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,12,10,2,0,2
1w-1LMPaxsI_s1310,1w-1LMPaxsI,ncaa_basketball,12,9,3,0,2
2bOgqv235pg_s4538,2bOgqv235pg,wnba,12,4,8,0,9
7DT_8xZwDRU_s2312,7DT_8xZwDRU,nba,12,10,2,0,1
Cm4PtLhM1pQ_s2208,Cm4PtLhM1pQ,nba,12,10,2,0,2
DF774VFj7xs_s2698,DF774VFj7xs,ncaa_basketball,12,11,1,0,1
Fu__lY_KbYU_s5138,Fu__lY_KbYU,ncaa_basketball,12,0,12,0,9
IwF-L57_Mes_s155,IwF-L57_Mes,wnba,12,10,2,0,1
IwF-L57_Mes_s4253,IwF-L57_Mes,wnba,12,10,2,0,2
J6RT3BHHvPU_s2614,J6RT3BHHvPU,nba,12,6,6,0,3
KO5gQVMZlrw_s9549,KO5gQVMZlrw,nba,12,10,2,0,3
LPDnemFoqVk_s3306,LPDnemFoqVk,nba,12,10,2,0,1
RWO5tGSbLDI_s2926,RWO5tGSbLDI,nba,12,4,7,1,5
cRqEjm_OF1E_s3309,cRqEjm_OF1E,nba,12,9,3,0,3
can0TljVjRg_s7347,can0TljVjRg,nba,12,2,10,0,7
coYlCAzzpjI_s5424,coYlCAzzpjI,nba,12,10,2,0,2
o-0zMlCbY3o_s90,o-0zMlCbY3o,ncaa_basketball,12,9,3,0,2
ouRk-j987wk_s1275,ouRk-j987wk,wnba,12,9,3,0,3
pPHOlLVyjQc_s1603,pPHOlLVyjQc,nba,12,10,2,0,1
qAeUUwn-A8s_s3795,qAeUUwn-A8s,nba,12,11,1,0,1
rDN2P2gcteY_s1161,rDN2P2gcteY,ncaa_basketball,12,10,2,0,2
ryHe2XPFHqs_s4950,ryHe2XPFHqs,nba,12,8,4,0,3
sN8v9Uus6xw_s4406,sN8v9Uus6xw,nba,12,7,5,0,5
trGsuzTRCJU_s1168,trGsuzTRCJU,ncaa_basketball,12,7,5,0,3
uJs693eNfuQ_s6334,uJs693eNfuQ,nba,12,0,12,0,9
vYUtp9BnQIw_s1463,vYUtp9BnQIw,ncaa_basketball,12,6,6,0,5
waBDFY4ihS0_s1203,waBDFY4ihS0,nba,12,7,5,0,3
wptZj4SuFtE_s2598,wptZj4SuFtE,wnba,12,10,2,0,3
yE3V2klBEdo_s3564,yE3V2klBEdo,ncaa_basketball,12,6,6,0,4
