sheet_id,tick_key,section_id,video_id,competition,sport,offset_s,source_duration,window_start_s,window_end_s,container_bytes,container_sha256,width,height,frame_count,avg_frame_rate,codec_name,frame_index,sheet_bytes,sheet_sha256,evidence_status,absent_reason,pinned_utc
g385_0336,-Oa_BpdVT64_s90:000311,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,311,91297,e760d36c7d0c966cc3f3435c66dcd003662a9ca6830dd02c8f96a9bf2841e901,READABLE,,2026-09-11T02:30:15Z
g385_0163,-Oa_BpdVT64_s90:000622,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,622,158428,8b8115775a68ed2f538a32b1c1d68df40b311545ea5e633d27db52464f0c22c1,READABLE,,2026-09-11T02:30:15Z
g385_0331,-Oa_BpdVT64_s90:000933,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,933,97695,a9dee1cea46d0684144eac084d97fff1fd25280a5b96e73cc712c8acccddb0fd,READABLE,,2026-09-11T02:30:15Z
g385_0207,-Oa_BpdVT64_s90:001244,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,1244,170033,2153f07fc2faf825ba98279fbb803b0c73c3aa43ec69fb405db551a5bd71af7a,READABLE,,2026-09-11T02:30:15Z
g385_0100,-Oa_BpdVT64_s90:001556,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,1556,181571,dc66fa672f258cd8a116c5cd87e1df5ce9d4efd7c35cc307d4dc71dc98224b36,READABLE,,2026-09-11T02:30:15Z
g385_0090,-Oa_BpdVT64_s90:001867,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,1867,176163,be3e5c579ee0f27aeb81c28169f6b264e6ad4d300aabc1f12e16370e298ed9e7,READABLE,,2026-09-11T02:30:15Z
g385_0244,-Oa_BpdVT64_s90:002178,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,2178,190235,2c241969215b4fcf7865e683897a5273a68732c214851bcc3ac8db615b8f11c8,READABLE,,2026-09-11T02:30:15Z
g385_0241,-Oa_BpdVT64_s90:002489,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,2489,166174,1fb0a8e9e2646e844a5e0c12655708ab79df9c5665df18b43a2941f4094acbc7,READABLE,,2026-09-11T02:30:15Z
g385_0354,-Oa_BpdVT64_s90:002801,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,2801,132704,399dbc98c2c05698409af97c1ecad7be5635548641cc2d2716107e45cb5a8fa1,READABLE,,2026-09-11T02:30:15Z
g385_0198,-Oa_BpdVT64_s90:003112,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,3112,184105,128def06dd87ae47c374ab0aa6d5a7504e2ccd9238eb9730ce263eab59d80c02,READABLE,,2026-09-11T02:30:15Z
g385_0176,-Oa_BpdVT64_s90:003423,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,3423,172799,ffad785d732d74b1741183049a9b5d6265583cdcf10aceabb2d69f7db6135f0d,READABLE,,2026-09-11T02:30:15Z
g385_0019,-Oa_BpdVT64_s90:003734,-Oa_BpdVT64_s90,-Oa_BpdVT64,ncaa_basketball,ncaa_basketball,90,134.968,90,225,71645197,0788a4c73d85251c1800ac694b1b5384dc29aded3c63478d324100e3ac555615,1920,1080,4047,30000/1001,h264,3734,186417,aa1d716c822f381f38d3c5598db3297edfea867b726885103772786e21613c20,READABLE,,2026-09-11T02:30:15Z
g385_0246,09B3g4Z5yFc_s4746:000302,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,302,60545,b59e010a8a82baaee9bf146818a45f9011dda4573380d30fc5f6f4b5d6622728,READABLE,,2026-09-11T02:37:55Z
g385_0132,09B3g4Z5yFc_s4746:000604,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,604,116796,a9dad26b393d64cd416ce270444b9b560f0961e3ceb612d89cfb3387ddf38044,READABLE,,2026-09-11T02:37:55Z
g385_0022,09B3g4Z5yFc_s4746:000906,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,906,116517,b5c6eaee7f1257b9ecbedc732c77dbdbc9a79649e94ce9349fb84bbd05220b07,READABLE,,2026-09-11T02:37:55Z
g385_0043,09B3g4Z5yFc_s4746:001209,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,1209,100030,533f9454d26b43f7068432c961e7f46f07bfcef22c93b734d398d4090bfb99de,READABLE,,2026-09-11T02:37:55Z
g385_0202,09B3g4Z5yFc_s4746:001511,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,1511,75744,e0708f21ade3de5528f514fd58ee0b93cbdac2b3918856ff7e42363dbb24be38,READABLE,,2026-09-11T02:37:55Z
g385_0303,09B3g4Z5yFc_s4746:001813,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,1813,97425,e5ad9e594af5e6ec5664c75bb0e0e586097ae2a4f7b0e67a3d03d2ff82c8e8c3,READABLE,,2026-09-11T02:37:55Z
g385_0099,09B3g4Z5yFc_s4746:002116,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,2116,58505,976f433807dfa0b98375d86cefd670df622bf67d0342dbf580a567478be13747,READABLE,,2026-09-11T02:37:55Z
g385_0211,09B3g4Z5yFc_s4746:002418,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,2418,105890,c728a7b11d6c0da5fff19fd0bfafc8a94fdefc5690e6d3061e384322e3b14be2,READABLE,,2026-09-11T02:37:55Z
g385_0005,09B3g4Z5yFc_s4746:002720,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,2720,104995,1d76a58ebbc85f8296f5236545a95943374fc5175d766c7dbc854be403712743,READABLE,,2026-09-11T02:37:55Z
g385_0053,09B3g4Z5yFc_s4746:003023,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,3023,115977,911814ac266f0c7dbb4c303203e9ca6dc0ec4d66dbe20c9cfc6e36ac52772c2d,READABLE,,2026-09-11T02:37:55Z
g385_0292,09B3g4Z5yFc_s4746:003325,09B3g4Z5yFc_s4746,09B3g4Z5yFc,wnba,wnba,4746,130.533,4746,4877,43514319,1467ff68fe7c81a06ad1dbc5b8fbadcb4a842e336f33dc284e8e3fd459e1d8aa,1920,1080,3931,30/1,h264,3325,84925,7ab22b2fdd39f80c38cd537391bbbb43342b551a519a488f245e2f0e389c13dc,READABLE,,2026-09-11T02:37:55Z
