game_id,prefix,sport,status,video_id,offset_s,source_duration,source_resolution,finished_at,eligible,ineligible_reason
0022401156_s4735,nba,nba,tracked,,,130.033,1280x720,1788843442,0,no_video_id_or_offset
0022401156_s4922,nba,nba,tracked,,,130.367,1280x720,1788842662,0,no_video_id_or_offset
0022401156_s5109,nba,nba,tracked,,,134.033,1280x720,1788843707,0,no_video_id_or_offset
0022401156_s5296,nba,nba,tracked,,,131.033,1280x720,1788843707,0,no_video_id_or_offset
0022401156_s5483,nba,nba,tracked,,,133.033,1280x720,1788843783,0,no_video_id_or_offset
0022401156_s60,nba,nba,tracked,,,130.033,1280x720,1788840696,0,no_video_id_or_offset
0022401156_s621,nba,nba,tracked,,,130.267,1280x720,1788844025,0,no_video_id_or_offset
0022401156_s808,nba,nba,tracked,,,133.033,1280x720,1788844203,0,no_video_id_or_offset
0022401156_s995,nba,nba,tracked,,,130.033,1280x720,1788844231,0,no_video_id_or_offset
0022401198_s1876,nba,nba,tracked,,,133.900,1280x720,1788847314,0,no_video_id_or_offset
0022401198_s2784,nba,nba,tracked,,,131.900,1280x720,1788847395,0,no_video_id_or_offset
0022401198_s60,nba,nba,tracked,,,132.900,1280x720,1788847314,0,no_video_id_or_offset
0022401198_s968,nba,nba,tracked,,,130.800,1280x720,1788847262,0,no_video_id_or_offset
0022500081_s1248,nba,nba,tracked,,,130.033,1280x720,1788844231,0,no_video_id_or_offset
0022500081_s1545,nba,nba,tracked,,,133.700,1280x720,1788844026,0,no_video_id_or_offset
0022500081_s1842,nba,nba,tracked,,,132.033,1280x720,1788844801,0,no_video_id_or_offset
0022500081_s2139,nba,nba,tracked,,,130.367,1280x720,1788844922,0,no_video_id_or_offset
0022500081_s2436,nba,nba,thin,,,134.033,1280x720,1788845833,0,no_video_id_or_offset
0022500081_s2733,nba,nba,tracked,,,132.367,1280x720,1788845073,0,no_video_id_or_offset
0022500081_s3030,nba,nba,tracked,,,130.700,1280x720,1788845805,0,no_video_id_or_offset
0022500081_s3327,nba,nba,tracked,,,134.367,1280x720,1788845834,0,no_video_id_or_offset
0022500081_s357,nba,nba,tracked,,,135.033,1280x720,1788845805,0,no_video_id_or_offset
0022500081_s3624,nba,nba,tracked,,,132.700,1280x720,1788847468,0,no_video_id_or_offset
0022500081_s3921,nba,nba,tracked,,,131.033,1280x720,1788847420,0,no_video_id_or_offset
0022500081_s4218,nba,nba,tracked,,,134.700,1280x720,1788847771,0,no_video_id_or_offset
0022500081_s4515,nba,nba,thin,,,133.033,1280x720,1788844922,0,no_video_id_or_offset
0022500081_s4812,nba,nba,thin,,,131.367,1280x720,1788844151,0,no_video_id_or_offset
0022500081_s5109,nba,nba,tracked,,,135.033,1280x720,1788847494,0,no_video_id_or_offset
0022500081_s5406,nba,nba,tracked,,,133.367,1280x720,1788848882,0,no_video_id_or_offset
0022500081_s5703,nba,nba,tracked,,,131.700,1280x720,1788848882,0,no_video_id_or_offset
0022500081_s60,nba,nba,tracked,,,131.367,1280x720,1788848742,0,no_video_id_or_offset
0022500081_s6000,nba,nba,tracked,,,130.033,1280x720,1788850352,0,no_video_id_or_offset
0022500081_s6297,nba,nba,tracked,,,133.700,1280x720,1788849186,0,no_video_id_or_offset
0022500081_s654,nba,nba,tracked,,,133.367,1280x720,1788849377,0,no_video_id_or_offset
0022500081_s6594,nba,nba,tracked,,,132.033,1280x720,1788849570,0,no_video_id_or_offset
0022500081_s6891,nba,nba,tracked,,,130.367,1280x720,1788849499,0,no_video_id_or_offset
0022500081_s7188,nba,nba,tracked,,,132.400,1280x720,1788851514,0,no_video_id_or_offset
0022500081_s7485,nba,nba,tracked,,,132.367,1280x720,1788850653,0,no_video_id_or_offset
0022500081_s7782,nba,nba,tracked,,,130.700,1280x720,1788850552,0,no_video_id_or_offset
0022500081_s8079,nba,nba,tracked,,,134.367,1280x720,1788850928,0,no_video_id_or_offset
0022500081_s8376,nba,nba,tracked,,,132.700,1280x720,1788851345,0,no_video_id_or_offset
0022500081_s8673,nba,nba,thin,,,131.033,1280x720,1788849571,0,no_video_id_or_offset
0022500081_s951,nba,nba,tracked,,,131.700,1280x720,1788851464,0,no_video_id_or_offset
0022500575,nba,nba,tracked,,,9637.027,640x360,1788831228,0,no_video_id_or_offset
0022500575_s1500,nba,nba,tracked,,,155.222,640x360,1788822389,0,no_video_id_or_offset
0022500575_s2100,nba,nba,tracked,,,131.965,640x360,1788823673,0,no_video_id_or_offset
0022500575_s2700,nba,nba,tracked,,,152.119,640x360,1788819597,0,no_video_id_or_offset
0022500575_s300,nba,nba,tracked,,,151.084,640x360,1788818765,0,no_video_id_or_offset
0022500575_s3300,nba,nba,tracked,,,130.764,640x360,1788824136,0,no_video_id_or_offset
0022500575_s3900,nba,nba,tracked,,,132.833,640x360,1788824462,0,no_video_id_or_offset
0022500575_s4500,nba,nba,thin,,,134.901,640x360,1788821990,0,no_video_id_or_offset
0022500575_s5400,nba,nba,tracked,,,152.653,640x360,1788819575,0,no_video_id_or_offset
0022500575_s6000,nba,nba,tracked,,,134.735,640x360,1788823884,0,no_video_id_or_offset
0022500575_s6600,nba,nba,tracked,,,131.465,640x360,1788825998,0,no_video_id_or_offset
0022500575_s7200,nba,nba,tracked,,,133.533,640x360,1788826108,0,no_video_id_or_offset
0022500575_s8100,nba,nba,tracked,,,151.284,640x360,1788819597,0,no_video_id_or_offset
0022500575_s8700,nba,nba,tracked,,,133.367,640x360,1788826078,0,no_video_id_or_offset
0022500575_s900,nba,nba,tracked,,,130.063,640x360,1788826108,0,no_video_id_or_offset
0022500575_s9300,nba,nba,thin,,,130.097,640x360,1788823458,0,no_video_id_or_offset
0022500592_s1500,nba,nba,tracked,,,133.901,640x360,1788829001,0,no_video_id_or_offset
0022500592_s2100,nba,nba,tracked,,,130.364,640x360,1788828894,0,no_video_id_or_offset
0022500592_s2700,nba,nba,thin,,,131.899,640x360,1788826192,0,no_video_id_or_offset
0022500592_s300,nba,nba,thin,,,130.831,640x360,1788826192,0,no_video_id_or_offset
0022500592_s3300,nba,nba,tracked,,,133.433,640x360,1788829506,0,no_video_id_or_offset
0022500592_s3900,nba,nba,tracked,,,134.968,640x360,1788829143,0,no_video_id_or_offset
0022500592_s4500,nba,nba,thin,,,131.431,640x360,1788828466,0,no_video_id_or_offset
0022500592_s5400,nba,nba,tracked,,,133.734,640x360,1788829143,0,no_video_id_or_offset
0022500592_s6000,nba,nba,tracked,,,130.197,640x360,1788828245,0,no_video_id_or_offset
0022500592_s6600,nba,nba,tracked,,,131.732,640x360,1788829711,0,no_video_id_or_offset
0022500592_s7200,nba,nba,tracked,,,133.267,640x360,1788829190,0,no_video_id_or_offset
0022500592_s8100,nba,nba,tracked,,,130.497,640x360,1788829191,0,no_video_id_or_offset
0022500592_s8700,nba,nba,tracked,,,132.032,640x360,1788829060,0,no_video_id_or_offset
0022500592_s900,nba,nba,tracked,,,132.366,640x360,1788828517,0,no_video_id_or_offset
0022500592_s9300,nba,nba,thin,,,133.567,640x360,1788826613,0,no_video_id_or_offset
0022500594_s1500,nba,nba,tracked,,,151.367,640x360,1788821665,0,no_video_id_or_offset
0022500594_s2100,nba,nba,tracked,,,134.033,640x360,1788823407,0,no_video_id_or_offset
