section_id,frames,milliseconds,milliseconds_per_frame
-Oa_BpdVT64_s90,12,867.3,72.3
09B3g4Z5yFc_s4746,12,866.7,72.2
1w-1LMPaxsI_s1310,12,915.2,76.3
2bOgqv235pg_s4538,12,831.3,69.3
7DT_8xZwDRU_s2312,12,884.2,73.7
Cm4PtLhM1pQ_s2208,12,845.5,70.5
DF774VFj7xs_s2698,12,864.3,72.0
Fu__lY_KbYU_s5138,12,851.0,70.9
IwF-L57_Mes_s155,12,889.3,74.1
IwF-L57_Mes_s4253,12,879.0,73.3
J6RT3BHHvPU_s2614,12,860.3,71.7
KO5gQVMZlrw_s9549,12,839.9,70.0
LPDnemFoqVk_s3306,12,859.1,71.6
RWO5tGSbLDI_s2926,12,839.6,70.0
cRqEjm_OF1E_s3309,12,844.2,70.3
can0TljVjRg_s7347,12,868.4,72.4
coYlCAzzpjI_s5424,12,856.5,71.4
o-0zMlCbY3o_s90,12,858.3,71.5
ouRk-j987wk_s1275,12,832.5,69.4
pPHOlLVyjQc_s1603,12,839.8,70.0
qAeUUwn-A8s_s3795,12,832.8,69.4
rDN2P2gcteY_s1161,12,842.9,70.2
ryHe2XPFHqs_s4950,12,840.6,70.0
sN8v9Uus6xw_s4406,12,840.4,70.0
trGsuzTRCJU_s1168,12,852.7,71.1
uJs693eNfuQ_s6334,12,867.6,72.3
vYUtp9BnQIw_s1463,12,853.8,71.1
waBDFY4ihS0_s1203,12,865.3,72.1
wptZj4SuFtE_s2598,12,841.1,70.1
yE3V2klBEdo_s3564,12,848.4,70.7
