window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
wnba_02,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
wnba_02,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,720
wnba_02,stage,detected_ball,000020,0333,full_frame_denominator,,,,,,,,,720
wnba_02,stage,player_rows,000020,0333,full_frame_denominator,,,,,,,,,720
wnba_02,stage,player_within_radius,000002,0033,full_frame_denominator,,,,,,,,,720
wnba_02,stage,prerequisite_available,000001,0017,full_frame_denominator,,,,,,,,,720
wnba_02,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
wnba_02,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
wnba_02,coordinate,detected_ball_vs_player_px,000021,,image_px_ranges,91.000,988.000,51.000,449.000,-164.997,1188.000,-285.076,791.760,720
wnba_02,age,detected_ball_age_frames,000020,0333,age=0,,,,,,,,,720
