window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
0022501185,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022501185,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,720
0022501185,stage,detected_ball,000017,0283,full_frame_denominator,,,,,,,,,720
0022501185,stage,player_rows,000017,0283,full_frame_denominator,,,,,,,,,720
0022501185,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022501185,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022501185,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022501185,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022501185,coordinate,detected_ball_vs_player_px,000018,,image_px_ranges,47.000,1146.000,94.000,1333.000,478.058,1570.224,125.000,666.000,720
0022501185,age,detected_ball_age_frames,000017,0283,age=0,,,,,,,,,720
