window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
0022500799,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500799,stage,any_ball_row,000005,0083,full_frame_denominator,,,,,,,,,720
0022500799,stage,detected_ball,000004,0067,full_frame_denominator,,,,,,,,,720
0022500799,stage,player_rows,000004,0067,full_frame_denominator,,,,,,,,,720
0022500799,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500799,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500799,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500799,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500799,coordinate,detected_ball_vs_player_px,000004,,image_px_ranges,18.000,3241.000,201.000,1125.000,37.000,1134.000,462.000,552.000,720
0022500799,age,detected_ball_age_frames,000004,0067,age=0,,,,,,,,,720
