window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
0022500348,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500348,stage,any_ball_row,000005,0083,full_frame_denominator,,,,,,,,,720
0022500348,stage,detected_ball,000001,0017,full_frame_denominator,,,,,,,,,720
0022500348,stage,player_rows,000001,0017,full_frame_denominator,,,,,,,,,720
0022500348,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500348,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500348,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500348,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500348,coordinate,detected_ball_vs_player_px,000001,,image_px_ranges,1277.000,1277.000,1729.000,1729.000,379.500,975.000,321.265,459.000,720
0022500348,age,detected_ball_age_frames,000001,0017,age=0,,,,,,,,,720
