shot_id,frame,timestamp,player_id,player_name,team,team_abbrev,x_norm,y_norm,ft_x,ft_y,dist_to_basket_ft,nearest_opponent
1,2076,34.635,2,green#?,green,POR,0.6229,0.249,58.55,12.45,32.7,137.1
2,3300,55.055,7,white#?,white,WAS,0.3479,0.124,32.71,6.2,33.27,123.4
3,4470,74.575,10,white#?,white,WAS,0.6083,0.2576,57.18,12.88,33.82,146.0
4,5370,89.59,4,green#?,green,POR,0.292,0.3292,27.45,16.46,23.78,240.2
5,6036,100.701,3,green#?,green,POR,0.0251,0.1527,2.36,7.63,17.6,125.1
6,7464,124.524,10,white#?,white,WAS,0.0624,0.2176,5.87,10.88,14.14,366.4
7,9858,164.464,8,white#?,white,WAS,0.6918,0.209,65.03,10.45,27.83,83.9
8,38502,642.342,7,white#?,white,WAS,0.6002,0.1832,56.42,9.16,36.01,161.6
9,39540,659.659,2,green#?,green,POR,0.0365,0.0191,3.43,0.95,24.11,591.4
10,40278,671.971,7,white#?,white,WAS,0.3066,0.1088,28.82,5.44,30.63,353.0
