possession_id,team,team_abbrev,start_time,end_time,duration_s,n_frames
34,0,,9.309,25.025,15.7,98
35,0,,25.125,43.343,18.2,138
36,0,,43.443,50.05,6.6,67
38,0,,51.652,54.354,2.7,28
41,0,,55.956,59.359,3.4,35
42,0,,59.459,67.367,7.9,65
43,0,,67.467,72.472,5.0,51
44,0,,72.573,75.475,2.9,30
45,0,,75.576,78.579,3.0,31
49,0,,82.382,85.886,3.5,36
50,0,,85.986,89.489,3.5,36
51,0,,89.59,118.919,29.3,264
77,0,,121.521,134.935,13.4,135
142,0,,141.441,147.347,5.9,60
143,0,,147.447,157.958,10.5,90
144,0,,158.058,160.861,2.8,29
145,0,,160.961,164.765,3.8,39
146,0,,164.865,167.367,2.5,26
147,0,,167.467,584.684,417.2,291
150,0,,586.186,588.388,2.2,23
151,0,,588.488,592.992,4.5,46
153,0,,594.194,603.303,9.1,92
154,0,,603.403,609.909,6.5,66
155,0,,610.009,622.722,12.7,128
156,0,,622.822,626.926,4.1,42
159,0,,628.928,633.032,4.1,42
160,0,,633.133,636.536,3.4,35
161,0,,636.636,638.438,1.8,19
162,0,,638.538,640.44,1.9,20
164,0,,641.541,644.544,3.0,31
166,0,,645.745,650.95,5.2,53
167,0,,651.05,691.491,40.4,405
168,0,,691.591,694.594,3.0,31
169,0,,694.694,697.197,2.5,26
