audit_id,sport,source_path,source_bytes,source_sha256,source_width_px,source_height_px,oracle_max_corner_error_px,max_role_angle_error_deg,max_abs_midpoint_offset_px,min_selected_intersection_angle_deg
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973.jpg,605623,0d9952805c27ebf195167383d2e41d4b7ec47f4656db1b42a041a81ccc1c2e96,1920,1080,22.102247083275,7.111018221696,15.043043140906,53.673831614020
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785.jpg,584472,ca37d7d4f52115e43c134ea2f1fa3dccfe4971dd7672cca52844d23ed5eceae7,1920,1080,26.900086711036,17.385489254583,6.248755975323,88.793449244007
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171.jpg,106044,474f93a9a7cbf4e4e92822bb59ce582d28a2141fa1959cfe0b5b26b1e3528051,640,360,26.693424003592,31.619943558554,10.178412103207,58.232153832076
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871.jpg,689352,753b08ce741170be6d70036b0856eec44faa051167b3ecb513915a2af265c39b,1920,1080,28.359302507852,2.870575955978,17.310554586959,83.407894562962
ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_sRtHQbywiTE__s03__f006925.jpg,297020,b52b5a96a0a7019f93f87159417cacdb96ee2c9c6809bb4c4f2c6e6a1a00c432,1280,720,6.744692217456,4.754881459637,4.624739608349,79.425285368965
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__s01__f002920.jpg,308901,eaeae070e1075f32cc55eac083de59ed4f3cdd2eead85f6d30899c9ebd2d32c7,1280,720,32.637571875747,17.336343536646,18.276742562478,62.983954724460
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s02__f005760.jpg,679804,6d81d1810566bb3ba2830802066b2b60567b1def169f390091f240f1e529add7,1920,1080,61.102801579856,5.903038836957,26.179441572953,71.331306802780
ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340,ncaa_basketball,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\ncaa_basketball__ncaa_basketball_zqBCKovJCQU__s10__f020340.jpg,531457,87b35e1bcefa5ecb853516b55411fde904ffac3a6626c91026ee511cc5203aac,1920,1080,33.307597842910,11.734092827489,16.287568808540,78.440326672641
wnba__wnba_01_1080p__s01__f001600,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s01__f001600.jpg,621798,e9ead024840b53be902376b3cd76918ef36ae9d7b40527c5c413cc21ce9183f8,1920,1080,92.774241200329,20.148822056148,30.781031838369,81.405789548226
wnba__wnba_01_1080p__s03__f004062,wnba,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g130_recensus\source_decodes\wnba__wnba_01_1080p__s03__f004062.jpg,629254,a90b15f669a4d6cec666cdabdf23f0a06ef9f7d94eab4c63a729b9df43bda6ed,1920,1080,26.699672335697,11.904270291547,8.969431800840,76.783748814741
