frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
900,15.015,,,0,1,0
906,15.115,,,0,1,0
912,15.215,,,0,1,0
918,15.315,,,0,1,0
924,15.415,,,0,1,0
930,15.515,,,0,1,0
936,15.616,,,0,1,0
942,15.716,,,0,1,0
948,15.816,,,0,1,0
954,15.916,,,0,1,0
960,16.016,,,0,1,0
966,16.116,,,0,1,0
972,16.216,,,0,1,0
978,16.316,,,0,1,0
984,16.416,,,0,1,0
990,16.517,,,0,1,0
996,16.617,,,0,1,0
1002,16.717,,,0,1,0
1008,16.817,,,0,1,0
1014,16.917,,,0,1,0
1020,17.017,,,0,1,0
1026,17.117,,,0,1,0
1032,17.217,,,0,1,0
1038,17.317,,,0,1,0
1044,17.417,,,0,1,0
1050,17.518,,,0,1,0
1056,17.618,,,0,1,0
1062,17.718,,,0,1,0
1068,17.818,,,0,1,0
1074,17.918,,,0,1,0
1350,22.523,,,0,1,0
1356,22.623,,,0,1,0
1362,22.723,,,0,1,0
1368,22.823,,,0,1,0
1374,22.923,,,0,1,0
1380,23.023,,,0,1,0
1386,23.123,,,0,1,0
1392,23.223,,,0,1,0
1398,23.323,,,0,1,0
1404,23.423,,,0,1,0
1410,23.524,,,0,1,0
1416,23.624,,,0,1,0
1422,23.724,,,0,1,0
1428,23.824,2480,542,1,1,0
1434,23.924,2556,667,1,1,0
1440,24.024,3089,381,1,1,1
1446,24.124,,,0,1,0
1452,24.224,,,0,1,0
1458,24.324,,,0,1,0
1464,24.424,1701,158,1,1,0
1470,24.524,1698,75,1,1,1
1476,24.625,,,0,1,0
1482,24.725,,,0,1,0
1488,24.825,,,0,1,0
1494,24.925,,,0,1,0
1500,25.025,,,0,1,0
1506,25.125,,,0,1,0
1512,25.225,1589,257,1,1,0
1518,25.325,1610,257,1,1,1
1524,25.425,,,0,1,0
1530,25.526,,,0,1,0
1536,25.626,,,0,1,0
1542,25.726,,,0,1,0
1548,25.826,,,0,1,0
1554,25.926,,,0,1,0
1560,26.026,642,157,1,1,0
1566,26.126,621,159,1,1,0
1572,26.226,592,162,1,1,0
1578,26.326,571,161,1,1,0
1584,26.426,567,156,1,1,0
1590,26.527,573,152,1,1,0
1596,26.627,578,150,1,1,0
1602,26.727,586,147,1,1,0
1608,26.827,588,143,1,1,0
1614,26.927,588,143,1,1,0
1620,27.027,574,146,1,1,0
1626,27.127,554,153,1,1,0
1632,27.227,528,161,1,1,0
1638,27.327,506,167,1,1,0
1644,27.427,487,171,1,1,0
1650,27.527,465,179,1,1,0
1656,27.628,451,194,1,1,0
1662,27.728,433,213,1,1,0
1668,27.828,481,205,1,1,0
1674,27.928,515,178,1,1,0
1680,28.028,519,191,1,1,0
1686,28.128,543,194,1,1,0
1692,28.228,550,175,1,1,0
1698,28.328,544,189,1,1,0
1704,28.428,516,192,1,1,0
1710,28.529,520,196,1,1,0
1716,28.629,558,202,1,1,0
1722,28.729,520,199,1,1,0
1728,28.829,488,210,1,1,0
1734,28.929,453,211,1,1,0
1740,29.029,397,222,1,1,0
1746,29.129,427,203,1,1,0
1752,29.229,459,175,1,1,0
1758,29.329,455,154,1,1,0
1764,29.429,441,139,1,1,0
1770,29.53,401,134,1,1,0
1776,29.63,392,152,1,1,0
1782,29.73,410,128,1,1,0
1788,29.83,412,112,1,1,0
1794,29.93,375,116,1,1,0
1800,30.03,329,131,1,1,0
1806,30.13,287,127,1,1,0
1812,30.23,331,121,1,1,0
1818,30.33,372,124,1,1,0
1824,30.43,308,142,1,1,0
1830,30.53,266,134,1,1,0
1836,30.631,247,134,1,1,0
1842,30.731,288,116,1,1,0
1848,30.831,293,117,1,1,0
1854,30.931,312,113,1,1,0
1860,31.031,318,114,1,1,0
1866,31.131,321,112,1,1,0
1872,31.231,317,113,1,1,0
1878,31.331,318,112,1,1,0
1884,31.431,306,114,1,1,0
1890,31.532,286,118,1,1,0
1896,31.632,256,121,1,1,0
1902,31.732,206,125,1,1,0
1908,31.832,159,127,1,1,0
1914,31.932,117,130,1,1,0
1920,32.032,91,133,1,1,0
1926,32.132,81,132,1,1,0
1932,32.232,81,132,1,1,0
1938,32.332,97,128,1,1,0
1944,32.432,115,122,1,1,0
1950,32.532,142,118,1,1,0
1956,32.633,219,100,1,1,0
1962,32.733,219,100,1,1,0
1968,32.833,215,97,1,1,0
1974,32.933,210,101,1,1,0
2790,46.547,232,79,1,1,0
2796,46.647,239,75,1,1,0
2802,46.747,228,77,1,1,0
2808,46.847,224,76,1,1,0
2814,46.947,220,77,1,1,0
2820,47.047,212,76,1,1,0
