sample,position,ordinal,section,target_frame_index,prior_minus_2,prior_minus_1,prior_minus_2_status,prior_minus_1_status,nearest_prior_gap_frames,causal_neighbours_within_0p2s,availability,render
timeline,0,0,UzaYBYy3GZg_s5242,81,MISSING,MISSING,MISSING,MISSING,,0,MISSING,renders/timeline/timeline_00_ordinal_000.jpg
timeline,1,18,UHJ90jJmCYw_s90,504,MISSING,MISSING,MISSING,MISSING,251,0,MISSING,renders/timeline/timeline_01_ordinal_018.jpg
timeline,2,36,5U9k1U6nN-g_s1207,1119,MISSING,MISSING,MISSING,MISSING,252,0,MISSING,renders/timeline/timeline_02_ordinal_036.jpg
timeline,3,54,tDpmV777-IQ_s90,3110,MISSING,MISSING,MISSING,MISSING,501,0,MISSING,renders/timeline/timeline_03_ordinal_054.jpg
timeline,4,73,N-eE7ZwTuno_s2365,2483,MISSING,MISSING,MISSING,MISSING,252,0,MISSING,renders/timeline/timeline_04_ordinal_073.jpg
timeline,5,91,s4xx-bV7D8I_s479,3190,MISSING,MISSING,MISSING,MISSING,252,0,MISSING,renders/timeline/timeline_05_ordinal_091.jpg
timeline,6,109,RIrGQJ_jsGQ_s90,3824,MISSING,MISSING,MISSING,MISSING,252,0,MISSING,renders/timeline/timeline_06_ordinal_109.jpg
timeline,7,128,uZkAbRqeGrc_s1607,572,MISSING,MISSING,MISSING,MISSING,246,0,MISSING,renders/timeline/timeline_07_ordinal_128.jpg
timeline,8,146,AIMOY6CoQKI_s4438,1179,MISSING,MISSING,MISSING,MISSING,247,0,MISSING,renders/timeline/timeline_08_ordinal_146.jpg
timeline,9,164,myAuD3DmJMY_s6535,1692,MISSING,MISSING,MISSING,MISSING,250,0,MISSING,renders/timeline/timeline_09_ordinal_164.jpg
timeline,10,183,7WBKNCu3NLU_s90,2710,MISSING,MISSING,MISSING,MISSING,256,0,MISSING,renders/timeline/timeline_10_ordinal_183.jpg
timeline,11,201,UPco-jzOoEg_s2796,6491,MISSING,MISSING,MISSING,MISSING,498,0,MISSING,renders/timeline/timeline_11_ordinal_201.jpg
timeline,12,219,0KIBu1jQBL8_s5665,179,MISSING,MISSING,MISSING,MISSING,,0,MISSING,renders/timeline/timeline_12_ordinal_219.jpg
timeline,13,237,50pp-OqYVok_s1500,709,MISSING,MISSING,MISSING,MISSING,246,0,MISSING,renders/timeline/timeline_13_ordinal_237.jpg
timeline,14,256,h6j_iLYRx8U_s90,2997,MISSING,MISSING,MISSING,MISSING,491,0,MISSING,renders/timeline/timeline_14_ordinal_256.jpg
timeline,15,274,1E5Rw89keTg_s312,2129,MISSING,MISSING,MISSING,MISSING,251,0,MISSING,renders/timeline/timeline_15_ordinal_274.jpg
timeline,16,292,myAuD3DmJMY_s3957,2689,MISSING,MISSING,MISSING,MISSING,250,0,MISSING,renders/timeline/timeline_16_ordinal_292.jpg
timeline,17,311,wd08fix8q3Q_s5830,3433,MISSING,MISSING,MISSING,MISSING,244,0,MISSING,renders/timeline/timeline_17_ordinal_311.jpg
timeline,18,329,uZkAbRqeGrc_s3124,124,MISSING,MISSING,MISSING,MISSING,,0,MISSING,renders/timeline/timeline_18_ordinal_329.jpg
timeline,19,347,b00bP6hM95Q_s3972,602,MISSING,MISSING,MISSING,MISSING,253,0,MISSING,renders/timeline/timeline_19_ordinal_347.jpg
timeline,20,366,iwbowtaIIz8_s3933,2319,MISSING,MISSING,MISSING,MISSING,408,0,MISSING,renders/timeline/timeline_20_ordinal_366.jpg
timeline,21,384,G8bPOW37Sp0_s90,1899,MISSING,MISSING,MISSING,MISSING,247,0,MISSING,renders/timeline/timeline_21_ordinal_384.jpg
timeline,22,402,XzIzQZBrPBY_s398,4611,MISSING,MISSING,MISSING,MISSING,488,0,MISSING,renders/timeline/timeline_22_ordinal_402.jpg
timeline,23,420,Vm0FqeGo-8g_s4998,2986,MISSING,MISSING,MISSING,MISSING,249,0,MISSING,renders/timeline/timeline_23_ordinal_420.jpg
timeline,24,439,mJRz1DoW6VU_s5530,7591,MISSING,MISSING,MISSING,MISSING,493,0,MISSING,renders/timeline/timeline_24_ordinal_439.jpg
timeline,25,457,gkwmu8Hf364_s4450,494,MISSING,MISSING,MISSING,MISSING,244,0,MISSING,renders/timeline/timeline_25_ordinal_457.jpg
timeline,26,475,Ze8frxZxNyk_s2646,1176,MISSING,MISSING,MISSING,MISSING,249,0,MISSING,renders/timeline/timeline_26_ordinal_475.jpg
timeline,27,494,LPDnemFoqVk_s3306,2259,MISSING,MISSING,MISSING,MISSING,253,0,MISSING,renders/timeline/timeline_27_ordinal_494.jpg
timeline,28,512,WeheQidCPXI_s1389,2791,MISSING,MISSING,MISSING,MISSING,248,0,MISSING,renders/timeline/timeline_28_ordinal_512.jpg
timeline,29,530,hOtf1-DI88w_s90,6577,MISSING,MISSING,MISSING,MISSING,501,0,MISSING,renders/timeline/timeline_29_ordinal_530.jpg
