audit_class,object,false_calls,share_of_169_false,true_calls,share_of_90_true,all_calls,share_of_259_calls
BACKGROUND_CONFUSION_COURT_OR_LOGO,COURT_OR_LOGO,2,0.0118,0,0.0,2,0.0077
BACKGROUND_CONFUSION_CROWD,CROWD,40,0.2367,0,0.0,40,0.1544
BACKGROUND_CONFUSION_EQUIPMENT,EQUIPMENT,10,0.0592,0,0.0,10,0.0386
BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,93,0.5503,1,0.0111,94,0.3629
BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,SIGNAGE_OR_GRAPHIC,9,0.0533,0,0.0,9,0.0347
DUPLICATE_OR_SECOND_BALL,BALL,0,0.0,1,0.0111,1,0.0039
NEAR_MISS_LOCALISATION,BALL,9,0.0533,88,0.9778,97,0.3745
SUSPECTED_REFERENCE_ERROR,BALL,6,0.0355,0,0.0,6,0.0232
