section,frame_index,n_prior_keys_in_section,nearest_prior_gap_frames,n_causal_neighbours_within_0p2s,availability
UzaYBYy3GZg_s5242,81,0,,0,MISSING
UzaYBYy3GZg_s5242,327,1,246,0,MISSING
UzaYBYy3GZg_s5242,573,2,246,0,MISSING
UzaYBYy3GZg_s5242,819,3,246,0,MISSING
UzaYBYy3GZg_s5242,1065,4,246,0,MISSING
UzaYBYy3GZg_s5242,1311,5,246,0,MISSING
UzaYBYy3GZg_s5242,1557,6,246,0,MISSING
UzaYBYy3GZg_s5242,1803,7,246,0,MISSING
UzaYBYy3GZg_s5242,2049,8,246,0,MISSING
UzaYBYy3GZg_s5242,2295,9,246,0,MISSING
UzaYBYy3GZg_s5242,2541,10,246,0,MISSING
UzaYBYy3GZg_s5242,2787,11,246,0,MISSING
UzaYBYy3GZg_s5242,3033,12,246,0,MISSING
UzaYBYy3GZg_s5242,3279,13,246,0,MISSING
UzaYBYy3GZg_s5242,3525,14,246,0,MISSING
UzaYBYy3GZg_s5242,3771,15,246,0,MISSING
UHJ90jJmCYw_s90,2,0,,0,MISSING
UHJ90jJmCYw_s90,253,1,251,0,MISSING
UHJ90jJmCYw_s90,504,2,251,0,MISSING
UHJ90jJmCYw_s90,755,3,251,0,MISSING
UHJ90jJmCYw_s90,1006,4,251,0,MISSING
UHJ90jJmCYw_s90,1257,5,251,0,MISSING
UHJ90jJmCYw_s90,1508,6,251,0,MISSING
UHJ90jJmCYw_s90,1759,7,251,0,MISSING
UHJ90jJmCYw_s90,2010,8,251,0,MISSING
UHJ90jJmCYw_s90,2261,9,251,0,MISSING
UHJ90jJmCYw_s90,2512,10,251,0,MISSING
UHJ90jJmCYw_s90,2763,11,251,0,MISSING
UHJ90jJmCYw_s90,3014,12,251,0,MISSING
UHJ90jJmCYw_s90,3265,13,251,0,MISSING
UHJ90jJmCYw_s90,3516,14,251,0,MISSING
UHJ90jJmCYw_s90,3767,15,251,0,MISSING
5U9k1U6nN-g_s1207,111,0,,0,MISSING
5U9k1U6nN-g_s1207,363,1,252,0,MISSING
5U9k1U6nN-g_s1207,615,2,252,0,MISSING
5U9k1U6nN-g_s1207,867,3,252,0,MISSING
5U9k1U6nN-g_s1207,1119,4,252,0,MISSING
5U9k1U6nN-g_s1207,1371,5,252,0,MISSING
5U9k1U6nN-g_s1207,1623,6,252,0,MISSING
5U9k1U6nN-g_s1207,1875,7,252,0,MISSING
5U9k1U6nN-g_s1207,2127,8,252,0,MISSING
5U9k1U6nN-g_s1207,2379,9,252,0,MISSING
5U9k1U6nN-g_s1207,2631,10,252,0,MISSING
5U9k1U6nN-g_s1207,2883,11,252,0,MISSING
5U9k1U6nN-g_s1207,3135,12,252,0,MISSING
5U9k1U6nN-g_s1207,3387,13,252,0,MISSING
5U9k1U6nN-g_s1207,3639,14,252,0,MISSING
5U9k1U6nN-g_s1207,3891,15,252,0,MISSING
tDpmV777-IQ_s90,104,0,,0,MISSING
tDpmV777-IQ_s90,605,1,501,0,MISSING
tDpmV777-IQ_s90,1106,2,501,0,MISSING
tDpmV777-IQ_s90,1607,3,501,0,MISSING
tDpmV777-IQ_s90,2108,4,501,0,MISSING
tDpmV777-IQ_s90,2609,5,501,0,MISSING
tDpmV777-IQ_s90,3110,6,501,0,MISSING
tDpmV777-IQ_s90,3611,7,501,0,MISSING
tDpmV777-IQ_s90,4112,8,501,0,MISSING
tDpmV777-IQ_s90,4613,9,501,0,MISSING
tDpmV777-IQ_s90,5114,10,501,0,MISSING
tDpmV777-IQ_s90,5615,11,501,0,MISSING
tDpmV777-IQ_s90,6116,12,501,0,MISSING
tDpmV777-IQ_s90,6617,13,501,0,MISSING
tDpmV777-IQ_s90,7118,14,501,0,MISSING
tDpmV777-IQ_s90,7619,15,501,0,MISSING
N-eE7ZwTuno_s2365,215,0,,0,MISSING
N-eE7ZwTuno_s2365,467,1,252,0,MISSING
N-eE7ZwTuno_s2365,719,2,252,0,MISSING
N-eE7ZwTuno_s2365,971,3,252,0,MISSING
N-eE7ZwTuno_s2365,1223,4,252,0,MISSING
N-eE7ZwTuno_s2365,1475,5,252,0,MISSING
N-eE7ZwTuno_s2365,1727,6,252,0,MISSING
N-eE7ZwTuno_s2365,1979,7,252,0,MISSING
N-eE7ZwTuno_s2365,2231,8,252,0,MISSING
N-eE7ZwTuno_s2365,2483,9,252,0,MISSING
N-eE7ZwTuno_s2365,2735,10,252,0,MISSING
N-eE7ZwTuno_s2365,2987,11,252,0,MISSING
N-eE7ZwTuno_s2365,3239,12,252,0,MISSING
N-eE7ZwTuno_s2365,3491,13,252,0,MISSING
N-eE7ZwTuno_s2365,3743,14,252,0,MISSING
s4xx-bV7D8I_s479,166,0,,0,MISSING
s4xx-bV7D8I_s479,418,1,252,0,MISSING
s4xx-bV7D8I_s479,670,2,252,0,MISSING
s4xx-bV7D8I_s479,922,3,252,0,MISSING
s4xx-bV7D8I_s479,1174,4,252,0,MISSING
s4xx-bV7D8I_s479,1426,5,252,0,MISSING
s4xx-bV7D8I_s479,1678,6,252,0,MISSING
s4xx-bV7D8I_s479,1930,7,252,0,MISSING
s4xx-bV7D8I_s479,2182,8,252,0,MISSING
s4xx-bV7D8I_s479,2434,9,252,0,MISSING
s4xx-bV7D8I_s479,2686,10,252,0,MISSING
s4xx-bV7D8I_s479,2938,11,252,0,MISSING
s4xx-bV7D8I_s479,3190,12,252,0,MISSING
s4xx-bV7D8I_s479,3442,13,252,0,MISSING
s4xx-bV7D8I_s479,3694,14,252,0,MISSING
RIrGQJ_jsGQ_s90,44,0,,0,MISSING
RIrGQJ_jsGQ_s90,296,1,252,0,MISSING
RIrGQJ_jsGQ_s90,548,2,252,0,MISSING
RIrGQJ_jsGQ_s90,800,3,252,0,MISSING
RIrGQJ_jsGQ_s90,1052,4,252,0,MISSING
RIrGQJ_jsGQ_s90,1304,5,252,0,MISSING
RIrGQJ_jsGQ_s90,1556,6,252,0,MISSING
RIrGQJ_jsGQ_s90,1808,7,252,0,MISSING
RIrGQJ_jsGQ_s90,2060,8,252,0,MISSING
RIrGQJ_jsGQ_s90,2312,9,252,0,MISSING
RIrGQJ_jsGQ_s90,2564,10,252,0,MISSING
