player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,227,0.454,860.6,3.79,246.33,161,0.709,0,2,0.0088,0,0.0,1366.3,0.0
2,green,138,0.276,2788.2,20.2,2358.42,0,0.0,0,0,0.0,0,0.0,769.4,0.0
3,green,169,0.338,5795.4,34.29,1357.94,1,0.006,0,0,0.0,0,0.0,929.6,0.0
4,green,127,0.254,2590.9,20.4,1696.49,0,0.0,0,0,0.0,0,0.0,927.2,0.0
5,green,321,0.642,3642.6,11.35,1875.24,0,0.0,0,0,0.0,282,0.879,284.3,0.0
6,green,217,0.434,3604.4,16.61,2310.28,14,0.065,0,8,0.0369,0,0.0,795.2,0.0
7,green,269,0.538,2603.1,9.68,1115.31,0,0.0,0,0,0.0,0,0.0,1181.0,0.0
8,green,265,0.53,106.0,0.4,40.71,6,0.023,0,0,0.0,265,1.0,259.8,0.0
9,green,152,0.304,10832.2,71.26,2466.61,0,0.0,0,0,0.0,9,0.059,739.0,0.0
10,green,331,0.662,3025.8,9.14,1051.19,0,0.0,0,0,0.0,180,0.544,461.6,0.0
