processed_index,arm1_broadcast_1080_native_source_frame,arm2_broadcast_720_downscaled_source_frame,arm3_amateur_720_native_source_frame,arm1_broadcast_1080_native_boxes,arm2_broadcast_720_downscaled_boxes,arm3_amateur_720_native_boxes
0,19599,19599,0,9,9,21
1,19602,19602,3,9,9,20
2,19605,19605,6,9,11,20
3,19608,19608,9,11,10,20
4,19611,19611,12,11,11,20
5,19614,19614,15,9,9,18
6,19617,19617,18,9,9,16
7,19620,19620,21,9,9,19
8,19623,19623,24,9,9,21
9,19626,19626,27,9,8,19
10,19629,19629,30,8,9,17
11,19632,19632,33,8,9,19
12,19635,19635,36,7,7,18
13,19638,19638,39,8,8,18
14,19641,19641,42,8,8,19
15,19644,19644,45,8,8,21
16,19647,19647,48,6,6,18
17,19650,19650,51,7,8,20
18,19653,19653,54,8,7,20
19,19656,19656,57,8,8,20
20,19659,19659,60,4,4,18
21,19662,19662,63,6,6,19
22,19665,19665,66,6,6,17
23,19668,19668,69,7,8,17
24,19671,19671,72,11,11,17
25,19674,19674,75,6,5,15
26,19677,19677,78,3,5,17
27,19680,19680,81,5,5,21
28,19683,19683,84,5,6,17
29,19686,19686,87,3,3,16
30,19689,19689,90,8,8,15
31,19692,19692,93,8,8,14
32,19695,19695,96,5,5,14
33,19698,19698,99,4,6,14
34,19701,19701,102,3,4,14
35,19704,19704,105,6,4,16
36,19707,19707,108,6,7,14
37,19710,19710,111,6,5,15
38,19713,19713,114,5,5,15
39,19716,19716,117,5,4,14
40,19719,19719,120,6,7,15
41,19722,19722,123,10,10,13
42,19725,19725,126,10,12,11
43,19728,19728,129,12,14,12
44,19731,19731,132,10,11,14
45,19734,19734,135,9,10,14
46,19737,19737,138,8,9,12
47,19740,19740,141,12,12,15
48,19743,19743,144,11,11,17
49,19746,19746,147,9,8,15
50,19749,19749,150,11,14,14
51,19752,19752,153,7,8,14
52,19755,19755,156,10,10,17
53,19758,19758,159,9,9,17
54,19761,19761,162,10,9,15
55,19764,19764,165,8,8,17
56,19767,19767,168,6,8,17
57,19770,19770,171,9,10,18
58,19773,19773,174,7,7,18
59,19776,19776,177,11,10,17
60,19779,19779,180,11,11,17
61,19782,19782,183,14,14,16
62,19785,19785,186,11,12,17
63,19788,19788,189,13,14,16
64,19791,19791,192,11,12,17
65,19794,19794,195,15,15,17
66,19797,19797,198,12,12,19
67,19800,19800,201,15,14,18
68,19803,19803,204,9,9,20
69,19806,19806,207,9,10,19
70,19809,19809,210,10,8,17
71,19812,19812,213,9,9,18
72,19815,19815,216,9,9,18
73,19818,19818,219,9,9,16
74,19821,19821,222,10,9,16
75,19824,19824,225,11,10,17
76,19827,19827,228,7,9,17
77,19830,19830,231,7,5,18
78,19833,19833,234,7,7,17
79,19836,19836,237,9,8,17
80,19839,19839,240,8,8,19
81,19842,19842,243,9,8,17
82,19845,19845,246,8,8,15
83,19848,19848,249,7,6,17
84,19851,19851,252,7,7,17
85,19854,19854,255,9,9,16
86,19857,19857,258,8,9,15
87,19860,19860,261,9,10,18
88,19863,19863,264,9,10,17
89,19866,19866,267,9,8,15
90,19869,19869,270,6,7,16
91,19872,19872,273,6,7,16
92,19875,19875,276,7,7,17
93,19878,19878,279,6,6,18
94,19881,19881,282,5,5,16
95,19884,19884,285,7,7,16
96,19887,19887,288,9,8,15
97,19890,19890,291,8,9,17
98,19893,19893,294,8,7,16
99,19896,19896,297,6,6,20
100,19899,19899,300,9,11,17
101,19902,19902,303,7,6,15
102,19905,19905,306,7,8,19
103,19908,19908,309,11,9,18
104,19911,19911,312,7,6,17
105,19914,19914,315,8,9,19
106,19917,19917,318,9,9,18
107,19920,19920,321,10,9,18
108,19923,19923,324,10,11,19
109,19926,19926,327,7,8,15
110,19929,19929,330,8,7,18
111,19932,19932,333,8,8,17
112,19935,19935,336,7,8,18
